perturbation,fraction,mode,n_samples,n_datasets,mean_score_drop,mean_bounded_relative_score_drop,flip_rate,perturbation_label
blur,0.05,bottom,1444,29,0.03351091382160309,0.06968482392161299,0.03254847645429363,
blur,0.05,random,1444,29,0.02668575579581212,0.06062915589559682,0.020914127423822714,
blur,0.05,top,1444,29,0.05803638606706665,0.10600742523518665,0.03185595567867036,
blur,0.1,bottom,1444,29,0.04996651045382635,0.0775071261507638,0.055401662049861494,
blur,0.1,random,1444,29,0.0549322710908775,0.09257534941442229,0.05429362880886427,
blur,0.1,top,1444,29,0.0870224426306256,0.12653592543744174,0.06994459833795014,
blur,0.2,bottom,1444,29,0.09601660668356986,0.09618735574797609,0.10595567867036011,
blur,0.2,random,1444,29,0.11274033861776114,0.12653089106128235,0.10221606648199445,
blur,0.2,top,1444,29,0.14245431151492968,0.1593169857540738,0.11772853185595568,
global_mean,0.05,bottom,6186,127,0.08854157623779728,0.1116530107174177,0.08810216618170061,Global mean
global_mean,0.05,random,6186,127,0.12741988675207813,0.1799207068454098,0.1091496928548335,Global mean
global_mean,0.05,top,6186,127,0.2102209425464016,0.29893186135874245,0.16521176850953767,Global mean
global_mean,0.1,bottom,6186,127,0.11672827000259674,0.14175873736581104,0.12609117361784675,Global mean
global_mean,0.1,random,6186,127,0.19187979613616876,0.24413359086099073,0.16508244422890397,Global mean
global_mean,0.1,top,6186,127,0.29610969263426584,0.3647341444430221,0.2555771096023278,Global mean
global_mean,0.2,bottom,6186,127,0.17469210378595537,0.1868465230964295,0.21532492725509214,Global mean
global_mean,0.2,random,6186,127,0.29918968116182915,0.3258986266556961,0.2868735855156806,Global mean
global_mean,0.2,top,6186,127,0.44204309668043645,0.42457692659961344,0.3933074684772066,Global mean
linear_interpolation,0.05,bottom,6186,127,0.03621002190654559,0.06012684231647189,0.041707080504364696,Linear interpolation
linear_interpolation,0.05,random,6186,127,0.051469208630046594,0.09059936579045849,0.053087617200129326,Linear interpolation
linear_interpolation,0.05,top,6186,127,0.13820874754550191,0.1954449852180762,0.1023278370514064,Linear interpolation
linear_interpolation,0.1,bottom,6186,127,0.08364356265202703,0.10865187615292393,0.08794051083090851,Linear interpolation
linear_interpolation,0.1,random,6186,127,0.12443458152838914,0.16330426218516206,0.11312641448431944,Linear interpolation
linear_interpolation,0.1,top,6186,127,0.2415291723478962,0.2836332853349311,0.1859036534109279,Linear interpolation
linear_interpolation,0.2,bottom,6186,127,0.16471492029582607,0.183299671364144,0.19705787261558358,Linear interpolation
linear_interpolation,0.2,random,6186,127,0.285794192255114,0.2967398478641634,0.24293566117038473,Linear interpolation
linear_interpolation,0.2,top,6186,127,0.4539795619763872,0.4102423386787122,0.32638215324927256,Linear interpolation
local_mean,0.05,bottom,6186,127,0.05639111372668408,0.08479628013419462,0.05221467830585192,Local mean
local_mean,0.05,random,6186,127,0.0841132587309594,0.14185782959955684,0.0705140640155189,Local mean
local_mean,0.05,top,6186,127,0.16237539846511745,0.25480183411642787,0.13643711606854186,Local mean
local_mean,0.1,bottom,6186,127,0.11788191668149298,0.15422522133153538,0.10879405108309086,Local mean
local_mean,0.1,random,6186,127,0.16662748799423346,0.22688762337009138,0.14688005172971225,Local mean
local_mean,0.1,top,6186,127,0.27920710233788826,0.35057246933836805,0.23860329776915615,Local mean
local_mean,0.2,bottom,6186,127,0.1900545917185673,0.20601045321698103,0.21855803427093437,Local mean
local_mean,0.2,random,6186,127,0.30077738949899463,0.331724339454488,0.2883931458131264,Local mean
local_mean,0.2,top,6186,127,0.44403027781263316,0.42774345038774797,0.3958939540898804,Local mean
