fraction,mode,perturbation,n_samples,mean_score_drop,mean_bounded_relative_score_drop,flip_rate,base_accuracy,dataset,model
0.1,bottom,global_mean,50,-0.24750912649592535,-0.45067386582882746,0.26,0.7711111111111111,SemgHandSubjectCh2,HYDRA
0.1,random,global_mean,50,-0.08994633992552767,-0.29492476562915626,0.196,0.7711111111111111,SemgHandSubjectCh2,HYDRA
0.1,top,global_mean,50,-0.17549017422732263,-0.47206931677517466,0.14,0.7711111111111111,SemgHandSubjectCh2,HYDRA
0.1,bottom,global_mean,50,0.2929696533464964,0.4651662034285349,0.4,0.83,SemgHandGenderCh2,HYDRA
0.1,random,global_mean,50,0.39870786796387997,0.5500000773854602,0.46,0.83,SemgHandGenderCh2,HYDRA
0.1,top,global_mean,50,0.27900472829735895,0.3102146766505916,0.38,0.83,SemgHandGenderCh2,HYDRA
0.1,bottom,global_mean,50,-0.03476123918263821,0.1096587839162937,0.54,0.46444444444444444,SemgHandMovementCh2,HYDRA
0.1,random,global_mean,50,0.032547843773194036,-0.0020452021291717725,0.46,0.46444444444444444,SemgHandMovementCh2,HYDRA
0.1,top,global_mean,50,-0.04540324691252915,-0.28460135100732786,0.36,0.46444444444444444,SemgHandMovementCh2,HYDRA
0.1,bottom,global_mean,50,0.05860389854678718,0.08059868105882952,0.0,0.7410071942446043,Earthquakes,HYDRA
0.1,random,global_mean,50,0.16918830379059538,0.24222254071968063,0.016,0.7410071942446043,Earthquakes,HYDRA
0.1,top,global_mean,50,0.29497782850778864,0.45258089860696826,0.06,0.7410071942446043,Earthquakes,HYDRA
0.1,bottom,global_mean,50,0.3653622947671948,0.6805155683807322,0.18,0.9888888888888889,ShapeletSim,HYDRA
0.1,random,global_mean,50,0.48737216501411756,0.8092699763702087,0.40399999999999997,0.9888888888888889,ShapeletSim,HYDRA
0.1,top,global_mean,50,0.6667706487684747,0.9133335280505864,0.66,0.9888888888888889,ShapeletSim,HYDRA
0.1,bottom,global_mean,50,0.044809792525037945,0.029406377063578057,0.0,0.96,SmoothSubspace,HYDRA
0.1,random,global_mean,50,0.07845666994843384,0.09606093351543601,0.048,0.96,SmoothSubspace,HYDRA
0.1,top,global_mean,50,0.13920985156823093,0.24701102805919356,0.08,0.96,SmoothSubspace,HYDRA
0.1,bottom,global_mean,50,0.08783009970479595,0.2138473252108732,0.26,0.89,ACSF1,HYDRA
0.1,random,global_mean,50,0.12208149513291001,0.3199632213890329,0.22399999999999998,0.89,ACSF1,HYDRA
0.1,top,global_mean,50,0.1770555903032816,0.4292642107166155,0.24,0.89,ACSF1,HYDRA
0.1,bottom,global_mean,50,0.08686101275968833,0.2676315022242038,0.04,0.8026666666666666,SmallKitchenAppliances,HYDRA
0.1,random,global_mean,50,0.4284599878665951,0.6285550510860061,0.2,0.8026666666666666,SmallKitchenAppliances,HYDRA
0.1,top,global_mean,50,0.9409417914301867,0.7786395270252138,0.68,0.8026666666666666,SmallKitchenAppliances,HYDRA
0.1,bottom,global_mean,50,0.17266276039158795,0.2283643019280185,0.0,0.978894472361809,Symbols,HYDRA
0.1,random,global_mean,50,0.2793097554817727,0.3372824818228976,0.027999999999999997,0.978894472361809,Symbols,HYDRA
0.1,top,global_mean,50,0.3529027866111026,0.5354150269925055,0.02,0.978894472361809,Symbols,HYDRA
0.1,bottom,global_mean,50,0.15116243110664027,0.28892174805535814,0.0,0.987603305785124,OSULeaf,HYDRA
0.1,random,global_mean,50,0.20313427708768755,0.30123464591373067,0.012000000000000002,0.987603305785124,OSULeaf,HYDRA
0.1,top,global_mean,50,0.3270854603157878,0.4888374124961149,0.04,0.987603305785124,OSULeaf,HYDRA
0.1,bottom,global_mean,50,0.2663211304514935,0.25889159006574053,0.18,0.9885714285714285,Fish,HYDRA
0.1,random,global_mean,50,0.36074218133928054,0.4053716152995823,0.228,0.9885714285714285,Fish,HYDRA
0.1,top,global_mean,50,0.4356727763875575,0.45436090133308754,0.3,0.9885714285714285,Fish,HYDRA
0.1,bottom,global_mean,50,0.16104738156209636,0.13915327959220147,0.12,1.0,Trace,HYDRA
0.1,random,global_mean,50,0.3503075829105709,0.2867541763563737,0.21600000000000003,1.0,Trace,HYDRA
0.1,top,global_mean,50,0.7541212243848195,0.6248730955647135,0.2,1.0,Trace,HYDRA
0.1,bottom,global_mean,50,0.3291883362932356,0.3763925862171094,0.04,0.9509803921568627,DiatomSizeReduction,HYDRA
0.1,random,global_mean,50,0.30379396335910486,0.32718079664165506,0.08800000000000001,0.9509803921568627,DiatomSizeReduction,HYDRA
0.1,top,global_mean,50,0.28293235758322166,0.3248511793778682,0.04,0.9509803921568627,DiatomSizeReduction,HYDRA
0.1,bottom,global_mean,50,0.1326955767053708,0.3178458820493858,0.38,0.5162337662337663,Haptics,HYDRA
0.1,random,global_mean,50,0.19066612957010942,0.3552832889260714,0.332,0.5162337662337663,Haptics,HYDRA
0.1,top,global_mean,50,0.2844414971376734,0.4109458796996577,0.42,0.5162337662337663,Haptics,HYDRA
0.1,bottom,global_mean,50,-0.037869737059571536,-0.1798622998672641,0.1,0.8114285714285714,ArrowHead,HYDRA
0.1,random,global_mean,50,0.025991344190864196,-0.08110407311773297,0.192,0.8114285714285714,ArrowHead,HYDRA
0.1,top,global_mean,50,0.03944072842140381,-0.1316873205497208,0.16,0.8114285714285714,ArrowHead,HYDRA
0.1,bottom,global_mean,50,0.14486694508857323,0.14788718693983693,0.0,1.0,GunPointOldVersusYoung,HYDRA
0.1,random,global_mean,50,0.01478804472427348,0.012362797016265597,0.0,1.0,GunPointOldVersusYoung,HYDRA
0.1,top,global_mean,50,-0.13811224497970032,-0.14225806886730624,0.0,1.0,GunPointOldVersusYoung,HYDRA
0.1,bottom,global_mean,50,0.011913672990930806,-0.0484012899068187,0.02,0.7402597402597403,Worms,HYDRA
0.1,random,global_mean,50,0.03322025156499343,0.029295730273339204,0.076,0.7402597402597403,Worms,HYDRA
