cluster,cluster_name,method,mean_aucs_top,mean_f1s,n_datasets
0,High-frequency / high-curvature,hydra,0.28464646427293033,-0.4112506623006961,8
0,High-frequency / high-curvature,tshap_centroid,0.24180249724069464,-0.44943898753728684,8
0,High-frequency / high-curvature,tshap_train,0.21689566173226074,-0.19513153748676934,8
0,High-frequency / high-curvature,tshap_zero,0.2091255856721277,-0.213743951462077,8
0,High-frequency / high-curvature,shapley_sampling,0.19716820586362127,-0.15731645542973438,8
0,High-frequency / high-curvature,feature_ablation,0.17065814714255959,-0.6511273721680176,8
0,High-frequency / high-curvature,mrsqm,0.1460584224051636,-0.5854637708548376,8
1,Smooth / low-complexity,tshap_train,0.5289677737997914,0.34446027616836167,10
1,Smooth / low-complexity,tshap_centroid,0.5272998245812237,0.3015958614095043,10
1,Smooth / low-complexity,shapley_sampling,0.5022978690136007,0.26120780781400366,10
1,Smooth / low-complexity,tshap_zero,0.4728432989119428,0.23049423984478223,10
1,Smooth / low-complexity,feature_ablation,0.4636250321014886,0.19861151084908196,10
1,Smooth / low-complexity,hydra,0.4503181494105722,0.012767463372924746,10
1,Smooth / low-complexity,mrsqm,0.37527907333860727,0.03102729301484123,10
2,Short / moderately rough,tshap_train,0.38956836871510936,0.11389430354804472,10
2,Short / moderately rough,tshap_centroid,0.3496801436104715,-0.004292968007852346,10
2,Short / moderately rough,tshap_zero,0.34191280969654564,0.18212351222687911,10
2,Short / moderately rough,feature_ablation,0.3411319514562311,-0.230018665785352,10
2,Short / moderately rough,shapley_sampling,0.3326661018904124,-0.20379068318557675,10
2,Short / moderately rough,hydra,0.2777272589360516,-0.41222788202873234,10
2,Short / moderately rough,mrsqm,0.20110814784191408,-0.42154938816171666,10
3,Spiky / multi-class,tshap_train,0.4929088849608707,0.2936332912270304,10
3,Spiky / multi-class,tshap_centroid,0.467061653338599,0.18571443093929163,10
3,Spiky / multi-class,shapley_sampling,0.42997532910736425,0.08526526135139255,10
3,Spiky / multi-class,tshap_zero,0.42192210909049377,0.3268502765101959,10
3,Spiky / multi-class,feature_ablation,0.4215579836568258,0.11822347873193281,10
3,Spiky / multi-class,hydra,0.3838797094374473,-0.046254962230039026,10
3,Spiky / multi-class,mrsqm,0.30529268266175247,-0.24414481810729388,10
