dataset,variant,flip_rate_top_minus_random,flip_rate_top_minus_bottom,n_rows
SemgHandSubjectCh2,real,-0.03333333333333333,0.0,60
SemgHandSubjectCh2,shuffled_labels,0.08333333333333326,0.0,60
SemgHandSubjectCh2,permuted_weights,-0.03333333333333333,0.0,60
SemgHandGenderCh2,real,-0.016666666666666607,-0.09999999999999998,60
SemgHandGenderCh2,shuffled_labels,0.08333333333333343,0.0,60
SemgHandGenderCh2,permuted_weights,0.08333333333333337,0.44999999999999996,60
SemgHandMovementCh2,real,-0.19999999999999998,-0.15,60
SemgHandMovementCh2,shuffled_labels,0.0,0.0,60
SemgHandMovementCh2,permuted_weights,0.20000000000000007,0.4,60
Earthquakes,real,0.05,0.05,60
Earthquakes,shuffled_labels,0.0,0.0,60
Earthquakes,permuted_weights,0.05,0.0,60
ShapeletSim,real,0.15000000000000002,0.35,60
ShapeletSim,shuffled_labels,0.0,-0.05,60
ShapeletSim,permuted_weights,0.15000000000000002,0.25,60
SmoothSubspace,real,0.08333333333333334,0.1,60
SmoothSubspace,shuffled_labels,0.25,0.25,60
SmoothSubspace,permuted_weights,0.03333333333333334,-0.05,60
ACSF1,real,0.033333333333333326,0.0,60
ACSF1,shuffled_labels,0.07407407407407407,0.11111111111111116,27
ACSF1,permuted_weights,0.13333333333333336,0.30000000000000004,60
SmallKitchenAppliances,real,0.4666666666666667,0.7,60
SmallKitchenAppliances,shuffled_labels,0.01666666666666667,-0.05,60
SmallKitchenAppliances,permuted_weights,0.41666666666666674,0.55,60
Symbols,real,0.0,0.0,60
Symbols,shuffled_labels,0.09999999999999998,0.04999999999999993,60
Symbols,permuted_weights,0.0,0.0,60
OSULeaf,real,0.05,0.05,60
OSULeaf,shuffled_labels,0.03921568627450983,0.1764705882352941,51
OSULeaf,permuted_weights,0.05,0.05,60
Fish,real,0.033333333333333354,0.15,60
Fish,shuffled_labels,0.033333333333333326,0.0,60
Fish,permuted_weights,0.08333333333333334,0.25,60
Trace,real,0.08333333333333336,0.15000000000000002,60
Trace,shuffled_labels,-0.018518518518518545,-0.05555555555555558,54
Trace,permuted_weights,0.08333333333333336,0.2,60
DiatomSizeReduction,real,-0.06666666666666665,0.0,60
DiatomSizeReduction,shuffled_labels,0.0,0.0,60
DiatomSizeReduction,permuted_weights,-0.11666666666666665,0.0,60
Haptics,real,0.18333333333333332,0.14999999999999997,60
Haptics,shuffled_labels,0.01666666666666672,0.04999999999999999,60
Haptics,permuted_weights,0.2833333333333333,0.2,60
ArrowHead,real,-0.09999999999999999,0.0,60
ArrowHead,shuffled_labels,0.0,0.0,60
ArrowHead,permuted_weights,-0.04999999999999999,0.05,60
GunPointOldVersusYoung,real,0.0,0.0,60
GunPointOldVersusYoung,shuffled_labels,0.1166666666666667,0.4,60
GunPointOldVersusYoung,permuted_weights,0.0,0.0,60
Worms,real,0.05,0.05,60
Worms,shuffled_labels,-0.13333333333333333,-0.25,60
Worms,permuted_weights,0.0,0.0,60
