dataset,mean_pearson,mean_spearman,mean_top_window_iou,n_pairs
ACSF1,0.9565575559168531,0.9323047441638941,0.8339960451768551,80
ArrowHead,0.8865326121849861,0.8684061278694746,0.6492527507613715,80
Computers,0.8995487114774159,0.8725107882486929,0.5868953504470273,80
CricketX,0.7432394685597544,0.7131972188579873,0.5451174073175736,80
CricketZ,0.7595917278241786,0.7360457393971044,0.5004306447518754,80
DiatomSizeReduction,0.9300166732535946,0.9230886682700458,0.38397620867884313,80
DistalPhalanxOutlineAgeGroup,0.6960172079887266,0.6716865916549462,0.18742729492729493,80
DistalPhalanxOutlineCorrect,0.3454391930093703,0.3438926980778247,0.04966533466533467,80
DistalPhalanxTW,0.9045606984852842,0.8687335911861229,0.40019480519480516,80
ECG200,0.930360574307238,0.9173363741182854,0.5780982905982907,80
EOGHorizontalSignal,0.5038357269459851,0.47039718065226455,0.3842272040638642,80
EOGVerticalSignal,0.671658143905397,0.6449931844249897,0.6052004537420898,80
Earthquakes,0.8063220287254635,0.7897905750540705,0.5303289119430796,80
Fish,0.9092142910123581,0.8991600398233255,0.4417624573741733,80
GestureMidAirD2,0.8957137930351221,0.8628430646327002,0.547177871217361,80
GestureMidAirD3,0.8170801470014423,0.7995736914122279,0.6149267541978186,80
GunPointOldVersusYoung,0.9943287280764128,0.9918795502022313,0.6578125,80
Ham,0.9125196909223936,0.9015687576065516,0.7280978853571881,80
Haptics,0.8792450412261156,0.8675176031259841,0.5872973153671575,80
MoteStrain,0.9818561342324263,0.9740713273261112,0.8605555555555556,80
OSULeaf,0.9148631157929774,0.9042700294231446,0.7313196520165314,80
PowerCons,0.8124227391444059,0.7950174322803634,0.4964620013342923,80
ProximalPhalanxOutlineAgeGroup,0.48619676019331637,0.487858356774496,0.4460606060606061,80
ProximalPhalanxTW,0.8289670796044369,0.7285677449601501,0.3192152292152292,80
ScreenType,0.7897279172108237,0.7870357883019232,0.30007139316387266,80
SemgHandGenderCh2,0.6457161289247757,0.6066633166346417,0.24890454939098,80
SemgHandMovementCh2,0.495867052504466,0.4808327955008555,0.2855047811513029,80
SemgHandSubjectCh2,0.6194355055932342,0.6032373341499688,0.48409193272530127,80
ShapeletSim,0.9497897350995833,0.9417515126060504,0.8264315954261254,80
SmallKitchenAppliances,0.9743406806791309,0.9543196575352274,0.7147514076431853,80
SmoothSubspace,0.8655742739927004,0.8047767857142857,0.5166666666666667,80
Symbols,0.9891480981353938,0.983254783129488,0.8601068608787109,80
ToeSegmentation1,0.8731769794368158,0.858055703451679,0.5649252205114901,80
ToeSegmentation2,0.9587985428085732,0.9530165886952787,0.7316038846692232,80
Trace,0.9718490728731007,0.9456315094775108,0.8265124452967753,80
WordSynonyms,0.7852524768438801,0.767082073980591,0.5619206242788307,80
Worms,0.82735420146137,0.8250796056538341,0.5185895490960324,80
WormsTwoClass,0.9039080142364806,0.9015076251898853,0.520714494544656,80
