cluster,cluster_name,fraction,mean_iou,median_iou,mean_overlap_fraction,median_overlap_fraction,mean_centre_distance,median_centre_distance,mean_hydra_score_drop,mean_shap_score_drop,mean_shap_minus_hydra_score_drop,hydra_flip_rate,shap_flip_rate,mean_shap_minus_hydra_flip,n_samples,n_datasets
0,High-frequency / high-curvature,0.05,0.1086698433275006,0.0,0.129846278246107,0.0,0.28991697301298514,0.24666666666666665,0.26075492139118817,0.2438535571860275,-0.016901364205160644,0.16875,0.1625,-0.00625,160,8
0,High-frequency / high-curvature,0.1,0.16115577573823595,0.0,0.19582569780195183,0.0,0.27288497372050985,0.215,0.3143259144769124,0.3184846127504529,0.004158698273540517,0.29375,0.25,-0.04375,160,8
0,High-frequency / high-curvature,0.2,0.2214668537043824,0.0,0.26565191601754856,0.0,0.28531014272379185,0.2713333333333333,0.3145883411845435,0.3300601719425901,0.015471830758046584,0.4,0.39375,-0.00625,160,8
1,Smooth / low-complexity,0.05,0.08265642888146249,0.0,0.10426285369220151,0.0,0.2769061962069175,0.2329691937950622,0.19073463224030476,0.2832641660274258,0.09252953378712109,0.085,0.15,0.065,200,10
1,Smooth / low-complexity,0.1,0.1381795048764243,0.0,0.17166500982946836,0.0,0.2650009442894789,0.21769301050708084,0.25688781474998446,0.3293457982059338,0.07245798345594928,0.105,0.205,0.1,200,10
1,Smooth / low-complexity,0.2,0.22453356158414703,0.013682055100521149,0.28080245746626636,0.0269927536231884,0.24927109331850184,0.19471101102835034,0.3688704461825065,0.34467997411874074,-0.02419047206376574,0.2,0.215,0.015,200,10
2,Short / moderately rough,0.05,0.10813733329793701,0.0,0.13270238095238096,0.0,0.22183333333333333,0.1625,0.23906360156769743,0.27669294512244247,0.03762934355474503,0.17,0.205,0.035,200,10
2,Short / moderately rough,0.1,0.1707896521178151,0.0,0.2186845238095238,0.0,0.21637123015873017,0.14666666666666667,0.31099190199555005,0.36645358447621385,0.05546168248066372,0.24,0.325,0.085,200,10
2,Short / moderately rough,0.2,0.2644104659136609,0.0666666666666666,0.3221705877904701,0.125,0.23008055555555554,0.175,0.43971352705844696,0.4375260106759283,-0.002187516382518624,0.42,0.425,0.005,200,10
3,Spiky / multi-class,0.05,0.07638450722690443,0.0,0.09662634066334257,0.0,0.2689573313353299,0.20926111111111112,0.16514347340462776,0.24516687472113918,0.08002340131651144,0.135,0.185,0.05,200,10
3,Spiky / multi-class,0.1,0.1675634420747779,0.0,0.2118054965293611,0.0,0.24203428198676652,0.17916666666666659,0.2725093529242563,0.3509915203918218,0.07848216746756545,0.235,0.29,0.055,200,10
3,Spiky / multi-class,0.2,0.250243345858841,0.0526556776556776,0.3096945059884317,0.09999999999999995,0.2342175673567485,0.17870036101083026,0.429379883334704,0.4868978423045201,0.0575179589698161,0.425,0.48,0.055,200,10
