dataset,fraction,mean_iou,median_iou,mean_overlap_fraction,mean_centre_distance,hydra_score_drop,shap_score_drop,hydra_flip_rate,shap_flip_rate,n_samples,shap_minus_hydra_score_drop,shap_minus_hydra_flip_rate
ACSF1,0.05,0.1927879237374582,0.0,0.22808219178082192,0.21705479452054796,0.27812582689644627,0.27547872479960167,0.25,0.1,20,-0.0026471020968446,-0.15
ACSF1,0.1,0.27328171603949847,0.0,0.31198630136986305,0.22613013698630136,0.31963892344087635,0.3807358792910654,0.35,0.3,20,0.06109695585018904,-0.04999999999999999
ACSF1,0.2,0.2668479808882819,0.0,0.3068493150684931,0.2370890410958904,0.36180847152170004,0.4369214003981857,0.5,0.5,20,0.07511292887648569,0.0
ArrowHead,0.05,0.035561497326203215,0.0,0.05,0.19163346613545815,-0.12164990040886972,-0.011134525083397477,0.0,0.05,20,0.11051537532547225,0.05
ArrowHead,0.1,0.06311798737727911,0.0,0.08199999999999999,0.21374501992031872,-0.10046002716590333,0.07240736405930241,0.0,0.3,20,0.17286739122520572,0.3
ArrowHead,0.2,0.13154686164615642,0.005050505050505051,0.182,0.2045816733067729,0.02800296988008031,0.12773351183285003,0.1,0.25,20,0.09973054195276973,0.15
Computers,0.05,0.10771428571428572,0.0,0.12222222222222223,0.23937499999999998,0.15834636039020528,0.19068134292748837,0.0,0.0,20,0.03233498253728309,0.0
Computers,0.1,0.04806451612903225,0.0,0.06805555555555556,0.2997222222222222,0.26002523277451717,0.3070895366414498,0.05,0.0,20,0.04706430386693261,-0.05
Computers,0.2,0.12812505759268492,0.0,0.17222222222222222,0.2656944444444444,0.4038364159306706,0.39458456719126367,0.05,0.0,20,-0.009251848739406932,-0.05
CricketX,0.05,0.16174719887955183,0.0,0.19333333333333333,0.21733333333333332,0.23722005796532125,0.2392814935705175,0.1,0.15,20,0.0020614356051962546,0.04999999999999999
CricketX,0.1,0.21097017805265167,0.02631578947368421,0.27,0.2205,0.39532631770646,0.4049820116012316,0.3,0.3,20,0.009655693894771611,0.0
CricketX,0.2,0.31711628205319176,0.2323572782810196,0.3825,0.2225,0.6677429896195829,0.5732805859723606,0.75,0.7,20,-0.09446240364722225,-0.050000000000000044
CricketZ,0.05,0.09554188501556922,0.0,0.13333333333333333,0.126,0.21527520754274182,0.36760973661590246,0.1,0.2,20,0.15233452907316064,0.1
CricketZ,0.1,0.2429339191408157,0.017241379310344827,0.30166666666666664,0.15266666666666667,0.4221073755988388,0.49187759365037553,0.1,0.3,20,0.06977021805153671,0.19999999999999998
CricketZ,0.2,0.36651991245777615,0.29271400440171436,0.43583333333333335,0.15066666666666667,0.7159978419086352,0.7341445293218947,0.6,0.6,20,0.01814668741325942,0.0
DiatomSizeReduction,0.05,0.0,0.0,0.0,0.34594202898550724,0.2514284863305443,0.32130153360730584,0.0,0.25,20,0.06987304727676152,0.25
DiatomSizeReduction,0.1,0.06503291753291754,0.0,0.07941176470588236,0.29057971014492756,0.31742884306631114,0.42596888755762186,0.05,0.25,20,0.10854004449131072,0.2
DiatomSizeReduction,0.2,0.20614628925343967,0.04980909406456092,0.2710144927536232,0.1917391304347826,0.5867978309822481,0.40874354632268917,0.3,0.3,20,-0.17805428465955897,0.0
DistalPhalanxOutlineAgeGroup,0.05,0.06666666666666667,0.0,0.075,0.25625,0.40565479131937526,0.2322420379170662,0.4,0.25,20,-0.17341275340230905,-0.15000000000000002
DistalPhalanxOutlineAgeGroup,0.1,0.07999999999999999,0.0,0.10625,0.255,0.5221080971292393,0.32993497729373117,0.55,0.55,20,-0.19217311983550817,0.0
DistalPhalanxOutlineAgeGroup,0.2,0.1570827973163902,0.0,0.2,0.24625,0.5809640527456729,0.4672728705205623,0.7,0.55,20,-0.11369118222511054,-0.1499999999999999
DistalPhalanxOutlineCorrect,0.05,0.30047619047619045,0.0,0.3375,0.134375,0.621792866102606,0.6740486503491413,0.5,0.5,20,0.05225578424653532,0.0
