true_label,pred_before,fraction,hydra_start,shap_start,window_length,iou,overlap_fraction,normalised_centre_distance,score_before,hydra_score_drop,shap_score_drop,hydra_flipped,shap_flipped,hydra_explain_time_s,windowshap_explain_time_s,windowshap_over_hydra_time_ratio,hydra_over_windowshap_time_ratio,dataset,sample_idx,cluster,cluster_name,shap_minus_hydra_score_drop,shap_minus_hydra_flip
0,0,0.05,498,1245,75,0.0,0.0,0.498,0.4341813376509854,0.0338541282712037,0.0321867490048586,0,0,1.0870173629991768,1.287675417999708,1.1845950780831116,0.8441703148203016,SemgHandSubjectCh2,0,0,High-frequency / high-curvature,-0.0016673792663451023,0
0,0,0.1,451,1245,150,0.0,0.0,0.5293333333333333,0.4341813376509854,-0.2008724303417757,-0.0945095840710696,0,0,1.0870173629991768,1.287675417999708,1.1845950780831116,0.8441703148203016,SemgHandSubjectCh2,0,0,High-frequency / high-curvature,0.10636284627070611,0
0,0,0.2,313,1101,300,0.0,0.0,0.5253333333333333,0.4341813376509854,-0.7826654273846706,-0.3465267181471607,0,0,1.0870173629991768,1.287675417999708,1.1845950780831116,0.8441703148203016,SemgHandSubjectCh2,0,0,High-frequency / high-curvature,0.4361387092375099,0
0,0,0.05,494,661,75,0.0,0.0,0.1113333333333333,0.221118921819467,-0.0793399002676302,-0.2133436681922877,0,0,1.0683065430021088,1.2148972550021426,1.137217835985625,0.8793390046800499,SemgHandSubjectCh2,1,0,High-frequency / high-curvature,-0.1340037679246575,0
0,0,0.1,495,360,150,0.0526315789473684,0.1,0.09,0.221118921819467,-0.2481958826446995,-0.2840481515811124,0,0,1.0683065430021088,1.2148972550021426,1.137217835985625,0.8793390046800499,SemgHandSubjectCh2,1,0,High-frequency / high-curvature,-0.03585226893641291,0
0,0,0.2,362,1082,300,0.0,0.0,0.48,0.221118921819467,-0.8742268914916563,-0.5420167574522206,0,0,1.0683065430021088,1.2148972550021426,1.137217835985625,0.8793390046800499,SemgHandSubjectCh2,1,0,High-frequency / high-curvature,0.3322101340394358,0
0,0,0.05,716,1143,75,0.0,0.0,0.2846666666666667,0.7262986940073325,0.19223541546622,0.0837735526683067,0,0,1.0798098650011525,1.24175114800164,1.1499720351233451,0.8695863633699062,SemgHandSubjectCh2,2,0,High-frequency / high-curvature,-0.1084618627979133,0
0,0,0.1,646,630,150,0.8072289156626506,0.8933333333333333,0.0106666666666666,0.7262986940073325,0.1027834105007394,-0.0059364090920206,0,0,1.0798098650011525,1.24175114800164,1.1499720351233451,0.8695863633699062,SemgHandSubjectCh2,2,0,High-frequency / high-curvature,-0.10871981959276,0
0,0,0.2,491,945,300,0.0,0.0,0.3026666666666666,0.7262986940073325,-0.3593659171729414,-0.5028825963436526,0,0,1.0798098650011525,1.24175114800164,1.1499720351233451,0.8695863633699062,SemgHandSubjectCh2,2,0,High-frequency / high-curvature,-0.1435166791707112,0
0,0,0.05,459,1425,75,0.0,0.0,0.644,-0.0145505213209142,-0.0789867462381886,-0.2788130367532421,0,0,1.119126726000104,1.2333008179994067,1.1020207000215023,0.907423971238007,SemgHandSubjectCh2,4,0,High-frequency / high-curvature,-0.1998262905150535,0
