true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
1,1,hydra,0.9749999987185534,0.7421177239118579,0.4078819591998739,MiddlePhalanxOutlineAgeGroup,94
1,1,shapley_sampling,0.7732857895844144,0.9521483961342926,0.09012612401610678,MiddlePhalanxOutlineAgeGroup,94
1,1,feature_ablation,0.9275360454536481,0.6971393464193294,0.4566237428403359,MiddlePhalanxOutlineAgeGroup,94
1,1,tshap_centroid,0.8464156312198015,0.9417755467118221,0.10895402099973225,MiddlePhalanxOutlineAgeGroup,94
1,1,tshap_zero,0.9530015427811849,0.7864870605162839,0.34886521140595633,MiddlePhalanxOutlineAgeGroup,94
1,1,tshap_train,0.908655118078624,0.8868260777972141,0.20127841270643973,MiddlePhalanxOutlineAgeGroup,94
1,1,mrsqm,0.6684207124673058,0.8887174821639003,0.1907996195635013,MiddlePhalanxOutlineAgeGroup,94
2,2,hydra,-0.6475593892642735,-0.32981023758767314,-2.524382658976071,MiddlePhalanxOutlineAgeGroup,148
2,2,shapley_sampling,-0.4264949139649718,-0.18236778586009045,-1.3342821679551535,MiddlePhalanxOutlineAgeGroup,148
2,2,feature_ablation,-0.3441094612506516,-0.4473852709616879,-0.9028729922814198,MiddlePhalanxOutlineAgeGroup,148
2,2,tshap_centroid,-0.39724362083093484,-0.6773899602489728,-1.0410254528520206,MiddlePhalanxOutlineAgeGroup,148
2,2,tshap_zero,-0.2530525118588796,-0.6131788086512041,-0.6002662408181236,MiddlePhalanxOutlineAgeGroup,148
2,2,tshap_train,-0.3495555671562689,-0.5927311390090142,-0.8956868993074024,MiddlePhalanxOutlineAgeGroup,148
2,2,mrsqm,-0.22647545353758378,-0.6006623229636225,-0.5276003338688863,MiddlePhalanxOutlineAgeGroup,148
2,2,hydra,-0.5215418553148167,-0.46455005520201786,-1.6199735126011483,MiddlePhalanxOutlineAgeGroup,28
2,2,shapley_sampling,-0.3226810545352732,-0.34838047657669036,-0.8483905221094523,MiddlePhalanxOutlineAgeGroup,28
2,2,feature_ablation,-0.2880938002978611,-0.4342415846530421,-0.7210171573125435,MiddlePhalanxOutlineAgeGroup,28
2,2,tshap_centroid,-0.3536595948655852,-0.41858395279312793,-0.9422187074469629,MiddlePhalanxOutlineAgeGroup,28
2,2,tshap_zero,-0.47371940681625235,-0.5199939516769219,-1.376408585470405,MiddlePhalanxOutlineAgeGroup,28
2,2,tshap_train,-0.43354041561452616,-0.3818701496565672,-1.2634773275618008,MiddlePhalanxOutlineAgeGroup,28
2,2,mrsqm,-0.4347221575501363,-0.34659234114502174,-1.283940495949201,MiddlePhalanxOutlineAgeGroup,28
1,1,hydra,0.9749999997919078,0.8219135334562343,0.3011644137926543,MiddlePhalanxOutlineAgeGroup,143
1,1,shapley_sampling,0.8709684703598549,0.9093680005356735,0.16417964927478162,MiddlePhalanxOutlineAgeGroup,143
1,1,feature_ablation,0.9599040280105945,0.5981416578709173,0.5665385529191849,MiddlePhalanxOutlineAgeGroup,143
1,1,tshap_centroid,0.8523811653530347,0.9560885478164408,0.0835202567827422,MiddlePhalanxOutlineAgeGroup,143
1,1,tshap_zero,0.9578407481003967,0.8159287743800606,0.30879949507340865,MiddlePhalanxOutlineAgeGroup,143
1,1,tshap_train,0.9415931385637928,0.9555627953883888,0.08486912649057334,MiddlePhalanxOutlineAgeGroup,143
1,1,mrsqm,0.6969838332551503,0.8769334918928468,0.2091953682339938,MiddlePhalanxOutlineAgeGroup,143
1,1,hydra,0.9750000005761426,0.6978782982315264,0.46130084369804425,MiddlePhalanxOutlineAgeGroup,135
1,1,shapley_sampling,0.7803154540096897,0.925830536102618,0.13546307882530723,MiddlePhalanxOutlineAgeGroup,135
1,1,feature_ablation,0.9272873843565199,0.612616433085386,0.5464727035455241,MiddlePhalanxOutlineAgeGroup,135
1,1,tshap_centroid,0.8730570133137328,0.862935545315862,0.23693206654679516,MiddlePhalanxOutlineAgeGroup,135
1,1,tshap_zero,0.9293183459048178,0.7236596979536362,0.4260046785895289,MiddlePhalanxOutlineAgeGroup,135
1,1,tshap_train,0.8796421705381087,0.888016726999618,0.19867422718504313,MiddlePhalanxOutlineAgeGroup,135
1,1,mrsqm,0.5912738827078238,0.8599855291222335,0.2264138336820624,MiddlePhalanxOutlineAgeGroup,135
