method_a,method_b,fraction,mean_iou,median_iou,mean_overlap_fraction,median_overlap_fraction,mean_centre_distance,mean_score_drop_a,mean_score_drop_b,flip_rate_a,flip_rate_b,n_samples,n_datasets
feature_ablation,mrsqm,0.05,0.062206572769953054,0.0,0.062206572769953054,0.0,0.43798035393299667,0.322735105632297,0.1005424930351972,0.25078247261345854,0.09272300469483569,2556,128
feature_ablation,mrsqm,0.1,0.1031105753121657,0.0,0.11333476670111342,0.0,0.4121852250891763,0.3925999709604117,0.15805010455192492,0.3149452269170579,0.15923317683881064,2556,128
feature_ablation,mrsqm,0.2,0.18681943283535044,0.0,0.21318135236272304,0.0,0.3675595207411988,0.44902541748311886,0.25488896469682926,0.40923317683881066,0.27269170579029733,2556,128
feature_ablation,tshap_centroid,0.05,0.11093044544063611,0.0,0.13830184457350495,0.0,0.26392107247093044,0.322735105632297,0.2913834156036889,0.25078247261345854,0.19718309859154928,2556,128
feature_ablation,tshap_centroid,0.1,0.1783689978857112,0.0,0.21679819656657573,0.0,0.2658990687533446,0.3925999709604117,0.4224706421455504,0.3149452269170579,0.2981220657276995,2556,128
feature_ablation,tshap_centroid,0.2,0.2777480386353764,0.016981192528275287,0.331708141821584,0.033395291201982646,0.25230818399724386,0.44902541748311886,0.5058836486018312,0.40923317683881066,0.42214397496087636,2556,128
feature_ablation,tshap_train,0.05,0.11172588666811092,0.0,0.13744663240174013,0.0,0.2648306002758029,0.322735105632297,0.3076673027010802,0.25078247261345854,0.20461658841940533,2556,128
feature_ablation,tshap_train,0.1,0.17810907168362272,0.0,0.21695296726906327,0.0,0.26240297410717844,0.3925999709604117,0.4300709554162852,0.3149452269170579,0.3212050078247261,2556,128
feature_ablation,tshap_train,0.2,0.2670834763834785,0.0016209917117305855,0.32185360301549665,0.0032367190110257267,0.25184084925262007,0.44902541748311886,0.5212120344536765,0.40923317683881066,0.4397496087636933,2556,128
feature_ablation,tshap_zero,0.05,0.08400385750610062,0.0,0.1027298873397862,0.0,0.3041192923545152,0.322735105632297,0.24065083334234003,0.25078247261345854,0.18309859154929578,2556,128
feature_ablation,tshap_zero,0.1,0.13865150598418094,0.0,0.1697741227050726,0.0,0.29196437581517576,0.3925999709604117,0.3388877401394063,0.3149452269170579,0.26721439749608766,2556,128
feature_ablation,tshap_zero,0.2,0.21485450143187976,0.0,0.2607806053801746,0.0,0.2790777967882074,0.44902541748311886,0.39304241341288837,0.40923317683881066,0.352112676056338,2556,128
hydra,feature_ablation,0.05,0.09146908093117982,0.0,0.11373762287350309,0.0,0.27397708860221026,0.1631064661024384,0.322735105632297,0.14593114241001565,0.25078247261345854,2556,128
hydra,feature_ablation,0.1,0.1500262678355629,0.0,0.1875498738463091,0.0,0.26621401209393497,0.2274089931661309,0.3925999709604117,0.2245696400625978,0.3149452269170579,2556,128
hydra,feature_ablation,0.2,0.25108822385756624,0.028188732074615006,0.30831791972789396,0.05483178239083751,0.2511684402996181,0.3650625733714506,0.44902541748311886,0.36306729264475746,0.40923317683881066,2556,128
hydra,mrsqm,0.05,0.03762619399789508,0.0,0.043144420124079694,0.0,0.4539539409302943,0.1631064661024384,0.1005424930351972,0.14593114241001565,0.09272300469483569,2556,128
hydra,mrsqm,0.1,0.07564511733702932,0.0,0.0874106387566693,0.0,0.4259795083227669,0.2274089931661309,0.15805010455192492,0.2245696400625978,0.15923317683881064,2556,128
hydra,mrsqm,0.2,0.17038777502582586,0.0,0.20061556822846804,0.0,0.3706420001563018,0.3650625733714506,0.25488896469682926,0.36306729264475746,0.27269170579029733,2556,128
hydra,shapley_sampling,0.05,0.10362405513132977,0.0,0.12706928144377366,0.0,0.2800952315525527,0.1631064661024384,0.21793134691001131,0.14593114241001565,0.2014866979655712,2556,128
hydra,shapley_sampling,0.1,0.1624564231015112,0.0,0.20091482051834522,0.0,0.2731612964229122,0.2274089931661309,0.29974207913771084,0.2245696400625978,0.29890453834115804,2556,128
hydra,shapley_sampling,0.2,0.2510202874842432,0.02702702702702703,0.30814693558567813,0.05263157894736842,0.26063659532935196,0.3650625733714506,0.37564256867555873,0.36306729264475746,0.4029733959311424,2556,128
hydra,tshap_centroid,0.05,0.09224432474751225,0.0,0.11553971985012727,0.0,0.26892766407098,0.1631064661024384,0.2913834156036889,0.14593114241001565,0.19718309859154928,2556,128
hydra,tshap_centroid,0.1,0.15501471149343105,0.0,0.19181917586109276,0.0,0.2699742811945757,0.2274089931661309,0.4224706421455504,0.2245696400625978,0.2981220657276995,2556,128
hydra,tshap_centroid,0.2,0.2556057578293111,0.017621487346685297,0.31197475421946347,0.03463268365817092,0.2539962136330926,0.3650625733714506,0.5058836486018312,0.36306729264475746,0.42214397496087636,2556,128
hydra,tshap_train,0.05,0.10772161676875432,0.0,0.13389276428244523,0.0,0.2574144987037786,0.1631064661024384,0.3076673027010802,0.14593114241001565,0.20461658841940533,2556,128
hydra,tshap_train,0.1,0.18139772921424044,0.0,0.22272523287963936,0.0,0.2555277310248874,0.2274089931661309,0.4300709554162852,0.2245696400625978,0.3212050078247261,2556,128
hydra,tshap_train,0.2,0.28814934678599946,0.0699023199023199,0.3456153032824637,0.13066666666666665,0.23967502403452773,0.3650625733714506,0.5212120344536765,0.36306729264475746,0.4397496087636933,2556,128
hydra,tshap_zero,0.05,0.07131368222196958,0.0,0.08993804564385362,0.0,0.30214125461105873,0.1631064661024384,0.24065083334234003,0.14593114241001565,0.18309859154929578,2556,128
hydra,tshap_zero,0.1,0.11504093865865825,0.0,0.14151863545746143,0.0,0.30423252252033617,0.2274089931661309,0.3388877401394063,0.2245696400625978,0.26721439749608766,2556,128
hydra,tshap_zero,0.2,0.1883513025591784,0.0,0.23394023775739176,0.0,0.2897182364501185,0.3650625733714506,0.39304241341288837,0.36306729264475746,0.352112676056338,2556,128
shapley_sampling,feature_ablation,0.05,0.3408857211839781,0.0,0.34183973737964346,0.0,0.21623364788066024,0.21793134691001131,0.322735105632297,0.2014866979655712,0.25078247261345854,2556,128
shapley_sampling,feature_ablation,0.1,0.3586589625756969,0.0,0.38565814740358423,0.0,0.2098590722188554,0.29974207913771084,0.3925999709604117,0.29890453834115804,0.3149452269170579,2556,128
shapley_sampling,feature_ablation,0.2,0.4046327753783866,0.3333333333333333,0.4533729357827686,0.5,0.2037044996927036,0.37564256867555873,0.44902541748311886,0.4029733959311424,0.40923317683881066,2556,128
shapley_sampling,mrsqm,0.05,0.08998435054773082,0.0,0.08998435054773082,0.0,0.44517970742150187,0.21793134691001131,0.1005424930351972,0.2014866979655712,0.09272300469483569,2556,128
shapley_sampling,mrsqm,0.1,0.11991175807736723,0.0,0.1290291825811334,0.0,0.41926038036137825,0.29974207913771084,0.15805010455192492,0.29890453834115804,0.15923317683881064,2556,128
shapley_sampling,mrsqm,0.2,0.20471354479989268,0.0,0.23001029504959628,0.0,0.37552483593707303,0.37564256867555873,0.25488896469682926,0.4029733959311424,0.27269170579029733,2556,128
shapley_sampling,tshap_centroid,0.05,0.11649946989107159,0.0,0.14512538620664284,0.0,0.2690897418666826,0.21793134691001131,0.2913834156036889,0.2014866979655712,0.19718309859154928,2556,128
shapley_sampling,tshap_centroid,0.1,0.18687861938750885,0.0,0.22726970748107497,0.0,0.266280303623463,0.29974207913771084,0.4224706421455504,0.29890453834115804,0.2981220657276995,2556,128
shapley_sampling,tshap_centroid,0.2,0.27052149838081935,0.0,0.3238834256954598,0.0,0.2582688874337436,0.37564256867555873,0.5058836486018312,0.4029733959311424,0.42214397496087636,2556,128
shapley_sampling,tshap_train,0.05,0.11038707750579485,0.0,0.1360632937594096,0.0,0.2729427418731815,0.21793134691001131,0.3076673027010802,0.2014866979655712,0.20461658841940533,2556,128
shapley_sampling,tshap_train,0.1,0.18682888746524506,0.0,0.22624863302734752,0.0,0.2673814950912508,0.29974207913771084,0.4300709554162852,0.29890453834115804,0.3212050078247261,2556,128
shapley_sampling,tshap_train,0.2,0.26125061265365007,0.0,0.31336356018807615,0.0,0.26065595322800905,0.37564256867555873,0.5212120344536765,0.4029733959311424,0.4397496087636933,2556,128
shapley_sampling,tshap_zero,0.05,0.0902857806301432,0.0,0.11035044444715442,0.0,0.31108117660043144,0.21793134691001131,0.24065083334234003,0.2014866979655712,0.18309859154929578,2556,128
shapley_sampling,tshap_zero,0.1,0.14367576962241232,0.0,0.17475442220021917,0.0,0.2984990357289784,0.29974207913771084,0.3388877401394063,0.29890453834115804,0.26721439749608766,2556,128
