perturbation,fraction,mode,n_samples,n_datasets,mean_score_drop,mean_bounded_relative_score_drop,flip_rate,perturbation_label
global_mean,0.05,bottom,760,38,0.09692277633667098,0.1439228224906936,0.07631578947368421,Global mean
global_mean,0.05,random,760,38,0.14219244584019788,0.22521626897026514,0.10157894736842106,Global mean
global_mean,0.05,top,760,38,0.21222696216457249,0.31569455775835514,0.14078947368421052,Global mean
global_mean,0.1,bottom,760,38,0.12101179496068529,0.16215683280521423,0.11710526315789474,Global mean
global_mean,0.1,random,760,38,0.1909632390620043,0.2610891469372231,0.1573684210526316,Global mean
global_mean,0.1,top,760,38,0.28857176911391874,0.3729384863330358,0.21710526315789475,Global mean
global_mean,0.2,bottom,760,38,0.1733125866383723,0.23321062106067544,0.21052631578947367,Global mean
global_mean,0.2,random,760,38,0.2774843294434705,0.32430745940326483,0.27263157894736845,Global mean
global_mean,0.2,top,760,38,0.39475135960909047,0.3932295944585587,0.3618421052631579,Global mean
linear_interpolation,0.05,bottom,760,38,0.046516785173008834,0.07341606584141258,0.05526315789473684,Linear interpolation
linear_interpolation,0.05,random,760,38,0.07979053274490623,0.11974828518153884,0.0868421052631579,Linear interpolation
linear_interpolation,0.05,top,760,38,0.1522602913827621,0.23277593619117898,0.12763157894736843,Linear interpolation
linear_interpolation,0.1,bottom,760,38,0.12427824659969751,0.12944343067892075,0.11578947368421053,Linear interpolation
linear_interpolation,0.1,random,760,38,0.18770469558767838,0.1996950976973066,0.15842105263157896,Linear interpolation
linear_interpolation,0.1,top,760,38,0.29586560132812617,0.3074007191653399,0.2131578947368421,Linear interpolation
linear_interpolation,0.2,bottom,760,38,0.23726293350691907,0.2376503503368934,0.20526315789473684,Linear interpolation
linear_interpolation,0.2,random,760,38,0.3941156767658181,0.33573930658611634,0.2765789473684211,Linear interpolation
linear_interpolation,0.2,top,760,38,0.5383653158514681,0.4519393930376899,0.3513157894736842,Linear interpolation
local_mean,0.05,bottom,760,38,0.058629023126078705,0.10289832281562841,0.04868421052631579,Local mean
local_mean,0.05,random,760,38,0.09553300954106417,0.17214815060694494,0.060526315789473685,Local mean
local_mean,0.05,top,760,38,0.17960411816999367,0.28494073829497407,0.11052631578947368,Local mean
local_mean,0.1,bottom,760,38,0.10375986756076562,0.14159325635926767,0.0881578947368421,Local mean
local_mean,0.1,random,760,38,0.1689844720577999,0.24506932554169722,0.13342105263157897,Local mean
local_mean,0.1,top,760,38,0.2799932387242725,0.35102600561949243,0.19078947368421054,Local mean
local_mean,0.2,bottom,760,38,0.17810909877671297,0.22872326569118814,0.19736842105263158,Local mean
local_mean,0.2,random,760,38,0.27993892058682573,0.32318356116834296,0.27394736842105266,Local mean
local_mean,0.2,top,760,38,0.3790653872719085,0.38607171314274585,0.3618421052631579,Local mean
