dataset,mean_hydra_drop,mean_shapley_drop,shapley_minus_hydra,cluster,cluster_name,distance_to_centroid
ACSF1,0.31958345923707776,0.2284341290786372,-0.09114933015844057,0,High-frequency / high-curvature,5.967116511608
Adiac,0.6033044452767805,0.7646207994474816,0.16131635417070112,3,Spiky / multi-class,3.7666450116621673
AllGestureWiimoteX,0.4700284284370374,0.25289672068243024,-0.21713170775460716,3,Spiky / multi-class,3.4155715036776786
AllGestureWiimoteY,0.5095291186648788,0.5633135143867166,0.0537843957218378,3,Spiky / multi-class,2.965351995076921
AllGestureWiimoteZ,0.5061535442900655,0.30411192899141526,-0.20204161529865028,3,Spiky / multi-class,3.175071102560276
ArrowHead,0.5645433192160738,0.3562711759899905,-0.20827214322608334,1,Smooth / low-complexity,1.2165794793245777
BME,-0.11286163248817171,0.41231996905809404,0.5251816015462658,1,Smooth / low-complexity,1.7510545385802954
Beef,0.22664041383841246,0.3745611288848167,0.14792071504640422,1,Smooth / low-complexity,2.0003585438632188
BeetleFly,0.13646564649532084,0.07070856515309479,-0.06575708134222605,1,Smooth / low-complexity,2.316713544762914
BirdChicken,-0.0118606456286209,0.07732293852072117,0.08918358414934206,1,Smooth / low-complexity,2.107774206333508
CBF,-0.10317612908177295,0.1153882326369011,0.21856436171867405,2,Short / moderately rough,2.150960418459904
Car,0.08623457061623874,0.37578605985430447,0.28955148923806573,1,Smooth / low-complexity,1.522126959364938
Chinatown,0.16932355960023387,0.9844315280482434,0.8151079684480096,2,Short / moderately rough,2.875296633737573
ChlorineConcentration,0.48271524351928174,0.3909167402105426,-0.09179850330873912,2,Short / moderately rough,2.9160922322988827
CinCECGTorso,0.10736999530009746,0.19998497972135942,0.09261498442126197,3,Spiky / multi-class,2.5191445225937885
Coffee,0.21509869487164224,0.8100786795773294,0.5949799847056871,1,Smooth / low-complexity,1.9112828712631025
Computers,0.1429474814873862,0.20578705552781235,0.06283957404042614,3,Spiky / multi-class,2.018765050413412
CricketX,0.4688584085916442,0.2600057695782191,-0.2088526390134251,2,Short / moderately rough,1.896273411269427
CricketY,0.3471602697296786,0.25767618234171014,-0.08948408738796848,2,Short / moderately rough,2.0590369047725874
CricketZ,0.45418332783460746,0.26809229641799953,-0.18609103141660793,2,Short / moderately rough,1.8946718005866785
Crop,0.2894096591272769,0.3720993023831898,0.08268964325591288,2,Short / moderately rough,3.317840684260779
DiatomSizeReduction,0.4644912046186951,0.4111674414346148,-0.053323763184080275,1,Smooth / low-complexity,1.143016116791755
DistalPhalanxOutlineAgeGroup,0.3379867983665827,0.26783610796034824,-0.07015069040623445,2,Short / moderately rough,1.8194771573343267
