dataset,cluster_name,hydra,shapley_sampling,aucs_diff,score_drop_gap
ACSF1,High-frequency / high-curvature,0.5815531405629317,0.4296367928726282,0.15191634769030354,-0.09114933015844057
Adiac,Spiky / multi-class,0.5553257200386541,0.5537028304797043,0.001622889558949847,0.16131635417070112
AllGestureWiimoteX,Spiky / multi-class,0.47067187168804603,0.25449200665581573,0.2161798650322303,-0.21713170775460716
AllGestureWiimoteY,Spiky / multi-class,0.5559622187068332,0.6400916294105569,-0.0841294107037237,0.0537843957218378
AllGestureWiimoteZ,Spiky / multi-class,0.5165654666994495,0.2901987449193595,0.22636672178008999,-0.20204161529865028
ArrowHead,Smooth / low-complexity,0.1464464809902785,0.46421394613934214,-0.3177674651490636,-0.20827214322608334
BME,Smooth / low-complexity,0.34560565673308224,0.5110974741410226,-0.16549181740794033,0.5251816015462658
Beef,Smooth / low-complexity,0.1372963058004249,0.36482349309586803,-0.22752718729544313,0.14792071504640422
BeetleFly,Smooth / low-complexity,-0.07529189555923817,-0.061037240867244345,-0.014254654691993822,-0.06575708134222605
BirdChicken,Smooth / low-complexity,-0.10000000015292695,0.010881065237476197,-0.11088106539040316,0.08918358414934206
CBF,Short / moderately rough,-0.009412464678382396,-0.04916913932967361,0.039756674651291214,0.21856436171867405
Car,Smooth / low-complexity,-0.11679617102012185,-0.07489210648958108,-0.04190406453054077,0.28955148923806573
Chinatown,Short / moderately rough,0.7111841027543857,0.8450799988056291,-0.1338958960512434,0.8151079684480096
ChlorineConcentration,Short / moderately rough,0.36974633455764677,0.14541205820630548,0.2243342763513413,-0.09179850330873912
CinCECGTorso,Spiky / multi-class,0.2822716198388409,0.24689861263008533,0.03537300720875558,0.09261498442126197
Coffee,Smooth / low-complexity,-0.09566281737160866,0.2697055747537689,-0.36536839212537753,0.5949799847056871
Computers,Spiky / multi-class,0.4482798626668917,0.4021810491356401,0.04609881353125156,0.06283957404042614
CricketX,Short / moderately rough,0.5059033786867437,0.42429516263699246,0.08160821604975127,-0.2088526390134251
CricketY,Short / moderately rough,0.7370987881437299,0.6454553408747096,0.0916434472690203,-0.08948408738796848
CricketZ,Short / moderately rough,0.5162229263146276,0.5516893282135875,-0.03546640189895989,-0.18609103141660793
Crop,Short / moderately rough,0.7098369142393409,0.7888111205233447,-0.07897420628400376,0.08268964325591288
DiatomSizeReduction,Smooth / low-complexity,0.38708793255473395,0.4673545763145415,-0.08026664375980758,-0.053323763184080275
DistalPhalanxOutlineAgeGroup,Short / moderately rough,0.05229377880619215,0.21161442730579866,-0.1593206484996065,-0.07015069040623445
DistalPhalanxOutlineCorrect,Short / moderately rough,0.356275571378856,0.34405028276027483,0.012225288618581187,0.23495402830402345
