true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
1,1,hydra,0.9181222159654451,0.8848394820253752,0.20465149853306921,MiddlePhalanxOutlineCorrect,212
1,1,shapley_sampling,0.9585608380404523,0.9670989760722354,0.06361844923813725,MiddlePhalanxOutlineCorrect,212
1,1,feature_ablation,0.8827222108788051,0.707748516476003,0.4391194064987709,MiddlePhalanxOutlineCorrect,212
1,1,tshap_centroid,0.9475126565605686,0.8024205766768263,0.3269763324075252,MiddlePhalanxOutlineCorrect,212
1,1,tshap_zero,0.9409876381133323,0.8310427419685638,0.286476728221956,MiddlePhalanxOutlineCorrect,212
1,1,mrsqm,0.7737616602469429,0.08793053390244657,0.8372420859003314,MiddlePhalanxOutlineCorrect,212
1,1,hydra,0.8109744627038236,0.9750000000137263,0.04850473898741513,MiddlePhalanxOutlineCorrect,208
1,1,shapley_sampling,0.9749999969730584,0.9711011249142024,0.056133947164203064,MiddlePhalanxOutlineCorrect,208
1,1,feature_ablation,0.9681088003674596,0.6358633249441885,0.5292176647041354,MiddlePhalanxOutlineCorrect,208
1,1,tshap_centroid,0.8072136203971477,0.9451509358679218,0.1027185433913749,MiddlePhalanxOutlineCorrect,208
1,1,tshap_zero,0.936247088470758,0.9166623550438643,0.15305177665410058,MiddlePhalanxOutlineCorrect,208
1,1,mrsqm,0.41728088665795315,0.43097132894300366,0.4814812682999132,MiddlePhalanxOutlineCorrect,208
0,0,hydra,0.23227024108643088,0.28157112139270346,0.3510461835524342,MiddlePhalanxOutlineCorrect,54
0,0,shapley_sampling,0.1989344400400329,-0.16741313647967382,0.3399408504716045,MiddlePhalanxOutlineCorrect,54
0,0,feature_ablation,0.1789976242274333,0.10439009876156535,0.29836389706418043,MiddlePhalanxOutlineCorrect,54
0,0,tshap_centroid,0.22126656336433087,0.3263654875049949,0.33311568745237463,MiddlePhalanxOutlineCorrect,54
0,0,tshap_zero,0.33894456455895156,0.21586936769817192,0.4733019061693784,MiddlePhalanxOutlineCorrect,54
0,0,mrsqm,0.5094208806410824,0.3975892954437424,0.5520271158121401,MiddlePhalanxOutlineCorrect,54
0,0,hydra,-0.4235009534008999,-0.09258670915256717,-1.3831157187898657,MiddlePhalanxOutlineCorrect,276
0,0,shapley_sampling,-0.6657472653933448,-0.2875139552337202,-2.7571721317932774,MiddlePhalanxOutlineCorrect,276
0,0,feature_ablation,-0.5909522504661278,-0.2817598556166332,-2.192966219787814,MiddlePhalanxOutlineCorrect,276
0,0,tshap_centroid,-0.4740516469213608,-0.2814723850069134,-1.5047522708845849,MiddlePhalanxOutlineCorrect,276
0,0,tshap_zero,-0.5041052633738463,-0.24174121528873435,-1.6972282350129122,MiddlePhalanxOutlineCorrect,276
0,0,mrsqm,-0.024620402604641392,-0.0633918371844433,-0.05040788432647056,MiddlePhalanxOutlineCorrect,276
