perturbation,fraction,mode,n_samples,n_datasets,mean_score_drop,mean_bounded_relative_score_drop,flip_rate,perturbation_label
blur,0.05,bottom,6236,128,0.0127028633034877,0.02082531114633195,0.023091725465041693,
blur,0.05,random,6236,128,0.016564422210802024,0.03457156090714791,0.020461834509300836,
blur,0.05,top,6236,128,0.04312162813909942,0.07299135635618482,0.028864656831302116,
blur,0.1,bottom,6236,128,0.018264270803387803,0.023523225151303794,0.03191148171905067,
blur,0.1,random,6236,128,0.028945782999564993,0.04597883426163384,0.03694676074406671,
blur,0.1,top,6236,128,0.05852541053240637,0.08004361858683498,0.051796023091725464,
blur,0.2,bottom,6236,128,0.03469611669504578,0.038887107635432266,0.061257216164207824,
blur,0.2,random,6236,128,0.053798200117191074,0.0661450396237673,0.06815266196279667,
blur,0.2,top,6236,128,0.08496059193936824,0.09752989810315209,0.08595253367543297,
global_mean,0.05,bottom,6236,128,0.0882809070051839,0.11158261475234654,0.08739576651699807,Global mean
global_mean,0.05,random,6236,128,0.1270767811304996,0.17977533790327663,0.10830660679923028,Global mean
global_mean,0.05,top,6236,128,0.20942194069752385,0.29838284038242485,0.16404746632456704,Global mean
global_mean,0.1,bottom,6236,128,0.11669559493850157,0.14207310013357222,0.12508017960230916,Global mean
global_mean,0.1,random,6236,128,0.19143173503737032,0.24420725070996183,0.1640795381654907,Global mean
global_mean,0.1,top,6236,128,0.2952554672650334,0.364533306257013,0.25416933932007696,Global mean
global_mean,0.2,bottom,6236,128,0.1748557990650553,0.18807207057306075,0.2140795381654907,Global mean
global_mean,0.2,random,6236,128,0.2986052264625119,0.3260736382226752,0.2850865939704939,Global mean
global_mean,0.2,top,6236,128,0.4410370643751043,0.4246542586786142,0.39127645926876203,Global mean
linear_interpolation,0.05,bottom,6236,128,0.036002704535050126,0.05976568199557498,0.04137267479153303,Linear interpolation
linear_interpolation,0.05,random,6236,128,0.05148331823988406,0.09072386588282963,0.05266196279666453,Linear interpolation
linear_interpolation,0.05,top,6236,128,0.1374763229796547,0.19510527090989824,0.10182809493264913,Linear interpolation
linear_interpolation,0.1,bottom,6236,128,0.0832030371133701,0.10811252418424777,0.08723540731237973,Linear interpolation
linear_interpolation,0.1,random,6236,128,0.124268128527612,0.16350701426403053,0.11234765875561258,Linear interpolation
linear_interpolation,0.1,top,6236,128,0.24064787475662974,0.2830719986502922,0.1848941629249519,Linear interpolation
linear_interpolation,0.2,bottom,6236,128,0.16397430641170768,0.18258125710529693,0.19547787042976267,Linear interpolation
linear_interpolation,0.2,random,6236,128,0.28505235123436584,0.2966796311020208,0.241180243745991,Linear interpolation
linear_interpolation,0.2,top,6236,128,0.4529796271114577,0.4103346518391498,0.3247273893521488,Linear interpolation
local_mean,0.05,bottom,6236,128,0.05641064739707435,0.08496363986192251,0.051796023091725464,Local mean
local_mean,0.05,random,6236,128,0.0841099554086381,0.1419019038155229,0.07004490057729314,Local mean
local_mean,0.05,top,6236,128,0.16185575050504789,0.2543273186065722,0.1355035279025016,Local mean
local_mean,0.1,bottom,6236,128,0.11787453029402363,0.15445605164916776,0.10792174470814625,Local mean
local_mean,0.1,random,6236,128,0.16637590857104134,0.22700935363556116,0.14605516356638873,Local mean
local_mean,0.1,top,6236,128,0.27848269699888284,0.35024921264782793,0.23733162283515075,Local mean
local_mean,0.2,bottom,6236,128,0.19013526883293358,0.2071138702473464,0.21712636305323926,Local mean
local_mean,0.2,random,6236,128,0.3002769470714638,0.3318979553233249,0.28662604233483,Local mean
local_mean,0.2,top,6236,128,0.443032943663746,0.42779845404077765,0.3943232841565106,Local mean
