fraction,mode,perturbation,n_samples,mean_score_drop,mean_bounded_relative_score_drop,flip_rate,base_accuracy,dataset,model
0.1,bottom,global_mean,50,-0.24750913013330259,-0.45067386683525407,0.26,0.7711111111111111,SemgHandSubjectCh2,HYDRA
0.1,random,global_mean,50,-0.08994634313961913,-0.2949247751916074,0.196,0.7711111111111111,SemgHandSubjectCh2,HYDRA
0.1,top,global_mean,50,-0.1754901782498213,-0.4720693190815771,0.14,0.7711111111111111,SemgHandSubjectCh2,HYDRA
0.1,bottom,global_mean,50,0.29296965778419076,0.4651662082752894,0.4,0.83,SemgHandGenderCh2,HYDRA
0.1,random,global_mean,50,0.3987078732705601,0.5500000819753843,0.46,0.83,SemgHandGenderCh2,HYDRA
0.1,top,global_mean,50,0.27900473423949934,0.3102146778813039,0.38,0.83,SemgHandGenderCh2,HYDRA
0.1,bottom,global_mean,50,-0.034761236642338635,0.10965878971448033,0.54,0.46444444444444444,SemgHandMovementCh2,HYDRA
0.1,random,global_mean,50,0.03254784584989086,-0.002045199950401848,0.46,0.46444444444444444,SemgHandMovementCh2,HYDRA
0.1,top,global_mean,50,-0.04540324602283678,-0.2846013306125094,0.36,0.46444444444444444,SemgHandMovementCh2,HYDRA
0.1,bottom,global_mean,50,0.05860397228985995,0.08059876778997083,0.0,0.7410071942446043,Earthquakes,HYDRA
0.1,random,global_mean,50,0.16918836009350346,0.2422226489386829,0.016,0.7410071942446043,Earthquakes,HYDRA
0.1,top,global_mean,50,0.2949778604218749,0.452580970138761,0.06,0.7410071942446043,Earthquakes,HYDRA
0.1,bottom,global_mean,50,0.36536230822055243,0.6805155905966354,0.18,0.9888888888888889,ShapeletSim,HYDRA
0.1,random,global_mean,50,0.4873721806363342,0.8092699943216732,0.40399999999999997,0.9888888888888889,ShapeletSim,HYDRA
0.1,top,global_mean,50,0.6667706673373608,0.913333542608304,0.66,0.9888888888888889,ShapeletSim,HYDRA
0.1,bottom,global_mean,50,0.04480979296100023,0.02940637732841828,0.0,0.96,SmoothSubspace,HYDRA
0.1,random,global_mean,50,0.07845666980545739,0.09606093229405559,0.048,0.96,SmoothSubspace,HYDRA
0.1,top,global_mean,50,0.1392098514115328,0.2470110278918792,0.08,0.96,SmoothSubspace,HYDRA
0.1,bottom,global_mean,50,0.08783009876230517,0.21384732946867158,0.26,0.89,ACSF1,HYDRA
0.1,random,global_mean,50,0.12208148769601705,0.31996321459610294,0.22399999999999998,0.89,ACSF1,HYDRA
