dataset,cluster_name,series_length,n_instances,n_classes,log_series_length,log_n_instances,class_centroid_distance,normalized_centroid_separation,variance,mean_abs_diff,mean_abs_second_diff,spectral_entropy,spectral_centroid,low_freq_energy_ratio,spike_ratio,zero_crossing_rate,acf_lag1,acf_lag5,acf_lag10,skewness,kurtosis,cluster,pca1,pca2,distance_to_centroid
ACSF1,High-frequency / high-curvature,1460,200,10,7.2868764117507,5.303304908059076,11.608600311088455,1.0342918493987006,1.0000000125169755,1.1603036788105965,2.111698042154312,1.3344017298147082,0.33115806220878474,0.032082666976951654,0.002780821917808219,0.5060623714873201,-0.20031577425076225,-0.2013780923429125,-0.4485208942584801,1.4724724905774929,3.9628755497932433,0,10.771607332152803,-2.1891601804014567,5.967116511608
Adiac,Spiky / multi-class,176,781,37,5.176149732573829,6.661854740545311,1.9946571323469153,2.384068796356243,0.9999999765702613,0.07097245004891434,0.012054208222485688,0.12625360387292775,0.011705272419813843,0.9997595061718578,1.4550110580840415e-05,0.022915675873422352,0.9969688519764076,0.9261567912796631,0.7131116222540256,0.20492180174028218,-1.26757878591706,3,-2.1988940763058467,-0.8272118578366128,3.7666450116621673
AllGestureWiimoteX,Spiky / multi-class,500,1000,10,6.2166061010848646,6.90875477931522,3.4337803606799215,0.42534595518544427,1.0000000169873238,0.10846798292174935,0.13340176313742996,3.27805324614048,0.03989086905694345,0.9360480561647564,0.047682000000000016,0.38731062124248494,0.9398311112991165,0.4453326218053295,0.11139230486470222,-0.1450263107989449,17.414752189397813,3,1.244216582934262,0.8581733238459637,3.4155715036776786
AllGestureWiimoteY,Spiky / multi-class,500,1000,10,6.2166061010848646,6.90875477931522,4.124988241095803,0.5561402822508639,1.000000015795231,0.08166827735304832,0.10298557886481285,3.0631752668619154,0.028567852762549424,0.967828720882535,0.04750000000000001,0.3816973947895791,0.967066153383141,0.6621816247771829,0.25629133743007754,1.1558489414141513,15.316666899442673,3,0.7250075295594407,1.2759296472824917,2.965351995076921
AllGestureWiimoteZ,Spiky / multi-class,500,1000,10,6.2166061010848646,6.90875477931522,3.7727856515197167,0.5961915527682626,1.0000000153183937,0.1041144538782537,0.12892509384453296,3.241758828043938,0.03757159253392764,0.9382888320237398,0.05136800000000001,0.34658717434869746,0.9447599303519204,0.5087238183976197,0.13321549199025265,-0.21454528403282166,16.585077852249146,3,1.015264648002794,0.9434903505204334,3.175071102560276
ArrowHead,Smooth / low-complexity,251,211,3,5.529429087511423,5.356586274672012,4.53210394297687,1.1329813900541021,0.9999999940677842,0.05460483889797287,0.03339659449119139,0.5607820619339061,0.009327828418244985,0.9995461309690611,5.664545609033062e-05,0.01846445497630332,0.9975792794255193,0.9476307665564913,0.7990940165788688,-0.2100108792625756,-1.126581541734849,1,-2.108253263912207,-0.8027447567544305,1.2165794793245777
BME,Smooth / low-complexity,128,180,3,4.859812404361672,5.198497031265826,5.847638270798172,1.0418573318394653,0.9999999996688631,0.06897967886179686,0.061386545188724995,1.0816988670163685,0.015757467406842533,0.9896099868747923,0.0008680555555555555,0.02099737532808399,0.9878044176121541,0.8179888136292435,0.6061156366235555,0.24035023877966322,-1.5330316066741942,1,-1.5507175074285948,-0.941154425396426,1.7510545385802954
Beef,Smooth / low-complexity,470,60,5,6.154858094016418,4.110873864173311,10.24757083207699,1.4586941412864562,1.0000000506639481,0.03707702765241265,0.022462024663885433,1.7001743018627167,0.007495520024426617,0.9971222718556721,0.017340425531914894,0.021321961620469083,0.9978789819749232,0.9599571131130368,0.8745016757184948,-0.19606249689434965,0.6012145121892293,1,-1.9523810373160535,0.40646410747505574,2.0003585438632188
BeetleFly,Smooth / low-complexity,512,40,2,6.240275845170769,3.713572066704308,10.319757272912481,0.5015808263359063,1.0000000178813935,0.08798922225832939,0.029972273856401443,2.0404370218515395,0.012133871858227093,0.9992141559720039,0.000244140625,0.03287671232876712,0.9954543064292839,0.900911974009683,0.6623983421149793,0.14946653693914413,-0.6859811514616012,1,-1.5656111455199997,0.11876678637207454,2.316713544762914
BirdChicken,Smooth / low-complexity,512,40,2,6.240275845170769,3.713572066704308,9.956553347005354,0.5642675276980132,1.0000000178813935,0.04021774842403829,0.025104053760878743,1.1931022718548774,0.005758157982072576,0.9996692791581154,0.005029296875,0.015166340508806261,0.9988675624168593,0.9789986718531442,0.9230955387473138,-0.003920772345736623,-0.5437280386686325,1,-2.159818140560322,0.09674797102227324,2.1077742063335076
CBF,Short / moderately rough,128,930,3,4.859812404361672,6.836259277277067,7.256496377330777,0.9257004707455565,1.00000002082958,0.4940597497968264,0.8533266709696862,2.044855148561539,0.06344223482733223,0.82271400959261,0.00582997311827957,0.1315976631953264,0.7892029638543233,0.6616021944460186,0.4945250565719399,0.26556980398919194,-0.6350985980802967,2,1.5484876096532278,-1.39778054632548,2.150960418459904
Car,Smooth / low-complexity,577,120,4,6.359573868672378,4.795790545596741,7.357255747789637,1.0661752577505015,1.000000011920929,0.02658588996467491,0.007547913126957914,0.33624318105479084,0.003766482097646546,0.9998781388004621,0.0,0.007349537037037039,0.9995755589944247,0.9909936700133871,0.9664649000740676,-0.06709322978955849,-1.24839053551356,1,-2.4834783142484365,-0.3000043268496031,1.522126959364938
Chinatown,Short / moderately rough,24,363,2,3.2188758248682006,5.8971538676367405,804.9517090336439,1.2104392132359763,1.0000000126434094,0.2806944317972036,0.27352628871264867,0.47604064429922865,0.05375693730212082,0.9107599173038787,0.0,0.08168642951251646,0.9248269817322389,0.41771223415778985,-0.5790526993276252,0.205668601841145,-1.5661757136836196,2,0.6953286245994285,-2.966709556671068,2.875296633737573
ChlorineConcentration,Short / moderately rough,166,4307,3,5.117993812416755,8.36822903827628,0.6163513627518032,0.11114819447673176,0.9999999914198097,0.4121586806416539,0.6282885934468181,3.297735124390502,0.08863582145594902,0.7484031986312852,0.03226325315191576,0.20005769325481418,0.7861187520954849,0.26927963648961484,0.16854738522057489,1.781087380116241,4.927322636852969,2,2.887966185161336,-0.21235970874476212,2.9160922322988827
CinCECGTorso,Spiky / multi-class,1639,1420,4,7.402451520818244,7.259116128097101,6.738567704611843,0.16795804406951592,1.0000000159085636,0.02843911735878759,0.018707578898158293,3.2600151448182655,0.00785521689732131,0.9991355854440743,0.030690304118794528,0.015194586321346886,0.9972968727732883,0.9463029963549834,0.8248147103004939,-0.3938560483039317,23.560786064074072,3,-1.3663999421570407,1.7879319143271846,2.5191445225937885
Coffee,Smooth / low-complexity,286,56,2,5.659482215759621,4.04305126783455,1.7363325367063893,1.3194279366481445,1.0000000298023224,0.06029962548719985,0.038104692374223044,1.5891993301255363,0.009824888789719748,0.9949834729943957,0.0,0.015538847117794487,0.9961234463815634,0.9336044773177423,0.8196842949948525,-0.35568354544895037,-0.8561167929853711,1,-1.9088188857187534,-0.3322211480508724,1.9112828712631025
Computers,Spiky / multi-class,720,500,2,6.580639137284949,6.2166061010848646,2.828209292593932,0.10953510500306068,1.0000000265836715,0.16913676923140883,0.32412673768401146,3.0711986644268037,0.043649705840408996,0.8871147517943755,0.03339166666666667,0.06303477051460361,0.8640987903537608,0.7427831347674904,0.6183534645228106,3.1654297861475498,18.70038741827011,3,0.4931426119134942,1.888749554257791,2.0187650504134114
CricketX,Short / moderately rough,300,780,12,5.707110264748875,6.660575149839686,7.483536722019098,0.45968186264567656,0.9999999679051913,0.18786727565412337,0.25879447613006984,2.469508103414988,0.03986080106472629,0.9047136765642044,0.023517094017094016,0.056457422176485715,0.8968380734199345,0.6695594458118467,0.45615348385061083,1.0276077320813224,5.074553793057417,2,0.07256966754495335,0.30661615562606365,1.896273411269427
CricketY,Short / moderately rough,300,780,12,5.707110264748875,6.660575149839686,9.441043790716014,0.6043323038014186,0.999999966376867,0.1732128651955953,0.2309241943538953,2.392719719195977,0.03067248704128659,0.9384531369576088,0.02394871794871795,0.059150158648486405,0.9335231320583462,0.7227221003885513,0.4731812504945549,-0.6986573366764695,2.348061930674773,2,-0.39525243218551515,-0.14279205161324426,2.0590369047725874
CricketZ,Short / moderately rough,300,780,12,5.707110264748875,6.660575149839686,7.494000612157761,0.4603909555638435,0.99999996309097,0.18726342937503104,0.25692236659427486,2.4692975479822894,0.03979098923887227,0.9049427434037893,0.023388888888888886,0.05562987736900779,0.8971964453523499,0.669109120003161,0.4557991966042765,1.024582793028094,5.060727896598669,2,0.06616966927416759,0.3040588409511495,1.8946718005866785
Crop,Short / moderately rough,46,24000,24,3.8501476017100584,10.085850775128717,1.669322892457498,2.4971558893034724,1.0000000046690305,0.3749896400983756,0.453838792414094,1.563388284958899,0.0758379131846412,0.8052641122999291,0.010470108695652175,0.1414009259259259,0.8243584608365326,0.32378605544029476,-0.11764265452401326,-0.021127479007498246,-0.20404555495083332,2,1.701899383484869,-2.2684759018440204,3.317840684260779
DiatomSizeReduction,Smooth / low-complexity,345,322,4,5.846438775057724,5.777652323222656,3.3857281135947694,1.5436575181800658,1.000000064047227,0.0368944809581182,0.007290914660877901,0.16262653057018053,0.006047014981603277,0.9999397356317651,0.0,0.011754297269969665,0.9991766178395135,0.9799662689151801,0.9196404512620674,0.23859987229232457,-1.2596642889591478,1,-2.3736754910612112,-0.622718755044155,1.143016116791755
DistalPhalanxOutlineAgeGroup,Short / moderately rough,80,539,3,4.394449154672439,6.29156913955832,1.751121633194795,1.10847262271566,0.9999999732387309,0.16206199874849178,0.0835941752802463,1.2748885364833258,0.02678014519310749,0.989247809203967,0.0,0.0599798031986097,0.9778991896401991,0.6457645156536698,0.20520780881658343,0.1788119132376098,-1.406341873427269,2,-0.6965193700334605,-1.5645633000573933,1.8194771573343267
DistalPhalanxOutlineCorrect,Short / moderately rough,80,876,2,4.394449154672439,6.776506992372183,0.6010870558256902,0.26556189557377324,0.999999974484313,0.16271033817604524,0.08826094718658489,1.2683943855708049,0.026575720520601094,0.9888756457529112,0.0,0.05850817871799319,0.9779564713364222,0.6526102455607143,0.22408345899689242,0.176191242030725,-1.382730165028681,2,-0.6822242042924305,-1.6005442589147045,1.7872175265744616
DistalPhalanxTW,Short / moderately rough,80,539,6,4.394449154672439,6.29156913955832,1.742413380497841,1.2476843967372715,0.9999999732387309,0.16206199874849178,0.0835941752802463,1.2748885364833258,0.02678014519310749,0.989247809203967,0.0,0.0599798031986097,0.9778991896401991,0.6457645156536698,0.20520780881658343,0.1788119132376098,-1.406341873427269,2,-0.7135960885152872,-1.5346809350459012,1.8113706185664766
DodgerLoopDay,Short / moderately rough,288,144,7,5.666426688112432,4.976733742420574,99.72599382387249,0.9524556989809908,1.0000000033113692,0.41872224273780984,0.7206857490042845,2.004135268429915,0.04514948628799823,0.8708396467069784,0.004557291666666667,0.15084204413472707,0.8424440222279339,0.7953320477212136,0.7316292365885825,0.07821307140020256,-0.781490195956495,2,0.6540129351354438,-0.6739228074608341,2.8704520360922317
DodgerLoopGame,Short / moderately rough,288,144,2,5.666426688112432,4.976733742420574,57.61597563842781,0.4620764268313206,1.0000000033113692,0.41872224273780984,0.7206857490042845,2.004135268429915,0.04514948628799824,0.8708396467069784,0.004557291666666667,0.15084204413472704,0.8424440222279339,0.7953320477212136,0.7316292365885825,0.07821307140020256,-0.781490195956495,2,0.6872991713225631,-0.7218138644009828,2.8842179152474166
DodgerLoopWeekend,Short / moderately rough,288,144,2,5.666426688112432,4.976733742420574,139.93449671864627,1.268363134347276,1.0000000033113692,0.41872224273780984,0.7206857490042845,2.004135268429915,0.04514948628799824,0.8708396467069784,0.004557291666666667,0.15084204413472707,0.8424440222279339,0.7953320477212135,0.7316292365885825,0.07821307140020256,-0.781490195956495,2,0.6722412294207916,-0.7277835796824703,2.8826752187077638
ECG200,Short / moderately rough,96,200,2,4.574710978503383,5.303304908059076,4.682615079619424,0.8169285048630847,1.0,0.21290282923728227,0.26167990297079086,1.6717528462409974,0.03534632482380238,0.9159658572077751,0.014583333333333335,0.07310526315789474,0.9400492256020699,0.6981303380826511,0.3636308868857224,-0.13068882832711096,0.38704051792621613,2,-0.21736035776411586,-1.0458693484751556,1.7760682640055443
ECG5000,Short / moderately rough,140,5000,5,4.948759890378168,8.517393171418904,6.879884946230581,0.9466220080420598,0.9999999994516373,0.150562150464952,0.13786470389142633,2.179319893372059,0.03643641864250666,0.9446247464299202,0.040015714285714286,0.04676258992805756,0.9529938930604421,0.6117555782833438,0.2831260707533502,-1.6979262679241132,4.890505524206161,2,-0.2692596660631487,-0.7532314334155172,2.7209373952616915
ECGFiveDays,Short / moderately rough,136,884,2,4.919980925828125,6.785587645007929,3.3173596406927133,0.4253090228548971,1.0000000218460463,0.1808227478311612,0.1617846719549792,2.9502002931288462,0.06696391685795444,0.7454606450049046,0.039168552036199095,0.07870789341377578,0.8601702339539528,0.16692271588241644,0.08553137653598214,-2.3424007744039512,15.165275192908032,2,1.332230911653428,-0.7352687624546711,2.813177173685587
EOGHorizontalSignal,Spiky / multi-class,1250,724,12,7.1316985104669115,6.586171654854675,4729.544859462723,1.739189216982807,1.0000000037870354,0.011484645050435805,0.01174872854817144,1.7726141124634454,0.00342383719817639,0.9985116183428474,0.024662983425414366,0.003160539481308803,0.9993022890400183,0.9890211975442712,0.9632510278312921,0.41282909697961084,1.3110185076189305,3,-2.0812985632326244,1.1090777143897796,2.0901629586657884
EOGVerticalSignal,Spiky / multi-class,1250,724,12,7.1316985104669115,6.586171654854675,3699.0734604257395,1.051957918627621,1.0000000018111908,0.013085667846289603,0.01389079029769611,1.9060527132360974,0.003891929091620236,0.99855361483703,0.02652707182320442,0.004140328837655759,0.9991348235631419,0.9842989671669249,0.9487678363754878,0.6558619774714014,3.3111043276049155,3,-1.9759628008931054,1.2810066477653583,1.9574574958451123
Earthquakes,High-frequency / high-curvature,512,461,2,6.240275845170769,6.135564891081739,2.741228014907439,0.12171372605250197,1.0000000142223664,0.7123770514046551,1.3947133265451856,5.1137704673402995,0.24016845709160867,0.23026742587379156,0.0355545010845987,0.2710562845171944,0.04756378697222306,0.015549643952143916,0.013388914613714014,2.083579411863505,3.628104675617756,0,8.095125569489456,0.36683669821966586,3.140258052104593
ElectricDevices,Short / moderately rough,96,16637,7,4.574710978503383,9.719444514843833,2.404933126656817,0.2536865391366111,0.9999999982230027,0.5316621401413443,0.9650568589646509,2.7276968485313287,0.18592524925347093,0.3977240702767309,0.024005855422652322,0.20948108686092828,0.30631526507766976,0.06707955798822181,0.03933440625234991,3.0885608926470702,17.057747723434726,2,5.843680161213605,-0.7666503032105476,5.897277391951951
EthanolLevel,Smooth / low-complexity,1751,1004,4,7.468513271496337,6.912742820493176,0.6898864754535142,0.131934665146119,1.0000000274276353,0.005018923478479315,0.002555326225288932,0.4596312516535896,0.0007300448923076101,0.9999930643109212,0.0,0.001339783722253842,0.9999679423097447,0.9993445066326155,0.9975147883923063,0.48395773056018876,-1.4194351107000829,1,-2.487402824841119,0.22151796022226053,1.7279372710760283
FaceAll,Short / moderately rough,131,2250,14,4.882801922586371,7.719129840906732,6.842886310021758,0.7513557644436764,1.0000000105433995,0.41191243289576635,0.3449914240952995,2.8428070549964906,0.09312830214273102,0.6962301674750117,0.023745547073791347,0.1811042735042735,0.8107321157672486,-0.2596514738200738,-0.13760798891787,0.4788466306281625,2.8220258706410726,2,3.064405640487387,-1.1153204858451122,3.1151503360889166
FaceFour,Short / moderately rough,350,112,4,5.860786223465865,4.727387818712341,14.364712016737405,1.1284061177699423,1.0000000505575113,0.18447248730808496,0.3194668633597238,2.891828430550439,0.043516695308595,0.9614955527441842,0.028903061224489796,0.07981989357347523,0.930566960342189,0.38303728896107625,-0.21692078377411037,0.46124281047377735,1.6582580081054143,2,0.7443639017826834,0.023320727103181775,2.6863020396661494
FacesUCR,Short / moderately rough,131,2250,14,4.882801922586371,7.719129840906732,6.842886310021758,0.7513557644436764,1.0000000120268928,0.4119124321010378,0.344991424108545,2.8428070549964906,0.09312830224591358,0.6962301688724094,0.023745547073791347,0.1811042735042735,0.8107321157289269,-0.25965147383440235,-0.1376079888596666,0.4788466279031321,2.822025898191664,2,3.064405637248169,-1.1153204855053584,3.115150333471339
FiftyWords,Spiky / multi-class,270,905,50,5.602118820879701,6.80903930604298,14.413019738284087,1.2818655339516467,1.0000000162019256,0.0663210668966421,0.01607868647378437,1.756020346514428,0.013964379836291185,0.9983307272689778,0.033443830570902396,0.027090307872414707,0.9931321876340938,0.8598419629948915,0.5999435752450614,1.440861385200399,1.8528655525070528,3,-1.4834563187119632,0.9852538957205849,3.0554564308936816
Fish,Smooth / low-complexity,463,350,7,6.139884552226255,5.860786223465865,4.312077660604983,1.0532309331451888,1.000000024352755,0.031097822466066904,0.00459131744025009,0.3255031277026449,0.004956381613469471,0.998994015284947,6.170934896636841e-06,0.008930117501546073,0.9982257064079165,0.9851865864581792,0.9460905731022574,0.20235903553731208,-0.90691842011043,1,-2.398260897319891,-0.3960091568465889,1.0508892314003135
FordA,Short / moderately rough,500,4921,2,6.2166061010848646,8.501470230951002,0.6097156696959571,0.027301689099759302,0.9999999398381892,0.24427936954835983,0.09349685138762542,2.5221639841801022,0.04724446218014038,0.9757264676895405,0.010782767730136152,0.0969604317352445,0.9517505450771746,0.12718743393069948,-0.6053049723222789,0.006658609443562133,-0.10233008178407839,2,1.0591009782716292,-1.0677446086887297,2.9534103667051923
FordB,Short / moderately rough,500,4446,2,6.2166061010848646,8.399984990510696,0.687322749662812,0.030775697142920135,0.9999999396982249,0.2586370282113096,0.10415060674160839,2.733142415374129,0.05039650152771807,0.9726848133072572,0.013263157894736841,0.10412818439397914,0.9454616802112384,0.03513210673943586,-0.6169326088492629,-0.0032336190739693216,0.07202505513026915,2,1.2971018320967191,-0.9998043802465104,3.0702203149410883
FreezerRegularTrain,Smooth / low-complexity,301,3000,2,5.71042701737487,8.006700845440367,7.0400576074655685,0.9572696050252083,0.999999978641669,0.022801293274077275,0.044225142735987905,1.4774756737550099,0.01229801754764555,0.981628680323561,0.0002502768549280177,0.006313333333333332,0.9823109402105055,0.9103307303032994,0.8160135893912347,-0.7406268410270956,-0.6073871581554413,1,-1.8389738823005246,-0.7464939533307237,1.611191594409248
FreezerSmallTrain,Smooth / low-complexity,301,2878,2,5.71042701737487,7.965198290612176,7.063155827456449,0.9621666457890028,0.9999999787096683,0.022790936336032606,0.04419828440717022,1.477514928749156,0.012304096111213756,0.9816050736325495,0.00023087276832610317,0.006300671762798239,0.9822925921994209,0.910297716611508,0.8160103299039888,-0.7402852275179856,-0.5953476426914551,1,-1.8400700546442927,-0.7431558362424892,1.5833721067916056
Fungi,Spiky / multi-class,201,204,18,5.308267697401205,5.3230099791384085,163.12441372858493,6.781657748604671,1.0000000052592333,0.06789587757678009,0.0251641900771681,2.2673851795056286,0.021860431637762908,0.9964484589941361,0.04228855721393034,0.015196078431372547,0.9833500055341104,0.6805744283109437,0.3078900332344205,3.1280221366414835,10.380290788762709,3,-0.7148056567663119,1.3191210366036843,2.612808565968018
GestureMidAirD1,Spiky / multi-class,360,338,26,5.8888779583328805,5.82600010738045,966.2410603677001,1.6417395113374895,1.0000000081118747,0.03656846813350563,0.036291262090823354,1.8241837592519952,0.012726020380518078,0.9864694929334539,0.02770381328073635,0.2590529247910864,0.9900513289948306,0.9298059022382418,0.8148846547126585,0.054595067201612085,2.150049966115218,3,-1.1366688759822312,0.5620017093413143,2.1076367944376724
GestureMidAirD2,Spiky / multi-class,360,338,26,5.8888779583328805,5.82600010738045,792.7343519452735,1.2404984568316328,1.0000000125205024,0.039438052229671436,0.03902405705413169,1.7967098521057672,0.012081530116076792,0.9891087465737698,0.02809007232084155,0.041197606764352,0.9915031584171302,0.9307435820236051,0.8068996526715826,-0.15742341291983253,1.9150123028360175,3,-1.7235220405076188,0.5833598663788238,1.726255740002204
GestureMidAirD3,Spiky / multi-class,360,338,26,5.8888779583328805,5.82600010738045,616.3662015821373,0.7248640446869618,0.9999999966494431,0.039708775024552494,0.04319166525311151,1.883533945450416,0.01286576632464499,0.9863870219718776,0.030177514792899405,0.18151176014900033,0.9902407314791644,0.9262393445485705,0.8039155167697749,0.179947150030763,2.4442152938193824,3,-1.2660179433021155,0.6935154379129834,1.669319817331939
GesturePebbleZ1,Spiky / multi-class,455,304,6,6.1224928095143865,5.720311776607412,87.54811072349986,0.9806101131238614,1.0000000205871307,0.14087889880236043,0.1711957199302943,3.7637446679567037,0.06628212144156154,0.7580300339154507,0.024999999999999998,0.28217742870391843,0.8264448546405552,0.4934496884868372,0.393414522340324,3.046172299287527,24.30741868521038,3,1.8532096689432407,1.659801221687814,3.007194775671875
GesturePebbleZ2,Spiky / multi-class,455,304,6,6.1224928095143865,5.720311776607412,87.54877537258274,0.9806316570058273,1.0000000123522783,0.14078931226149985,0.1710450219382581,3.763907812143627,0.06627923587934982,0.7580125179926032,0.02502168883747831,0.28137317412473917,0.8264550383337206,0.4934951548213964,0.39341496201007936,3.0459998700749376,24.306812114621465,3,1.8508896133591028,1.6606765799908159,3.0033467301292105
GunPoint,Smooth / low-complexity,150,200,2,5.017279836814924,5.303304908059076,2.6132310365795495,0.4896608729046484,1.0000000321865081,0.037197289112955334,0.014623440506402402,0.6906798115372658,0.009412645055550284,0.9989952060580254,3.3333333333333335e-05,0.013758389261744965,0.9964414242296283,0.9423919380150261,0.7982079466998826,0.48104277562641073,-1.137748509645462,1,-2.029411257840761,-0.781147567576118,1.5734385109175768
GunPointAgeSpan,Smooth / low-complexity,150,451,2,5.017279836814924,6.113682179832232,1431.48824067743,0.4538951728279899,0.9999999945813959,0.03870126329560634,0.014966991643303645,0.725662916105761,0.009567405300277658,0.9986146401671772,0.00016260162601626016,0.01444961978600872,0.9963707635371769,0.9390883800256757,0.7933279119950063,0.66926581674869,-0.938915485817683,1,-1.969090164249613,-0.7876757501459642,1.401131019446788
GunPointMaleVersusFemale,Smooth / low-complexity,150,451,2,5.017279836814924,6.113682179832232,2389.4971339252106,0.7937624382731199,0.9999999945813959,0.03870126329560634,0.014966991643303645,0.725662916105761,0.009567405300277658,0.9986146401671772,0.00016260162601626016,0.01444961978600872,0.9963707635371769,0.9390883800256757,0.7933279119950062,0.66926581674869,-0.938915485817683,1,-1.9754374120582163,-0.7901921141009848,1.3597726661388765
GunPointOldVersusYoung,Smooth / low-complexity,150,451,2,5.017279836814924,6.113682179832232,5513.329640093008,3.0166511104566633,0.9999999945813959,0.03870126329560634,0.014966991643303645,0.725662916105761,0.009567405300277658,0.9986146401671772,0.00016260162601626016,0.01444961978600872,0.9963707635371769,0.9390883800256756,0.7933279119950062,0.66926581674869,-0.938915485817683,1,-2.016951340252529,-0.8066502949833937,1.2730301065113612
Ham,Spiky / multi-class,431,214,2,6.068425588244111,5.3706380281276624,3.5966209294479428,0.41487264879966385,0.9999999802246272,0.1155464432298023,0.05333504414133658,2.9879113224065192,0.026324052977417675,0.985879486966356,0.039150421753366436,0.04383829602260378,0.9756904137319841,0.5975409356006993,0.20791867177914738,2.339301407476452,7.0722403130798694,3,-0.10994514195162723,1.3025055245004968,2.0833169021174895
HandOutlines,Smooth / low-complexity,2709,1370,2,7.904703913873747,7.223295679562314,8.977143387745416,0.8294501876006123,1.0000000080052953,0.0068096849392678075,0.0020399811871377005,1.303858729370319,0.0008175499236021563,0.9999967753887177,0.000657985142792476,0.0034189047860354294,0.99997278999226,0.9993669953650509,0.9974902485279996,-0.7301689460057846,-0.17508145309712764,1,-2.397054692615409,0.3651352989915707,1.9588332405253162
Haptics,Smooth / low-complexity,1092,463,5,6.996681488176539,6.139884552226255,7.717817621332396,0.529636836702288,1.0000000229149606,0.033076872886208815,0.028441502182637836,1.690059921267738,0.014414607441389329,0.9446239502332123,0.0025989129660835917,0.01103669726586859,0.9776788762636851,0.9522221841349647,0.9456444498250804,-0.15858004061624884,4.02918115161665,1,-1.8336891594381355,0.40502973765037265,1.1446516348839826
Herring,Smooth / low-complexity,512,128,2,6.240275845170769,4.859812404361672,1.2035610694877539,0.26061141430700474,1.0000000083819032,0.0328013310499955,0.009515173529507592,0.8617544234730303,0.004750015942723814,0.9998800046741962,0.0,0.008561643835616438,0.9993079671107354,0.9842534253295968,0.9423767903256113,0.2122392256569583,-1.1871221419423819,1,-2.2679446980817235,-0.13924789760210068,1.3830117881964188
HouseTwenty,Spiky / multi-class,2000,159,2,7.601402334583733,5.075173815233827,14725.145604635554,0.42604439326914884,1.0000000067476957,0.09335102178390671,0.1820355476401512,3.852930853201908,0.03454203821580148,0.909639261428665,0.04160062893081762,0.030279290588690576,0.9009819610508999,0.7238409536161914,0.5839006598528474,2.153794491628431,5.65451964492318,3,0.002571220933114268,2.459828759938842,2.559612359038304
InlineSkate,Spiky / multi-class,1882,650,7,7.5406215286571525,6.478509642208569,9.92076473628346,0.3449577104841937,1.0000000248505518,0.013902067249784102,0.018575048602830904,1.4494916541759784,0.0012948283455181317,0.9997550949683556,0.020896754679964033,0.005151106203737783,0.999814308034085,0.9986860603608726,0.995402642423612,0.9132178949439325,0.49307114839553834,3,-2.132843238074152,1.1953599484321868,2.5181291681148066
InsectEPGRegularTrain,Smooth / low-complexity,601,311,3,6.400257445308821,5.7430031878094825,45.08954554186246,26.998455628301627,1.0000000011499288,0.0829774865527245,0.12459999856530087,1.4316019111124265,0.007726149884417006,0.9870067361466754,0.007543697267683549,0.02347802786709539,0.9893317764431483,0.9501782698283071,0.9105039842825633,-0.3220149501941056,-0.6656855528760953,1,-2.313650579312987,-0.22703834776655468,7.432875111402221
InsectEPGSmallTrain,Smooth / low-complexity,601,266,3,6.400257445308821,5.58724865840025,45.1918182482568,26.494502573197128,1.0000000008963104,0.0818405255003083,0.12290073728847101,1.4175111960647697,0.0076206231378186115,0.9871013292244503,0.007731475110404964,0.022969924812030078,0.9894338708642899,0.9508193816178325,0.9121657965698676,-0.31726515093202096,-0.6624849290776074,1,-2.317729328582692,-0.20746535821951972,7.289336744411142
InsectWingbeatSound,Spiky / multi-class,256,2200,11,5.54907608489522,7.696667081526462,13.795455625458617,1.269801920650807,1.0000000063397667,0.08391846329143102,0.038071212679232386,2.3659378775141455,0.023890807777249196,0.9927463671565055,0.04384765625,0.0297789661319073,0.9823033860543997,0.6749580846180706,0.2575725391375369,2.9691089535572313,9.602268783287569,3,-0.3823723971882935,1.15179822166678,2.2016932991838276
ItalyPowerDemand,Short / moderately rough,24,1096,2,3.2188758248682006,7.00033446027523,1.9316483599995522,1.0624058795009514,0.9999999933651764,0.35047349800104205,0.35262218800230616,0.9140942253335549,0.06736095159223107,0.9131479705445957,0.0006843065693430657,0.12555537924468424,0.8885789269763811,0.001672482395617144,-0.1447565572800871,-0.20988815252788492,-1.0507319813227132,2,1.3740915712630426,-3.0485009232816087,2.502117162789985
LargeKitchenAppliances,Spiky / multi-class,720,750,3,6.580639137284949,6.621405651764134,3.876642510811894,0.1458838242498548,1.000000020345052,0.0719463348860542,0.11965671299397945,4.169133238633473,0.05573326461503858,0.8503200715730588,0.026314814814814815,0.01807510431154381,0.8589291934848818,0.45304824847620706,0.23681005433721103,7.316192226856947,67.72434852663676,3,1.5919880369128017,3.8363672326797333,4.734290136176115
