dataset,cluster_name,hydra,shapley_sampling,aucs_diff,score_drop_gap
ACSF1,High-frequency / high-curvature,0.5815532143152276,0.4296368624685695,0.15191635184665803,-0.0911492735907834
Adiac,Spiky / multi-class,0.5553267058662207,0.5537036200917254,0.0016230857744953253,0.1613158250998108
AllGestureWiimoteX,Spiky / multi-class,0.470671872222938,0.25449200313005654,0.21617986909288145,-0.2171317094693621
AllGestureWiimoteY,Spiky / multi-class,0.5559622201619339,0.6400916304785229,-0.08412941031658905,0.053784399604784316
AllGestureWiimoteZ,Spiky / multi-class,0.5165654293593074,0.2901987464742247,0.22636668288508266,-0.2020416163945905
ArrowHead,Smooth / low-complexity,0.1464465466843863,0.4642139228195771,-0.3177673761351908,-0.20827215770298702
BME,Smooth / low-complexity,0.3456056759593368,0.5110974876309105,-0.16549181167157367,0.5251816000765589
Beef,Smooth / low-complexity,0.13729634515709738,0.36482356334897104,-0.22752721819187366,0.14792068859831164
BeetleFly,Smooth / low-complexity,-0.07529189137497933,-0.061037238587672564,-0.014254652787306761,-0.0657570860041445
BirdChicken,Smooth / low-complexity,-0.10000000016023806,0.01088105333617114,-0.1108810534964092,0.08918359789519222
CBF,Short / moderately rough,-0.009412477724685685,-0.04916913698297251,0.03975665925828682,0.21856436316335626
Car,Smooth / low-complexity,-0.11679619047977971,-0.07489207962968233,-0.041904110850097376,0.28955147046426677
Chinatown,Short / moderately rough,0.7111841030195152,0.8450800025805956,-0.1338958995610804,0.8151079679282149
ChlorineConcentration,Short / moderately rough,0.36974608649640606,0.14541190802015397,0.2243341784762521,-0.09179852652180842
CinCECGTorso,Spiky / multi-class,0.2822716251797529,0.2468986206720655,0.035373004507687406,0.0926149932239806
Coffee,Smooth / low-complexity,-0.0956628560388146,0.26970606053412616,-0.36536891657294074,0.594980143461586
Computers,Spiky / multi-class,0.44827985021072536,0.4021810838094789,0.04609876640124644,0.0628395588041111
CricketX,Short / moderately rough,0.5059033580137922,0.4242951641282814,0.08160819388551077,-0.20885263335827825
CricketY,Short / moderately rough,0.7370987814562378,0.6454553260067459,0.09164345544949182,-0.0894840739896337
CricketZ,Short / moderately rough,0.516222937136925,0.5516893316624533,-0.035466394525528244,-0.18609102864782479
Crop,Short / moderately rough,0.7098369165411212,0.7888111241525122,-0.07897420761139096,0.08268964066172019
DiatomSizeReduction,Smooth / low-complexity,0.38708808849591375,0.467354609386667,-0.08026652089075326,-0.05332379703830703
DistalPhalanxOutlineAgeGroup,Short / moderately rough,0.052293840786909594,0.2116144840058028,-0.1593206432188932,-0.07015069938477203
DistalPhalanxOutlineCorrect,Short / moderately rough,0.3562753980463339,0.3440500768031055,0.012225321243228393,0.23495408129096462
DistalPhalanxTW,Short / moderately rough,0.15227069759315826,0.34011345288089473,-0.18784275528773647,0.366337046429335
DodgerLoopDay,Short / moderately rough,0.35490006648058786,0.16570389206497263,0.18919617441561523,-0.0106371347735712
DodgerLoopGame,Short / moderately rough,0.09300903923576803,0.0820577559193974,0.01095128331637063,0.15178505885471236
DodgerLoopWeekend,Short / moderately rough,0.19805972677304678,0.35251144471845,-0.1544517179454032,0.4659235700309241
ECG200,Short / moderately rough,0.4463243932775961,0.5250041026429638,-0.07867970936536772,0.36904420253866677
ECG5000,Short / moderately rough,0.7466191960692313,0.8507604894930102,-0.10414129342377887,0.196095699413736
ECGFiveDays,Short / moderately rough,0.25678037666605735,0.7328376099436696,-0.4760572332776123,-0.12521623888226618
EOGHorizontalSignal,Spiky / multi-class,0.20283173803798077,0.4592461200797466,-0.2564143820417658,-0.10165158513401507
