perturbation,fraction,mode,n_samples,n_datasets,mean_score_drop,mean_bounded_relative_score_drop,flip_rate,perturbation_label
blur,0.05,bottom,760,38,0.021653226088912392,0.042636673949587825,0.031578947368421054,
blur,0.05,random,760,38,0.030101483586118125,0.05826128709042017,0.030000000000000002,
blur,0.05,top,760,38,0.05568834309156649,0.11139807790290211,0.05263157894736842,
blur,0.1,bottom,760,38,0.04479367696674183,0.05952561811719728,0.05789473684210526,
blur,0.1,random,760,38,0.050879279265151296,0.08512548032870175,0.05842105263157894,
blur,0.1,top,760,38,0.0810973537926854,0.12837496333721615,0.07894736842105263,
blur,0.2,bottom,760,38,0.08100593808467468,0.07350890242005159,0.10789473684210527,
blur,0.2,random,760,38,0.09131018109031483,0.09275105910596206,0.11368421052631579,
blur,0.2,top,760,38,0.12461279897583179,0.12584429934254032,0.13157894736842105,
global_mean,0.05,bottom,760,38,0.09692276878800425,0.14392281568394044,0.07631578947368421,Global mean
global_mean,0.05,random,760,38,0.14219244275089132,0.22521626739087844,0.10157894736842106,Global mean
global_mean,0.05,top,760,38,0.21222696109692407,0.31569456627556697,0.14078947368421052,Global mean
global_mean,0.1,bottom,760,38,0.12101178556392392,0.1621568187769981,0.11710526315789474,Global mean
global_mean,0.1,random,760,38,0.1909632338123793,0.2610891334364902,0.1573684210526316,Global mean
global_mean,0.1,top,760,38,0.28857176529159617,0.3729384827558373,0.21710526315789475,Global mean
global_mean,0.2,bottom,760,38,0.1733125777936766,0.2332106196886608,0.21052631578947367,Global mean
global_mean,0.2,random,760,38,0.27748431813815877,0.3243074340183545,0.27263157894736845,Global mean
global_mean,0.2,top,760,38,0.3947513492913488,0.3932295805023518,0.3618421052631579,Global mean
linear_interpolation,0.05,bottom,760,38,0.046516783982134796,0.07341605014211111,0.05526315789473684,Linear interpolation
linear_interpolation,0.05,random,760,38,0.07979053173318619,0.11974828780868281,0.0868421052631579,Linear interpolation
linear_interpolation,0.05,top,760,38,0.15226029091949622,0.2327758826210709,0.12763157894736843,Linear interpolation
linear_interpolation,0.1,bottom,760,38,0.12427824790995559,0.1294434337371268,0.11578947368421053,Linear interpolation
linear_interpolation,0.1,random,760,38,0.18770469335568615,0.19969509418562278,0.15842105263157896,Linear interpolation
linear_interpolation,0.1,top,760,38,0.29586560100623605,0.30740069646480783,0.2131578947368421,Linear interpolation
linear_interpolation,0.2,bottom,760,38,0.2372629343049053,0.23765034917237382,0.20526315789473684,Linear interpolation
linear_interpolation,0.2,random,760,38,0.3941156678158742,0.33573928363306416,0.2765789473684211,Linear interpolation
linear_interpolation,0.2,top,760,38,0.5383653076587598,0.4519393581282881,0.3513157894736842,Linear interpolation
local_mean,0.05,bottom,760,38,0.05862902292083432,0.10289831493252201,0.04868421052631579,Local mean
local_mean,0.05,random,760,38,0.09553300903806641,0.17214814729627356,0.060526315789473685,Local mean
local_mean,0.05,top,760,38,0.17960411793889977,0.2849407408421503,0.11052631578947368,Local mean
local_mean,0.1,bottom,760,38,0.10375986808716378,0.14159325605412978,0.0881578947368421,Local mean
local_mean,0.1,random,760,38,0.16898447027235305,0.24506931512720728,0.13342105263157897,Local mean
local_mean,0.1,top,760,38,0.2799932433040407,0.35102600291256314,0.19078947368421054,Local mean
local_mean,0.2,bottom,760,38,0.17810908605809445,0.22872325316800524,0.19736842105263158,Local mean
local_mean,0.2,random,760,38,0.27993890860191273,0.32318353752057655,0.27394736842105266,Local mean
local_mean,0.2,top,760,38,0.3790653811121825,0.3860716944548496,0.3618421052631579,Local mean
