sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,blur,3,3,3,0.406449209711193,0.3961717983473262,0.01027741136386684,0.02528578191943744,0.0,Car,HYDRA
0,0.05,bottom,blur,3,3,3,0.406449209711193,0.30438282262134,0.10206638708985305,0.2511165811979216,0.0,Car,HYDRA
0,0.05,random,blur,3,3,3,0.406449209711193,,0.024095094536327143,0.05928178645410994,0.0,Car,HYDRA
0,0.1,top,blur,3,3,3,0.406449209711193,0.3401501497136866,0.0662990599975064,0.1631172980439986,0.0,Car,HYDRA
0,0.1,bottom,blur,3,3,3,0.406449209711193,0.31985576742366373,0.0865934422875293,0.21304809351447765,0.0,Car,HYDRA
0,0.1,random,blur,3,3,3,0.406449209711193,,0.1106697187756924,0.27228358143628417,0.0,Car,HYDRA
0,0.2,top,blur,3,3,3,0.406449209711193,0.23146202059783572,0.1749871891133573,0.4305255230098075,0.0,Car,HYDRA
0,0.2,bottom,blur,3,3,3,0.406449209711193,0.2933822378564932,0.11306697185469983,0.27818160540510145,0.0,Car,HYDRA
0,0.2,random,blur,3,3,3,0.406449209711193,,0.16121764504372776,0.39664795635923644,0.0,Car,HYDRA
1,0.05,top,blur,2,2,2,1.3896895601416182,1.339739276461286,0.04995028368033205,0.03594345756744711,0.0,Car,HYDRA
1,0.05,bottom,blur,2,2,2,1.3896895601416182,1.3716170877507916,0.018072472390826544,0.013004673780747886,0.0,Car,HYDRA
1,0.05,random,blur,2,2,2,1.3896895601416182,,0.001876269456676738,0.001350134706596506,0.0,Car,HYDRA
1,0.1,top,blur,2,2,2,1.3896895601416182,1.3514351732105965,0.03825438693102168,0.027527269759336438,0.0,Car,HYDRA
1,0.1,bottom,blur,2,2,2,1.3896895601416182,1.2872316143464646,0.10245794579515355,0.07372716540919184,0.0,Car,HYDRA
1,0.1,random,blur,2,2,2,1.3896895601416182,,0.0056778446215966834,0.004085689853875153,0.0,Car,HYDRA
1,0.2,top,blur,2,2,2,1.3896895601416182,1.3572571219055605,0.03243243823605768,0.023337884825779212,0.0,Car,HYDRA
1,0.2,bottom,blur,2,2,2,1.3896895601416182,1.3119072656258814,0.0777822945157367,0.0559709454368102,0.0,Car,HYDRA
1,0.2,random,blur,2,2,2,1.3896895601416182,,0.05698708439875997,0.04100703137319479,0.0,Car,HYDRA
2,0.05,top,blur,1,1,1,0.5296793349585622,0.5271063769018598,0.0025729580567024346,0.004857567643895485,0.0,Car,HYDRA
2,0.05,bottom,blur,1,1,1,0.5296793349585622,0.5087938558983016,0.020885479060260614,0.039430346346338345,0.0,Car,HYDRA
2,0.05,random,blur,1,1,1,0.5296793349585622,,-0.016702085250432798,-0.03153238689093381,0.0,Car,HYDRA
2,0.1,top,blur,1,1,1,0.5296793349585622,0.5562399542105458,-0.026560619251983608,-0.0501446202530088,0.0,Car,HYDRA
2,0.1,bottom,blur,1,1,1,0.5296793349585622,0.5832022169938458,-0.05352288203528355,-0.10104751583702032,0.0,Car,HYDRA
2,0.1,random,blur,1,1,1,0.5296793349585622,,-0.0212580915942989,-0.0401338131534786,0.0,Car,HYDRA
2,0.2,top,blur,1,1,1,0.5296793349585622,0.679761591257722,-0.15008225629915972,-0.28334496562138917,0.0,Car,HYDRA
2,0.2,bottom,blur,1,1,1,0.5296793349585622,0.4760021588765359,0.05367717608202632,0.10133881237298639,0.0,Car,HYDRA
2,0.2,random,blur,1,1,1,0.5296793349585622,,-0.09127816757663311,-0.17232689520892625,0.0,Car,HYDRA
3,0.05,top,blur,2,2,2,1.1555814415807273,1.1744371399947733,-0.018855698414045996,-0.016317051675043787,0.0,Car,HYDRA
3,0.05,bottom,blur,2,2,2,1.1555814415807273,1.105957219806129,0.049624221774598354,0.04294303892911104,0.0,Car,HYDRA
3,0.05,random,blur,2,2,2,1.1555814415807273,,0.006473714694379407,0.0056021227577012864,0.0,Car,HYDRA
3,0.1,top,blur,2,2,2,1.1555814415807273,1.147163781299549,0.008417660281178296,0.007284344221831318,0.0,Car,HYDRA
3,0.1,bottom,blur,2,2,2,1.1555814415807273,1.0592064622299224,0.09637497935080486,0.08339948400303922,0.0,Car,HYDRA
3,0.1,random,blur,2,2,2,1.1555814415807273,,0.03513340056360592,0.030403196950229493,0.0,Car,HYDRA
3,0.2,top,blur,2,2,2,1.1555814415807273,0.9517110410585122,0.20387040052221506,0.17642220337247394,0.0,Car,HYDRA
3,0.2,bottom,blur,2,2,2,1.1555814415807273,1.0174284784103884,0.13815296317033887,0.11955266729508171,0.0,Car,HYDRA
3,0.2,random,blur,2,2,2,1.1555814415807273,,0.09412121621284782,0.0814491574344959,0.0,Car,HYDRA
4,0.05,top,blur,3,3,3,0.5093476000143098,0.5071110257137966,0.002236574300513161,0.004391048292761237,0.0,Car,HYDRA
4,0.05,bottom,blur,3,3,3,0.5093476000143098,0.4414124273573171,0.06793517265699267,0.1333765767788192,0.0,Car,HYDRA
4,0.05,random,blur,3,3,3,0.5093476000143098,,0.043553064425091347,0.08550738025758342,0.0,Car,HYDRA
4,0.1,top,blur,3,3,3,0.5093476000143098,0.4066616425965057,0.10268595741780406,0.2016025123361862,0.0,Car,HYDRA
4,0.1,bottom,blur,3,3,3,0.5093476000143098,0.3727061310816959,0.13664146893261386,0.26826709434123314,0.0,Car,HYDRA
4,0.1,random,blur,3,3,3,0.5093476000143098,,0.10398443960230308,0.2041518119405486,0.0,Car,HYDRA
4,0.2,top,blur,3,3,3,0.5093476000143098,0.2310316122072783,0.2783159878070315,0.5464155350563689,0.0,Car,HYDRA
4,0.2,bottom,blur,3,3,3,0.5093476000143098,0.2254300952718965,0.2839175047424133,0.5574129480957379,0.0,Car,HYDRA
4,0.2,random,blur,3,3,3,0.5093476000143098,,0.2654074926930446,0.5210723906683715,0.0,Car,HYDRA
5,0.05,top,blur,2,2,2,0.7947502878492959,0.780767937952133,0.01398234989716296,0.017593365510612864,0.0,Car,HYDRA
5,0.05,bottom,blur,2,2,2,0.7947502878492959,0.7643818073571483,0.030368480492147576,0.03821130076344862,0.0,Car,HYDRA
5,0.05,random,blur,2,2,2,0.7947502878492959,,-0.003440139273782128,-0.004328573386891396,0.0,Car,HYDRA
5,0.1,top,blur,2,2,2,0.7947502878492959,0.7376345501387703,0.05711573771052558,0.07186617824186037,0.0,Car,HYDRA
5,0.1,bottom,blur,2,2,2,0.7947502878492959,0.7528934321610384,0.04185685568825748,0.05266660945152762,0.0,Car,HYDRA
5,0.1,random,blur,2,2,2,0.7947502878492959,,0.01574608855042121,0.019812598974242934,0.0,Car,HYDRA
5,0.2,top,blur,2,2,2,0.7947502878492959,0.793974628774725,0.0007756590745708891,0.0009759771219370113,0.0,Car,HYDRA
5,0.2,bottom,blur,2,2,2,0.7947502878492959,0.73171732447501,0.06303296337428588,0.07931155864479511,0.0,Car,HYDRA
5,0.2,random,blur,2,2,2,0.7947502878492959,,0.036693348723204976,0.046169599576871556,0.0,Car,HYDRA
6,0.05,top,blur,3,3,3,0.00041184905898256075,-0.04219072777110644,0.042602576830089,1.0,0.0,Car,HYDRA
6,0.05,bottom,blur,3,3,3,0.00041184905898256075,-0.02627237032125551,0.026684219380238072,1.0,0.0,Car,HYDRA
6,0.05,random,blur,3,3,3,0.00041184905898256075,,0.02895996839470135,0.2,0.0,Car,HYDRA
6,0.1,top,blur,3,3,3,0.00041184905898256075,-0.056139399068380946,0.05655124812736351,1.0,0.0,Car,HYDRA
6,0.1,bottom,blur,3,3,3,0.00041184905898256075,-0.03625913942729536,0.03667098848627792,1.0,0.0,Car,HYDRA
6,0.1,random,blur,3,3,3,0.00041184905898256075,,0.1236540696414761,1.0,0.0,Car,HYDRA
6,0.2,top,blur,3,3,3,0.00041184905898256075,-0.11391285485910518,0.11432470391808774,1.0,0.0,Car,HYDRA
6,0.2,bottom,blur,3,3,3,0.00041184905898256075,-0.19954255362998174,0.1999544026889643,1.0,0.0,Car,HYDRA
6,0.2,random,blur,3,3,3,0.00041184905898256075,,0.18338797127604534,1.0,0.0,Car,HYDRA
7,0.05,top,blur,3,3,3,0.7082313995558265,0.6689994272929858,0.0392319722628407,0.0553942071662428,0.0,Car,HYDRA
7,0.05,bottom,blur,3,3,3,0.7082313995558265,0.7080701339854478,0.00016126557037865474,0.0002277014867998043,0.0,Car,HYDRA
7,0.05,random,blur,3,3,3,0.7082313995558265,,0.048013101145714374,0.06779286174400687,0.0,Car,HYDRA
7,0.1,top,blur,3,3,3,0.7082313995558265,0.6604976666520213,0.047733732903805226,0.06739840331188154,0.0,Car,HYDRA
7,0.1,bottom,blur,3,3,3,0.7082313995558265,0.6449512480498323,0.0632801515059942,0.08934941630131697,0.0,Car,HYDRA
7,0.1,random,blur,3,3,3,0.7082313995558265,,0.042181120443676653,0.059558303842256965,0.0,Car,HYDRA
7,0.2,top,blur,3,3,3,0.7082313995558265,0.5159353428235334,0.1922960567322931,0.2715154755033702,0.0,Car,HYDRA
7,0.2,bottom,blur,3,3,3,0.7082313995558265,0.605084839824527,0.10314655973129949,0.14563942541457955,0.0,Car,HYDRA
7,0.2,random,blur,3,3,3,0.7082313995558265,,0.2539316404656172,0.3585428181835121,0.0,Car,HYDRA
8,0.05,top,blur,1,1,1,0.8954216294906132,0.939459179750264,-0.04403755025965084,-0.049180743047227714,0.0,Car,HYDRA
8,0.05,bottom,blur,1,1,1,0.8954216294906132,0.9246395499831608,-0.029217920492547567,-0.03263031280454573,0.0,Car,HYDRA
8,0.05,random,blur,1,1,1,0.8954216294906132,,-0.012006621002909635,-0.01340888716397523,0.0,Car,HYDRA
8,0.1,top,blur,1,1,1,0.8954216294906132,0.945120602648915,-0.04969897315830174,-0.055503369606120435,0.0,Car,HYDRA
8,0.1,bottom,blur,1,1,1,0.8954216294906132,0.9591636340325835,-0.06374200454197032,-0.0711865017061628,0.0,Car,HYDRA
8,0.1,random,blur,1,1,1,0.8954216294906132,,-0.031193206770247662,-0.03483629488791545,0.0,Car,HYDRA
8,0.2,top,blur,1,1,1,0.8954216294906132,1.0279221946418973,-0.13250056515128406,-0.14797544845014782,0.0,Car,HYDRA
8,0.2,bottom,blur,1,1,1,0.8954216294906132,0.9428899974237437,-0.04746836793313047,-0.05301224960121257,0.0,Car,HYDRA
8,0.2,random,blur,1,1,1,0.8954216294906132,,-0.08043638443670269,-0.08983063615720907,0.0,Car,HYDRA
10,0.05,top,blur,0,0,0,1.1616940310214465,1.1709439126277168,-0.009249881606270272,-0.007962400939373138,0.0,Car,HYDRA
10,0.05,bottom,blur,0,0,0,1.1616940310214465,1.1542931390808695,0.007400891940577026,0.006370770075576225,0.0,Car,HYDRA
10,0.05,random,blur,0,0,0,1.1616940310214465,,-0.008765791600848694,-0.007545690879938752,0.0,Car,HYDRA
10,0.1,top,blur,0,0,0,1.1616940310214465,1.2397124374221948,-0.07801840640074831,-0.06715911174393926,0.0,Car,HYDRA
10,0.1,bottom,blur,0,0,0,1.1616940310214465,1.1363936810379967,0.025300349983449877,0.021778822589267662,0.0,Car,HYDRA
