,mean,median,std
cosine_similarity,-0.010974208373189636,-0.2237312566091917,0.5108686931566835
confmat_precision,0.18898502461270913,0.12570541760722348,0.16005562032694248
confmat_recall,0.6945315405249632,0.711482292807594,0.22674420397486875
confmat_f1,0.2813051188960684,0.21208190425937326,0.21638010170450864
confmat_n_true_relevant,83.66666666666667,54.0,70.43572255067704
confmat_n_true_irrelevant,35.5,34.0,14.592017211206093
confmat_n_false_relevant,364.03333333333336,385.0,77.17781162187467
confmat_n_false_irrelevant,16.8,17.0,7.452018804972443
topk5_precision,0.5804444444444444,0.6,0.309910864717442
topk5_recall,0.07255555555555555,0.075,0.03873885808968025
topk5_iou,0.07036375025585252,0.07142857142857142,0.03913247815784619
topk5_window_size,25.0,25.0,0.0
topk10_precision,0.5606666666666666,0.56,0.2703547399126903
topk10_recall,0.14016666666666666,0.14,0.06758868497817258
topk10_iou,0.13045300916119218,0.12612612612612611,0.06915352363522743
topk10_window_size,50.0,50.0,0.0
topk20_precision,0.5315555555555556,0.515,0.21699640711109963
topk20_recall,0.2657777777777778,0.2575,0.10849820355554982
topk20_iou,0.22488200066153366,0.20724834823163624,0.11024045072514661
topk20_window_size,100.0,100.0,0.0
