cosine_similarity,confmat_precision,confmat_recall,confmat_f1,confmat_n_true_relevant,confmat_n_true_irrelevant,confmat_n_false_relevant,confmat_n_false_irrelevant,topk5_precision,topk5_recall,topk5_iou,topk5_window_size,topk10_precision,topk10_recall,topk10_iou,topk10_window_size,topk20_precision,topk20_recall,topk20_iou,topk20_window_size,sample,draw
0.04572928220487672,0.22821576763485477,0.9565217391304348,0.3685092127303182,110,13,372,5,0.24,0.03,0.0273972602739726,25,0.32,0.08,0.06837606837606838,50,0.36,0.18,0.13636363636363635,100,0,0
-0.024493634201716144,0.19098712446351931,0.8725490196078431,0.31338028169014087,89,21,377,13,0.32,0.04,0.03686635944700461,25,0.34,0.085,0.07296137339055794,50,0.3,0.15,0.1111111111111111,100,0,1
0.014543183001139558,0.18029350104821804,0.9347826086956522,0.30228471001757473,86,17,391,6,0.32,0.04,0.03686635944700461,25,0.32,0.08,0.06837606837606838,50,0.38,0.19,0.1450381679389313,100,0,2
0.018646809904140315,0.1940928270042194,0.8846153846153846,0.3183391003460207,92,14,382,12,0.28,0.035,0.03211009174311927,25,0.42,0.105,0.09170305676855896,50,0.38,0.19,0.1450381679389313,100,0,3
0.03751107820761778,0.2222222222222222,0.9137931034482759,0.357504215851602,106,13,371,10,0.44,0.055,0.0514018691588785,25,0.38,0.095,0.08225108225108226,50,0.36,0.18,0.13636363636363635,100,0,4
0.08224292110467765,0.22431865828092243,0.9469026548672567,0.3627118644067797,107,17,370,6,0.4,0.05,0.046511627906976744,25,0.46,0.115,0.1013215859030837,50,0.42,0.21,0.16279069767441862,100,0,5
-0.015565715185926792,0.20041753653444677,0.9320388349514563,0.32989690721649484,96,14,383,7,0.36,0.045,0.041666666666666664,25,0.34,0.085,0.07296137339055794,50,0.37,0.185,0.14068441064638784,100,0,6
-0.02089785837580619,0.1953781512605042,0.8857142857142857,0.32013769363166955,93,12,383,12,0.4,0.05,0.046511627906976744,25,0.38,0.095,0.08225108225108226,50,0.41,0.205,0.1583011583011583,100,0,7
0.008042591917604107,0.20212765957446807,0.8482142857142857,0.32646048109965636,95,13,375,17,0.44,0.055,0.0514018691588785,25,0.36,0.09,0.07758620689655173,50,0.36,0.18,0.13636363636363635,100,0,8
-0.04790595699474563,0.19279661016949154,0.883495145631068,0.3165217391304348,91,16,381,12,0.28,0.035,0.03211009174311927,25,0.36,0.09,0.07758620689655173,50,0.42,0.21,0.16279069767441862,100,0,9
-0.08538047423754862,0.19027484143763213,0.8823529411764706,0.3130434782608696,90,15,383,12,0.44,0.055,0.0514018691588785,25,0.46,0.115,0.1013215859030837,50,0.48,0.24,0.19047619047619047,100,0,10
0.03520642138802645,0.21218487394957983,0.8859649122807017,0.3423728813559322,101,11,375,13,0.32,0.04,0.03686635944700461,25,0.38,0.095,0.08225108225108226,50,0.43,0.215,0.16731517509727625,100,0,11
-0.03260166041314473,0.19198312236286919,0.9191919191919192,0.31762652705061084,91,18,383,8,0.2,0.025,0.022727272727272728,25,0.34,0.085,0.07296137339055794,50,0.37,0.185,0.14068441064638784,100,0,12
-0.08121936532853924,0.17684210526315788,0.9032258064516129,0.29577464788732394,84,16,391,9,0.6,0.075,0.07142857142857142,25,0.48,0.12,0.10619469026548672,50,0.44,0.22,0.171875,100,0,13
-0.012401880476521682,0.18181818181818182,0.9347826086956522,0.304424778761062,86,21,387,6,0.36,0.045,0.041666666666666664,25,0.44,0.11,0.09649122807017543,50,0.45,0.225,0.17647058823529413,100,0,14
-0.009874309036829287,0.19829424307036247,0.8611111111111112,0.3223570190641248,93,16,376,15,0.48,0.06,0.056338028169014086,25,0.4,0.1,0.08695652173913043,50,0.34,0.17,0.12781954887218044,100,0,15
0.007154215280913148,0.20382165605095542,0.8727272727272727,0.33046471600688465,96,15,375,14,0.32,0.04,0.03686635944700461,25,0.32,0.08,0.06837606837606838,50,0.38,0.19,0.1450381679389313,100,0,16
0.00823845622780372,0.19873150105708245,0.912621359223301,0.3263888888888889,94,18,379,9,0.52,0.065,0.06132075471698113,25,0.5,0.125,0.1111111111111111,50,0.45,0.225,0.17647058823529413,100,0,17
-0.057865518030122506,0.18471337579617833,0.8969072164948454,0.30633802816901406,87,19,384,10,0.56,0.07,0.06635071090047394,25,0.46,0.115,0.1013215859030837,50,0.39,0.195,0.14942528735632185,100,0,18
-0.01919892985029157,0.18105263157894738,0.8686868686868687,0.2996515679442509,86,12,389,13,0.44,0.055,0.0514018691588785,25,0.36,0.09,0.07758620689655173,50,0.41,0.205,0.1583011583011583,100,0,19
0.06995251561780676,0.21971252566735114,0.9469026548672567,0.35666666666666663,107,7,380,6,0.28,0.035,0.03211009174311927,25,0.26,0.065,0.05485232067510549,50,0.34,0.17,0.12781954887218044,100,1,0
0.02269255835205337,0.20382165605095542,0.8571428571428571,0.3293310463121784,96,13,375,16,0.36,0.045,0.041666666666666664,25,0.48,0.12,0.10619469026548672,50,0.45,0.225,0.17647058823529413,100,1,1
0.038772754903727634,0.2148936170212766,0.8938053097345132,0.346483704974271,101,18,369,12,0.48,0.06,0.056338028169014086,25,0.38,0.095,0.08225108225108226,50,0.42,0.21,0.16279069767441862,100,1,2
-0.03149392326938525,0.1962025316455696,0.8942307692307693,0.3217993079584775,93,15,381,11,0.52,0.065,0.06132075471698113,25,0.36,0.09,0.07758620689655173,50,0.39,0.195,0.14942528735632185,100,1,3
0.045868548392015936,0.21621621621621623,0.9285714285714286,0.35075885328836426,104,11,377,8,0.48,0.06,0.056338028169014086,25,0.46,0.115,0.1013215859030837,50,0.36,0.18,0.13636363636363635,100,1,4
-0.05557610533804335,0.17916666666666667,0.9052631578947369,0.2991304347826087,86,11,394,9,0.36,0.045,0.041666666666666664,25,0.38,0.095,0.08225108225108226,50,0.42,0.21,0.16279069767441862,100,1,5
-0.020712318777059743,0.2063157894736842,0.9245283018867925,0.3373493975903614,98,17,377,8,0.24,0.03,0.0273972602739726,25,0.26,0.065,0.05485232067510549,50,0.35,0.175,0.1320754716981132,100,1,6
-0.0006154329459889321,0.1864406779661017,0.8543689320388349,0.3060869565217391,88,13,384,15,0.52,0.065,0.06132075471698113,25,0.52,0.13,0.11607142857142858,50,0.44,0.22,0.171875,100,1,7
0.09172129591605882,0.21656050955414013,0.8947368421052632,0.3487179487179487,102,17,369,12,0.4,0.05,0.046511627906976744,25,0.42,0.105,0.09170305676855896,50,0.39,0.195,0.14942528735632185,100,1,8
-0.009430481363899616,0.19915254237288135,0.8785046728971962,0.32469775474956825,94,15,378,13,0.4,0.05,0.046511627906976744,25,0.38,0.095,0.08225108225108226,50,0.43,0.215,0.16731517509727625,100,1,9
0.012148812850073784,0.1945031712473573,0.9019607843137255,0.31999999999999995,92,17,381,10,0.4,0.05,0.046511627906976744,25,0.46,0.115,0.1013215859030837,50,0.46,0.23,0.18110236220472442,100,1,10
0.1253351766416166,0.25052192066805845,0.9375,0.3953871499176277,120,13,359,8,0.36,0.045,0.041666666666666664,25,0.36,0.09,0.07758620689655173,50,0.47,0.235,0.1857707509881423,100,1,11
-0.014007403844643947,0.2088607594936709,0.9166666666666666,0.34020618556701027,99,17,375,9,0.36,0.045,0.041666666666666664,25,0.42,0.105,0.09170305676855896,50,0.37,0.185,0.14068441064638784,100,1,12
0.06300085117642312,0.22033898305084745,0.9285714285714286,0.3561643835616438,104,20,368,8,0.32,0.04,0.03686635944700461,25,0.26,0.065,0.05485232067510549,50,0.34,0.17,0.12781954887218044,100,1,13
0.008432233392946456,0.19791666666666666,0.8878504672897196,0.32367972742759793,95,8,385,12,0.28,0.035,0.03211009174311927,25,0.34,0.085,0.07296137339055794,50,0.42,0.21,0.16279069767441862,100,1,14
-0.025293233085283452,0.18736842105263157,0.89,0.3095652173913044,89,14,386,11,0.32,0.04,0.03686635944700461,25,0.38,0.095,0.08225108225108226,50,0.41,0.205,0.1583011583011583,100,1,15
-0.01787297771975652,0.19791666666666666,0.9405940594059405,0.32702237521514627,95,14,385,6,0.32,0.04,0.03686635944700461,25,0.34,0.085,0.07296137339055794,50,0.39,0.195,0.14942528735632185,100,1,16
