,mean,median,std
cosine_similarity,0.2906335282248715,0.32781590625530416,0.35776330511121307
confmat_precision,0.2713724994922311,0.25516869609335363,0.11041950514134542
confmat_recall,0.8368693266934547,0.8624070317782285,0.11451514450329522
confmat_f1,0.4025161275741474,0.3929278500363381,0.139244044602923
confmat_n_true_relevant,59.044444444444444,55.5,23.98028736842325
confmat_n_true_irrelevant,22.466666666666665,22.0,7.2996844629358435
confmat_n_false_relevant,159.1888888888889,161.0,26.070731121767007
confmat_n_false_irrelevant,9.3,8.0,4.816754467014653
topk5_precision,0.8212962962962963,1.0,0.27809127128903594
topk5_recall,0.09855555555555555,0.12,0.03337095255468431
topk5_iou,0.09759070514343321,0.12,0.03419361559940805
topk5_window_size,12.0,12.0,0.0
topk10_precision,0.7773333333333332,0.88,0.2597180839796633
topk10_recall,0.1943333333333333,0.22,0.06492952099491582
topk10_iou,0.1882430336076693,0.21359223300970873,0.06847312275613412
topk10_window_size,25.0,25.0,0.0
topk20_precision,0.6875555555555556,0.72,0.22300456543475533
topk20_recall,0.3437777777777778,0.36,0.11150228271737767
topk20_iou,0.3088712708511411,0.3157894736842105,0.12165302791248181
topk20_window_size,50.0,50.0,0.0
