,mean,median,std
cosine_similarity,0.09205130232746914,0.16587465310202226,0.3315683111299556
confmat_precision,0.23067700523912749,0.2337236746550472,0.1015039005113293
confmat_recall,0.7369244169522777,0.7356330741348864,0.12641621678594872
confmat_f1,0.3446136265748133,0.3508400351975771,0.13205249388923654
confmat_n_true_relevant,96.85555555555555,96.5,42.75447571317084
confmat_n_true_irrelevant,49.84444444444444,50.0,11.86147679297827
confmat_n_false_relevant,323.7,315.5,46.15227604647103
confmat_n_false_irrelevant,29.6,29.0,11.202728399613445
topk5_precision,0.6084444444444445,0.64,0.22238700507216871
topk5_recall,0.07605555555555556,0.08,0.02779837563402109
topk5_iou,0.07324767742780024,0.07655502392344497,0.02827863190210536
topk5_window_size,25.0,25.0,0.0
topk10_precision,0.6224444444444445,0.63,0.1391088096557698
topk10_recall,0.15561111111111112,0.1575,0.03477720241394245
topk10_iou,0.14332548645249346,0.1441707511206066,0.036155384404667056
topk10_window_size,50.0,50.0,0.0
topk20_precision,0.5391111111111111,0.525,0.0855995962980668
topk20_recall,0.26955555555555555,0.2625,0.0427997981490334
topk20_iou,0.22054781844413107,0.2121261590701319,0.04294528310225772
topk20_window_size,100.0,100.0,0.0
