cosine_similarity,confmat_precision,confmat_recall,confmat_f1,confmat_n_true_relevant,confmat_n_true_irrelevant,confmat_n_false_relevant,confmat_n_false_irrelevant,topk5_precision,topk5_recall,topk5_iou,topk5_window_size,topk10_precision,topk10_recall,topk10_iou,topk10_window_size,topk20_precision,topk20_recall,topk20_iou,topk20_window_size,sample,true_label,method,background
-0.4549090209199237,0.0831353919239905,0.5645161290322581,0.14492753623188406,35,52,386,27,0.8,0.1,0.0975609756097561,25,0.7,0.175,0.16279069767441862,50,0.62,0.31,0.2605042016806723,100,0,1,ehydra,n/a
-0.37012487026702995,0.12698412698412698,0.8115942028985508,0.2196078431372549,56,46,385,13,1.0,0.125,0.125,25,0.76,0.19,0.1792452830188679,50,0.53,0.265,0.2145748987854251,100,0,1,tshap_window,threshold
-0.18563613288119568,0.21352313167259787,0.5660377358490566,0.310077519379845,60,173,221,46,0.36,0.045,0.041666666666666664,25,0.54,0.135,0.1210762331838565,50,0.7,0.35,0.30434782608695654,100,0,1,tshap_roi,threshold
-0.06514419278517615,0.13445378151260504,0.9552238805970149,0.2357274401473296,64,21,412,3,1.0,0.125,0.125,25,0.72,0.18,0.16822429906542055,50,0.55,0.275,0.22448979591836735,100,0,1,tshap_window,centroid
-0.12787852876742292,0.1924198250728863,0.8571428571428571,0.3142857142857143,66,146,277,11,0.0,0.0,0.0,25,0.28,0.07,0.059322033898305086,50,0.5,0.25,0.2,100,0,1,tshap_roi,centroid
-0.3807208262814079,0.0924170616113744,0.582089552238806,0.15950920245398773,39,50,383,28,0.52,0.065,0.06132075471698113,25,0.58,0.145,0.13122171945701358,50,0.52,0.26,0.20967741935483872,100,1,1,ehydra,n/a
0.2993870885327467,0.22371967654986524,0.9021739130434783,0.35853131749460043,83,120,288,9,1.0,0.125,0.125,25,1.0,0.25,0.25,50,1.0,0.5,0.5,100,1,1,tshap_window,threshold
0.28162749711572516,0.47474747474747475,0.31756756756756754,0.38056680161943324,47,300,52,101,1.0,0.125,0.125,25,1.0,0.25,0.25,50,0.99,0.495,0.4925373134328358,100,1,1,tshap_roi,threshold
0.14002046887008535,0.2688888888888889,0.9758064516129032,0.421602787456446,121,47,329,3,1.0,0.125,0.125,25,1.0,0.25,0.25,50,0.81,0.405,0.3698630136986301,100,1,1,tshap_window,centroid
0.16135841199802872,0.4161073825503356,0.8266666666666667,0.5535714285714286,124,176,174,26,1.0,0.125,0.125,25,1.0,0.25,0.25,50,0.63,0.315,0.26582278481012656,100,1,1,tshap_roi,centroid
