cosine_similarity,confmat_precision,confmat_recall,confmat_f1,confmat_n_true_relevant,confmat_n_true_irrelevant,confmat_n_false_relevant,confmat_n_false_irrelevant,topk5_precision,topk5_recall,topk5_iou,topk5_window_size,topk10_precision,topk10_recall,topk10_iou,topk10_window_size,topk20_precision,topk20_recall,topk20_iou,topk20_window_size,sample,draw
-0.040915166384375895,0.1825726141078838,0.8979591836734694,0.30344827586206896,88,8,394,10,0.4,0.05,0.046511627906976744,25,0.4,0.1,0.08695652173913043,50,0.37,0.185,0.14068441064638784,100,0,0
0.05000331643181191,0.2296137339055794,0.8916666666666667,0.36518771331058025,107,21,359,13,0.48,0.06,0.056338028169014086,25,0.44,0.11,0.09649122807017543,50,0.39,0.195,0.14942528735632185,100,0,1
-0.03560780176848983,0.20125786163522014,0.9320388349514563,0.33103448275862074,96,16,381,7,0.4,0.05,0.046511627906976744,25,0.4,0.1,0.08695652173913043,50,0.4,0.2,0.15384615384615385,100,0,2
0.003473877394100631,0.2088607594936709,0.9339622641509434,0.34137931034482766,99,19,375,7,0.32,0.04,0.03686635944700461,25,0.32,0.08,0.06837606837606838,50,0.35,0.175,0.1320754716981132,100,0,3
-0.052488006084952486,0.18238993710691823,0.9354838709677419,0.3052631578947368,87,17,390,6,0.44,0.055,0.0514018691588785,25,0.44,0.11,0.09649122807017543,50,0.45,0.225,0.17647058823529413,100,0,4
-0.012351223311360952,0.1970649895178197,0.912621359223301,0.32413793103448274,94,14,383,9,0.32,0.04,0.03686635944700461,25,0.3,0.075,0.06382978723404255,50,0.34,0.17,0.12781954887218044,100,0,5
-1.1701501090275053e-05,0.20041753653444677,0.9411764705882353,0.3304647160068847,96,15,383,6,0.4,0.05,0.046511627906976744,25,0.46,0.115,0.1013215859030837,50,0.44,0.22,0.171875,100,0,6
0.03895889358863303,0.21638655462184875,0.9363636363636364,0.3515358361774744,103,17,373,7,0.4,0.05,0.046511627906976744,25,0.4,0.1,0.08695652173913043,50,0.44,0.22,0.171875,100,0,7
-0.044446720384537536,0.1829787234042553,0.8431372549019608,0.3006993006993007,86,14,384,16,0.24,0.03,0.0273972602739726,25,0.26,0.065,0.05485232067510549,50,0.31,0.155,0.11524163568773234,100,0,8
0.08162211025520505,0.2097457627118644,0.8918918918918919,0.33962264150943394,99,16,373,12,0.44,0.055,0.0514018691588785,25,0.44,0.11,0.09649122807017543,50,0.42,0.21,0.16279069767441862,100,0,9
