cosine_similarity,confmat_precision,confmat_recall,confmat_f1,confmat_n_true_relevant,confmat_n_true_irrelevant,confmat_n_false_relevant,confmat_n_false_irrelevant,topk5_precision,topk5_recall,topk5_iou,topk5_window_size,topk10_precision,topk10_recall,topk10_iou,topk10_window_size,topk20_precision,topk20_recall,topk20_iou,topk20_window_size,sample,true_label
0.11308920577121709,0.3378995433789954,0.8604651162790697,0.48524590163934417,74,19,145,12,1.0,0.12,0.12,12,0.88,0.22,0.21359223300970873,25,0.68,0.34,0.29310344827586204,50,0,1
0.7228615436540937,0.4043478260869565,0.9489795918367347,0.5670731707317073,93,15,137,5,1.0,0.12,0.12,12,1.0,0.25,0.25,25,0.9,0.45,0.42857142857142855,50,1,0
0.7169236520757132,0.4063926940639269,0.956989247311828,0.5705128205128206,89,27,130,4,1.0,0.12,0.12,12,1.0,0.25,0.25,25,0.92,0.46,0.4423076923076923,50,2,0
0.80666743604788,0.42592592592592593,0.9484536082474226,0.5878594249201279,92,29,124,5,1.0,0.12,0.12,12,1.0,0.25,0.25,25,0.96,0.48,0.47058823529411764,50,3,0
-0.0005508412860630295,0.28502415458937197,0.7972972972972973,0.4199288256227758,59,28,148,15,0.9166666666666666,0.11,0.10891089108910891,12,0.76,0.19,0.1792452830188679,25,0.6,0.3,0.25,50,4,1
0.8443563490610851,0.4479638009049774,0.99,0.6168224299065421,99,28,122,1,1.0,0.12,0.12,12,1.0,0.25,0.25,25,1.0,0.5,0.5,50,5,0
-0.0027792919489403544,0.1963470319634703,0.7166666666666667,0.30824372759856633,43,14,176,17,0.0,0.0,0.0,12,0.0,0.0,0.0,25,0.18,0.09,0.06382978723404255,50,6,1
-0.1422048766104005,0.0967741935483871,0.5384615384615384,0.1640625,21,15,196,18,0.3333333333333333,0.04,0.037037037037037035,12,0.32,0.08,0.06837606837606838,25,0.36,0.18,0.13636363636363635,50,7,1
-0.3048044418536669,0.23318385650224216,0.896551724137931,0.3701067615658363,52,21,171,6,0.75,0.09,0.08737864077669903,12,0.72,0.18,0.16822429906542055,25,0.74,0.37,0.3274336283185841,50,8,1
-0.014877940914212759,0.13777777777777778,0.8157894736842105,0.23574144486692014,31,18,194,7,0.5,0.06,0.05660377358490566,12,0.52,0.13,0.11607142857142858,25,0.42,0.21,0.16279069767441862,50,9,1
0.4400384754580293,0.22580645161290322,0.8596491228070176,0.35766423357664234,49,25,168,8,0.75,0.09,0.08737864077669903,12,0.84,0.21,0.20192307692307693,25,0.8,0.4,0.36363636363636365,50,10,0
0.5696143314433527,0.2557077625570776,0.8888888888888888,0.3971631205673759,56,24,163,7,1.0,0.12,0.12,12,0.92,0.23,0.22549019607843138,25,0.82,0.41,0.3761467889908257,50,11,0
0.5651329071766487,0.3188405797101449,0.8571428571428571,0.46478873239436613,66,32,141,11,1.0,0.12,0.12,12,0.96,0.24,0.2376237623762376,25,0.76,0.38,0.3392857142857143,50,12,0
