cosine_similarity,confmat_precision,confmat_recall,confmat_f1,confmat_n_true_relevant,confmat_n_true_irrelevant,confmat_n_false_relevant,confmat_n_false_irrelevant,topk5_precision,topk5_recall,topk5_iou,topk5_window_size,topk10_precision,topk10_recall,topk10_iou,topk10_window_size,topk20_precision,topk20_recall,topk20_iou,topk20_window_size,sample,true_label
0.3419528397176578,0.1675,0.5877192982456141,0.2607003891050584,67,53,333,47,0.88,0.11,0.10837438423645321,25,0.82,0.205,0.19617224880382775,50,0.6,0.3,0.25,100,0,1
-0.21859121716214822,0.12128146453089245,0.7571428571428571,0.20907297830374755,53,46,384,17,0.28,0.035,0.03211009174311927,25,0.56,0.14,0.12612612612612611,50,0.46,0.23,0.18110236220472442,100,1,0
-0.5171150624918559,0.05515587529976019,0.3333333333333333,0.09465020576131687,23,37,394,46,0.84,0.105,0.10294117647058823,25,0.74,0.185,0.17370892018779344,50,0.63,0.315,0.26582278481012656,100,2,0
-0.4481710829247558,0.10854503464203233,0.5875,0.18323586744639375,47,34,386,33,0.92,0.115,0.11386138613861387,25,0.8,0.2,0.19047619047619047,50,0.71,0.355,0.31004366812227074,100,3,0
0.5199583605857635,0.3295964125560538,0.8909090909090909,0.4811783960720131,147,36,299,18,0.36,0.045,0.041666666666666664,25,0.54,0.135,0.1210762331838565,50,0.55,0.275,0.22448979591836735,100,4,1
-0.26578613084505553,0.1536697247706422,0.7528089887640449,0.2552380952380952,67,42,369,22,0.44,0.055,0.0514018691588785,25,0.5,0.125,0.1111111111111111,50,0.45,0.225,0.17647058823529413,100,5,0
0.4322287884116874,0.32629107981220656,0.7942857142857143,0.46256239600665555,139,38,287,36,0.4,0.05,0.046511627906976744,25,0.5,0.125,0.1111111111111111,50,0.49,0.245,0.1952191235059761,100,6,1
0.2855595868197717,0.3522167487684729,0.8461538461538461,0.4973913043478261,143,68,263,26,0.4,0.05,0.046511627906976744,25,0.54,0.135,0.1210762331838565,50,0.51,0.255,0.20481927710843373,100,7,1
0.17798911730035719,0.11670480549199085,0.6538461538461539,0.19805825242718447,51,36,386,27,0.64,0.08,0.07655502392344497,25,0.74,0.185,0.17370892018779344,50,0.58,0.29,0.2396694214876033,100,8,1
0.49626877915236556,0.3419811320754717,0.8238636363636364,0.48333333333333334,145,45,279,31,0.8,0.1,0.0975609756097561,25,0.82,0.205,0.19617224880382775,50,0.7,0.35,0.30434782608695654,100,9,1
0.15376018890368734,0.352549889135255,0.9464285714285714,0.5137318255250404,159,40,292,9,0.64,0.08,0.07655502392344497,25,0.5,0.125,0.1111111111111111,50,0.46,0.23,0.18110236220472442,100,10,0
-0.027182301137238043,0.20823244552058112,0.688,0.3197026022304833,86,48,327,39,0.88,0.11,0.10837438423645321,25,0.8,0.2,0.19047619047619047,50,0.67,0.335,0.2875536480686695,100,11,0
0.11248692882137992,0.22794117647058823,0.7209302325581395,0.34636871508379885,93,56,315,36,0.76,0.095,0.09223300970873786,25,0.8,0.2,0.19047619047619047,50,0.69,0.345,0.2987012987012987,100,12,0
0.5071001047573663,0.29175946547884185,0.916083916083916,0.4425675675675676,131,39,318,12,0.28,0.035,0.03211009174311927,25,0.52,0.13,0.11607142857142858,50,0.53,0.265,0.2145748987854251,100,13,1
0.2108576150797195,0.31678486997635935,0.8072289156626506,0.45500848896434637,134,45,289,32,0.4,0.05,0.046511627906976744,25,0.44,0.11,0.09649122807017543,50,0.49,0.245,0.1952191235059761,100,14,1
0.06154796008229653,0.07459207459207459,0.6153846153846154,0.13305613305613304,32,51,397,20,0.28,0.035,0.03211009174311927,25,0.52,0.13,0.11607142857142858,50,0.48,0.24,0.19047619047619047,100,15,1
-0.055029552455948746,0.11294117647058824,0.64,0.19200000000000003,48,48,377,27,0.56,0.07,0.06635071090047394,25,0.68,0.17,0.1574074074074074,50,0.59,0.295,0.24481327800829875,100,16,1
0.3211847585910704,0.34441805225653205,0.847953216374269,0.48986486486486486,145,53,276,26,0.88,0.11,0.10837438423645321,25,0.74,0.185,0.17370892018779344,50,0.52,0.26,0.20967741935483872,100,17,0
0.02654676397180165,0.09195402298850575,0.6557377049180327,0.16129032258064516,40,44,395,21,0.32,0.04,0.03686635944700461,25,0.48,0.12,0.10619469026548672,50,0.49,0.245,0.1952191235059761,100,18,1
-0.2772968638646485,0.1347517730496454,0.6705882352941176,0.22440944881889766,57,49,366,28,0.32,0.04,0.03686635944700461,25,0.36,0.09,0.07758620689655173,50,0.37,0.185,0.14068441064638784,100,19,0
0.555071741510174,0.34965034965034963,0.9036144578313253,0.5042016806722689,150,55,279,16,0.52,0.065,0.06132075471698113,25,0.62,0.155,0.1415525114155251,50,0.65,0.325,0.2765957446808511,100,20,1
0.24011266829844868,0.35147392290249435,0.9627329192546584,0.5149501661129567,155,53,286,6,0.6,0.075,0.07142857142857142,25,0.66,0.165,0.15207373271889402,50,0.56,0.28,0.22950819672131148,100,21,0
-0.33539614531134054,0.10526315789473684,0.7164179104477612,0.18355640535372847,48,25,408,19,0.84,0.105,0.10294117647058823,25,0.76,0.19,0.1792452830188679,50,0.64,0.32,0.2711864406779661,100,22,0
-0.11725221747096158,0.12268518518518519,0.6883116883116883,0.20825147347740666,53,44,379,24,0.76,0.095,0.09223300970873786,25,0.76,0.19,0.1792452830188679,50,0.52,0.26,0.20967741935483872,100,23,0
-0.10977287148699565,0.13493975903614458,0.6588235294117647,0.224,56,56,359,29,0.4,0.05,0.046511627906976744,25,0.5,0.125,0.1111111111111111,50,0.52,0.26,0.20967741935483872,100,24,0
-0.38157723292183343,0.13126491646778043,0.6707317073170732,0.21956087824351295,55,54,364,27,0.32,0.04,0.03686635944700461,25,0.54,0.135,0.1210762331838565,50,0.46,0.23,0.18110236220472442,100,25,0
0.5081460300067489,0.3586206896551724,0.9454545454545454,0.52,156,56,279,9,0.4,0.05,0.046511627906976744,25,0.56,0.14,0.12612612612612611,50,0.56,0.28,0.22950819672131148,100,26,1
0.353619057572674,0.3046683046683047,0.7515151515151515,0.43356643356643354,124,52,283,41,0.84,0.105,0.10294117647058823,25,0.68,0.17,0.1574074074074074,50,0.55,0.275,0.22448979591836735,100,27,1
-0.18605206081066217,0.22377622377622378,0.7559055118110236,0.34532374100719426,96,40,333,31,0.68,0.085,0.08173076923076923,25,0.62,0.155,0.1415525114155251,50,0.5,0.25,0.2,100,28,0
0.38191083112625307,0.35799522673031026,0.8670520231213873,0.5067567567567568,150,58,269,23,0.88,0.11,0.10837438423645321,25,0.78,0.195,0.1848341232227488,50,0.5,0.25,0.2,100,29,0
0.10143401996170845,0.11868686868686869,0.5222222222222223,0.19341563786008228,47,61,349,43,0.56,0.07,0.06635071090047394,25,0.66,0.165,0.15207373271889402,50,0.55,0.275,0.22448979591836735,100,30,1
-0.13763015358407005,0.12980769230769232,0.6206896551724138,0.21471172962226645,54,51,362,33,0.24,0.03,0.0273972602739726,25,0.26,0.065,0.05485232067510549,50,0.4,0.2,0.15384615384615385,100,31,1
0.37067014736041226,0.34851936218678814,0.9216867469879518,0.5057851239669422,153,48,286,13,0.32,0.04,0.03686635944700461,25,0.54,0.135,0.1210762331838565,50,0.49,0.245,0.1952191235059761,100,32,1
0.46764494533108414,0.3542713567839196,0.8703703703703703,0.5035714285714286,141,81,257,21,0.36,0.045,0.041666666666666664,25,0.5,0.125,0.1111111111111111,50,0.5,0.25,0.2,100,33,1
0.482633462703252,0.33557046979865773,0.8771929824561403,0.4854368932038835,150,32,297,21,0.28,0.035,0.03211009174311927,25,0.48,0.12,0.10619469026548672,50,0.47,0.235,0.1857707509881423,100,34,1
0.021092632826368966,0.29082774049217003,0.87248322147651,0.436241610738255,130,34,317,19,0.8,0.1,0.0975609756097561,25,0.84,0.21,0.20192307692307693,50,0.66,0.33,0.28205128205128205,100,35,0
-0.2746866815666585,0.1111111111111111,0.6438356164383562,0.18951612903225806,47,51,376,26,0.36,0.045,0.041666666666666664,25,0.54,0.135,0.1210762331838565,50,0.49,0.245,0.1952191235059761,100,36,0
-0.07151441898146402,0.20759493670886076,0.6666666666666666,0.31660231660231664,82,64,313,41,0.92,0.115,0.11386138613861387,25,0.74,0.185,0.17370892018779344,50,0.53,0.265,0.2145748987854251,100,37,0
0.23115896225994834,0.2517482517482518,0.7714285714285715,0.3796133567662566,108,39,321,32,0.88,0.11,0.10837438423645321,25,0.84,0.21,0.20192307692307693,50,0.66,0.33,0.28205128205128205,100,38,1
-0.3442669793888841,0.09456264775413711,0.5633802816901409,0.16194331983805668,40,46,383,31,0.12,0.015,0.013513513513513514,25,0.3,0.075,0.06382978723404255,50,0.42,0.21,0.16279069767441862,100,39,0
-0.3294738639598484,0.15330188679245282,0.7065217391304348,0.25193798449612403,65,49,359,27,0.6,0.075,0.07142857142857142,25,0.44,0.11,0.09649122807017543,50,0.46,0.23,0.18110236220472442,100,40,0
-0.4185318619430369,0.11851851851851852,0.5783132530120482,0.19672131147540983,48,60,357,35,0.28,0.035,0.03211009174311927,25,0.36,0.09,0.07758620689655173,50,0.42,0.21,0.16279069767441862,100,41,0
-0.28449403276629665,0.14918414918414918,0.8,0.25147347740667975,64,55,365,16,0.64,0.08,0.07655502392344497,25,0.52,0.13,0.11607142857142858,50,0.47,0.235,0.1857707509881423,100,42,0
0.5152501654151604,0.36061381074168797,0.815028901734104,0.5,141,77,250,32,0.48,0.06,0.056338028169014086,25,0.48,0.12,0.10619469026548672,50,0.45,0.225,0.17647058823529413,100,43,1
