cosine_similarity,confmat_precision,confmat_recall,confmat_f1,confmat_n_true_relevant,confmat_n_true_irrelevant,confmat_n_false_relevant,confmat_n_false_irrelevant,topk5_precision,topk5_recall,topk5_iou,topk5_window_size,topk10_precision,topk10_recall,topk10_iou,topk10_window_size,topk20_precision,topk20_recall,topk20_iou,topk20_window_size,sample,true_label,method,background
0.11308920577121709,0.3378995433789954,0.8604651162790697,0.48524590163934417,74,19,145,12,1.0,0.12,0.12,12,0.88,0.22,0.21359223300970873,25,0.68,0.34,0.29310344827586204,50,0,1,ehydra,n/a
0.13920320990233018,0.3,0.8117647058823529,0.4380952380952381,69,4,161,16,0.0,0.0,0.0,12,0.0,0.0,0.0,25,0.0,0.0,0.0,50,0,1,tshap_window,threshold
0.34673270909359966,0.39896373056994816,0.9058823529411765,0.5539568345323741,77,49,116,8,1.0,0.12,0.12,12,1.0,0.25,0.25,25,0.88,0.44,0.41509433962264153,50,0,1,tshap_roi,threshold
0.6575370847001127,0.22123893805309736,1.0,0.36231884057971014,50,24,176,0,1.0,0.12,0.12,12,1.0,0.25,0.25,25,0.68,0.34,0.29310344827586204,50,0,1,tshap_window,centroid
0.4686308198414814,0.28125,0.42857142857142855,0.3396226415094339,36,74,92,48,0.16666666666666666,0.02,0.01818181818181818,12,0.08,0.02,0.016260162601626018,25,0.44,0.22,0.171875,50,0,1,tshap_roi,centroid
0.7228615436540937,0.4043478260869565,0.9489795918367347,0.5670731707317073,93,15,137,5,1.0,0.12,0.12,12,1.0,0.25,0.25,25,0.9,0.45,0.42857142857142855,50,1,0,ehydra,n/a
0.7700144462051676,0.4065040650406504,1.0,0.5780346820809249,100,4,146,0,1.0,0.12,0.12,12,1.0,0.25,0.25,25,0.86,0.43,0.40186915887850466,50,1,0,tshap_window,threshold
0.6288979750171031,0.41025641025641024,0.64,0.5,64,58,92,36,0.0,0.0,0.0,12,0.24,0.06,0.05042016806722689,25,0.22,0.11,0.07913669064748201,50,1,0,tshap_roi,threshold
0.5503998985925956,0.3029045643153527,0.948051948051948,0.4591194968553458,73,5,168,4,1.0,0.12,0.12,12,0.92,0.23,0.22549019607843138,25,0.68,0.34,0.29310344827586204,50,1,0,tshap_window,centroid
0.5955081791698253,0.3826530612244898,0.9615384615384616,0.5474452554744526,75,51,121,3,0.0,0.0,0.0,12,0.32,0.08,0.06837606837606838,25,0.64,0.32,0.2711864406779661,50,1,0,tshap_roi,centroid
0.7169236520757132,0.4063926940639269,0.956989247311828,0.5705128205128206,89,27,130,4,1.0,0.12,0.12,12,1.0,0.25,0.25,25,0.92,0.46,0.4423076923076923,50,2,0,ehydra,n/a
0.6910425412634885,0.36086956521739133,0.83,0.503030303030303,83,3,147,17,1.0,0.12,0.12,12,1.0,0.25,0.25,25,0.78,0.39,0.35135135135135137,50,2,0,tshap_window,threshold
0.5739431571655171,0.41836734693877553,0.9425287356321839,0.5795053003533569,82,49,114,5,0.4166666666666667,0.05,0.04672897196261682,12,0.28,0.07,0.059322033898305086,25,0.28,0.14,0.10294117647058823,50,2,0,tshap_roi,threshold
0.37377112855295286,0.3,0.9113924050632911,0.45141065830720994,72,3,168,7,0.4166666666666667,0.05,0.04672897196261682,12,0.36,0.09,0.07758620689655173,25,0.44,0.22,0.171875,50,2,0,tshap_window,centroid
0.40859797179474,0.425531914893617,0.759493670886076,0.5454545454545455,60,90,81,19,0.5833333333333334,0.07,0.06666666666666667,12,0.8,0.2,0.19047619047619047,25,0.68,0.34,0.29310344827586204,50,2,0,tshap_roi,centroid
0.80666743604788,0.42592592592592593,0.9484536082474226,0.5878594249201279,92,29,124,5,1.0,0.12,0.12,12,1.0,0.25,0.25,25,0.96,0.48,0.47058823529411764,50,3,0,ehydra,n/a
0.784020344478442,0.40816326530612246,1.0,0.5797101449275363,100,5,145,0,1.0,0.12,0.12,12,1.0,0.25,0.25,25,1.0,0.5,0.5,50,3,0,tshap_window,threshold
