cosine_similarity,confmat_precision,confmat_recall,confmat_f1,confmat_n_true_relevant,confmat_n_true_irrelevant,confmat_n_false_relevant,confmat_n_false_irrelevant,topk5_precision,topk5_recall,topk5_iou,topk5_window_size,topk10_precision,topk10_recall,topk10_iou,topk10_window_size,topk20_precision,topk20_recall,topk20_iou,topk20_window_size,condition,sample,background,hydra_test_accuracy
0.8404580446023362,0.6451612903225806,1.0,0.7843137254901961,80,76,44,0,1.0,0.125,0.125,10,1.0,0.25,0.25,20,1.0,0.5,0.5,40,A_paper_exact,0,threshold,0.9555555555555556
0.646456988380434,0.36507936507936506,0.92,0.5227272727272727,46,70,80,4,1.0,0.125,0.125,10,1.0,0.25,0.25,20,0.95,0.475,0.4634146341463415,40,A_paper_exact,0,centroid,0.9555555555555556
0.9214765106927936,0.543859649122807,0.8732394366197183,0.6702702702702702,62,77,52,9,1.0,0.125,0.125,10,1.0,0.25,0.25,20,0.975,0.4875,0.48148148148148145,40,A_paper_exact,1,threshold,0.9555555555555556
0.7606208547842219,0.6260869565217392,0.96,0.7578947368421053,72,82,43,3,1.0,0.125,0.125,10,1.0,0.25,0.25,20,0.875,0.4375,0.4117647058823529,40,A_paper_exact,1,centroid,0.9555555555555556
0.9237911595729603,0.6635514018691588,0.922077922077922,0.7717391304347826,71,87,36,6,1.0,0.125,0.125,10,1.0,0.25,0.25,20,0.925,0.4625,0.4457831325301205,40,A_paper_exact,2,threshold,0.9555555555555556
0.7810144193044365,0.6260869565217392,0.935064935064935,0.75,72,80,43,5,1.0,0.125,0.125,10,1.0,0.25,0.25,20,0.9,0.45,0.42857142857142855,40,A_paper_exact,2,centroid,0.9555555555555556
0.9403912299375259,0.64,1.0,0.7804878048780487,80,75,45,0,1.0,0.125,0.125,10,1.0,0.25,0.25,20,1.0,0.5,0.5,40,A_paper_exact,3,threshold,0.9555555555555556
0.8006305203439203,0.5983606557377049,0.9125,0.7227722772277229,73,71,49,7,1.0,0.125,0.125,10,1.0,0.25,0.25,20,0.925,0.4625,0.4457831325301205,40,A_paper_exact,3,centroid,0.9555555555555556
0.9287474157531451,0.4166666666666667,0.7407407407407407,0.5333333333333333,40,90,56,14,1.0,0.125,0.125,10,1.0,0.25,0.25,20,0.95,0.475,0.4634146341463415,40,A_paper_exact,4,threshold,0.9555555555555556
0.8796173762343937,0.37037037037037035,0.9090909090909091,0.5263157894736842,40,88,68,4,1.0,0.125,0.125,10,1.0,0.25,0.25,20,0.925,0.4625,0.4457831325301205,40,A_paper_exact,4,centroid,0.9555555555555556
