,mean,median,std
cosine_similarity,0.12479092379974259,0.12618064539579843,0.48043086735707086
confmat_precision,0.22339516011298402,0.2222222222222222,0.1352619285605469
confmat_recall,0.8462651872480986,0.9089705395564383,0.1730435865610045
confmat_f1,0.34034722877688495,0.3588034835289663,0.18348913806918896
confmat_n_true_relevant,50.77777777777778,50.0,30.906083826297895
confmat_n_true_irrelevant,18.244444444444444,17.0,5.545138798500152
confmat_n_false_relevant,176.48888888888888,177.0,31.161501905375992
confmat_n_false_irrelevant,4.488888888888889,4.0,3.2576425074916875
topk5_precision,0.7611111111111113,0.8333333333333334,0.2221363754282254
topk5_recall,0.09133333333333332,0.1,0.02665636505138705
topk5_iou,0.08949456046133035,0.09803921568627451,0.02757878914478191
topk5_window_size,12.0,12.0,0.0
topk10_precision,0.746222222222222,0.76,0.18820606551365404
topk10_recall,0.1865555555555555,0.19,0.04705151637841351
topk10_iou,0.17762996672714548,0.1792452830188679,0.05043500678291119
topk10_window_size,25.0,25.0,0.0
topk20_precision,0.6922222222222223,0.7,0.16556866783992416
topk20_recall,0.34611111111111115,0.35,0.08278433391996208
topk20_iou,0.3064012673264826,0.30434782608695654,0.09116890046759929
topk20_window_size,50.0,50.0,0.0
