method_a,method_b,fraction,mean_iou,median_iou,mean_overlap_fraction,median_overlap_fraction,mean_centre_distance,mean_score_drop_a,mean_score_drop_b,flip_rate_a,flip_rate_b,n_samples,n_datasets
feature_ablation,mrsqm,0.05,0.0,0.0,0.0,0.0,0.39533333333333337,0.5651490925510172,0.09030376432651631,0.1,0.0,20,1
feature_ablation,mrsqm,0.1,0.015217391304347827,0.0,0.023333333333333334,0.0,0.4213333333333334,0.5038868555287607,0.14049097151993006,0.1,0.0,20,1
feature_ablation,mrsqm,0.2,0.05555555555555556,0.0,0.08333333333333334,0.0,0.3616666666666667,0.5287644819248604,0.2251691002759911,0.15,0.25,20,1
feature_ablation,tshap_centroid,0.05,0.152014652014652,0.0,0.1875,0.0,0.252,0.5651490925510172,0.23705599463944355,0.1,0.0,20,1
feature_ablation,tshap_centroid,0.1,0.13572383498854085,0.0,0.17333333333333334,0.0,0.217,0.5038868555287607,0.2548839782795732,0.1,0.0,20,1
feature_ablation,tshap_centroid,0.2,0.27813448177667405,0.0,0.3383333333333333,0.0,0.19233333333333333,0.5287644819248604,0.29657286386812165,0.15,0.0,20,1
feature_ablation,tshap_zero,0.05,0.18828282828282827,0.0,0.225,0.0,0.23966666666666664,0.5651490925510172,0.23866216433560994,0.1,0.1,20,1
feature_ablation,tshap_zero,0.1,0.23334288260758845,0.0,0.3,0.0,0.175,0.5038868555287607,0.2725769574000731,0.1,0.1,20,1
feature_ablation,tshap_zero,0.2,0.32252418840099933,0.2789115646258503,0.4133333333333333,0.43333333333333335,0.161,0.5287644819248604,0.2909100590525963,0.15,0.05,20,1
hydra,feature_ablation,0.05,0.12101010101010101,0.0,0.1625,0.0,0.16033333333333333,0.20691255936054512,0.5651490925510172,0.0,0.1,20,1
hydra,feature_ablation,0.1,0.1478562801932367,0.0,0.17,0.0,0.20433333333333334,0.307495295868666,0.5038868555287607,0.0,0.1,20,1
hydra,feature_ablation,0.2,0.16000726353869893,0.01694915254237288,0.2033333333333333,0.03333333333333333,0.22533333333333333,0.3522180100782982,0.5287644819248604,0.25,0.15,20,1
hydra,mrsqm,0.05,0.0,0.0,0.0,0.0,0.29033333333333333,0.20691255936054512,0.09030376432651631,0.0,0.0,20,1
hydra,mrsqm,0.1,0.015555555555555555,0.0,0.026666666666666665,0.0,0.26833333333333337,0.307495295868666,0.14049097151993006,0.0,0.0,20,1
hydra,mrsqm,0.2,0.286993575639793,0.17828263380824028,0.37333333333333335,0.3,0.147,0.3522180100782982,0.2251691002759911,0.25,0.25,20,1
