cluster,cluster_name,method_a,method_b,fraction,mean_iou,median_iou,mean_overlap_fraction,mean_score_drop_a,mean_score_drop_b,n_samples,n_datasets
1,Smooth / low-complexity,feature_ablation,mrsqm,0.05,0.0,0.0,0.0,0.5651490925510172,0.0903037643265163,20,1
1,Smooth / low-complexity,feature_ablation,mrsqm,0.1,0.015217391304347825,0.0,0.023333333333333334,0.5038868555287607,0.1404909715199301,20,1
1,Smooth / low-complexity,feature_ablation,mrsqm,0.2,0.05555555555555556,0.0,0.08333333333333334,0.5287644819248603,0.2251691002759911,20,1
1,Smooth / low-complexity,feature_ablation,tshap_centroid,0.05,0.152014652014652,0.0,0.1875,0.5651490925510172,0.23705599463944357,20,1
1,Smooth / low-complexity,feature_ablation,tshap_centroid,0.1,0.13572383498854085,0.0,0.17333333333333334,0.5038868555287607,0.2548839782795732,20,1
1,Smooth / low-complexity,feature_ablation,tshap_centroid,0.2,0.27813448177667405,0.0,0.3383333333333333,0.5287644819248603,0.2965728638681216,20,1
1,Smooth / low-complexity,feature_ablation,tshap_zero,0.05,0.18828282828282827,0.0,0.225,0.5651490925510172,0.23866216433560994,20,1
1,Smooth / low-complexity,feature_ablation,tshap_zero,0.1,0.23334288260758845,0.0,0.3,0.5038868555287607,0.2725769574000731,20,1
1,Smooth / low-complexity,feature_ablation,tshap_zero,0.2,0.32252418840099933,0.2789115646258503,0.4133333333333333,0.5287644819248603,0.2909100590525963,20,1
1,Smooth / low-complexity,hydra,feature_ablation,0.05,0.12101010101010098,0.0,0.1625,0.20691255936054506,0.5651490925510172,20,1
1,Smooth / low-complexity,hydra,feature_ablation,0.1,0.1478562801932367,0.0,0.16999999999999998,0.307495295868666,0.5038868555287607,20,1
1,Smooth / low-complexity,hydra,feature_ablation,0.2,0.16000726353869893,0.0169491525423728,0.2033333333333333,0.3522180100782982,0.5287644819248603,20,1
1,Smooth / low-complexity,hydra,mrsqm,0.05,0.0,0.0,0.0,0.20691255936054506,0.0903037643265163,20,1
1,Smooth / low-complexity,hydra,mrsqm,0.1,0.015555555555555555,0.0,0.026666666666666665,0.307495295868666,0.1404909715199301,20,1
1,Smooth / low-complexity,hydra,mrsqm,0.2,0.286993575639793,0.17828263380824025,0.37333333333333335,0.3522180100782982,0.2251691002759911,20,1
1,Smooth / low-complexity,hydra,shapley_sampling,0.05,0.07272727272727272,0.0,0.08125,0.20691255936054506,0.34585645261025294,20,1
1,Smooth / low-complexity,hydra,shapley_sampling,0.1,0.14219405448790753,0.0,0.19666666666666666,0.307495295868666,0.36229384421302807,20,1
1,Smooth / low-complexity,hydra,shapley_sampling,0.2,0.3091723682568297,0.16515837104072395,0.38333333333333336,0.3522180100782982,0.39876050196786156,20,1
1,Smooth / low-complexity,hydra,tshap_centroid,0.05,0.0,0.0,0.0,0.20691255936054506,0.23705599463944357,20,1
1,Smooth / low-complexity,hydra,tshap_centroid,0.1,0.055744948038801104,0.0,0.09333333333333332,0.307495295868666,0.2548839782795732,20,1
1,Smooth / low-complexity,hydra,tshap_centroid,0.2,0.19401358559528376,0.14545454545454545,0.2783333333333333,0.3522180100782982,0.2965728638681216,20,1
1,Smooth / low-complexity,hydra,tshap_zero,0.05,0.0,0.0,0.0,0.20691255936054506,0.23866216433560994,20,1
1,Smooth / low-complexity,hydra,tshap_zero,0.1,0.0,0.0,0.0,0.307495295868666,0.2725769574000731,20,1
1,Smooth / low-complexity,hydra,tshap_zero,0.2,0.00769230769230769,0.0,0.01333333333333333,0.3522180100782982,0.2909100590525963,20,1
1,Smooth / low-complexity,shapley_sampling,feature_ablation,0.05,0.2533333333333333,0.0,0.25625,0.34585645261025294,0.5651490925510172,20,1
1,Smooth / low-complexity,shapley_sampling,feature_ablation,0.1,0.1923277809147374,0.0,0.22333333333333333,0.36229384421302807,0.5038868555287607,20,1
1,Smooth / low-complexity,shapley_sampling,feature_ablation,0.2,0.32542552223616295,0.22909698996655514,0.3933333333333333,0.39876050196786156,0.5287644819248603,20,1
1,Smooth / low-complexity,shapley_sampling,mrsqm,0.05,0.0,0.0,0.0,0.34585645261025294,0.0903037643265163,20,1
1,Smooth / low-complexity,shapley_sampling,mrsqm,0.1,0.09646739130434782,0.0,0.13,0.36229384421302807,0.1404909715199301,20,1
1,Smooth / low-complexity,shapley_sampling,mrsqm,0.2,0.22582951945080093,0.0,0.2733333333333333,0.39876050196786156,0.2251691002759911,20,1
1,Smooth / low-complexity,shapley_sampling,tshap_centroid,0.05,0.04666666666666666,0.0,0.0625,0.34585645261025294,0.23705599463944357,20,1
1,Smooth / low-complexity,shapley_sampling,tshap_centroid,0.1,0.058967391304347826,0.0,0.06999999999999999,0.36229384421302807,0.2548839782795732,20,1
1,Smooth / low-complexity,shapley_sampling,tshap_centroid,0.2,0.08364222100544144,0.0,0.125,0.39876050196786156,0.2965728638681216,20,1
1,Smooth / low-complexity,shapley_sampling,tshap_zero,0.05,0.0,0.0,0.0,0.34585645261025294,0.23866216433560994,20,1
1,Smooth / low-complexity,shapley_sampling,tshap_zero,0.1,0.058399209486166004,0.0,0.08333333333333333,0.36229384421302807,0.2725769574000731,20,1
1,Smooth / low-complexity,shapley_sampling,tshap_zero,0.2,0.1650612173626526,0.0,0.22166666666666668,0.39876050196786156,0.2909100590525963,20,1
1,Smooth / low-complexity,tshap_centroid,mrsqm,0.05,0.0,0.0,0.0,0.23705599463944357,0.0903037643265163,20,1
1,Smooth / low-complexity,tshap_centroid,mrsqm,0.1,0.01,0.0,0.016666666666666666,0.2548839782795732,0.1404909715199301,20,1
1,Smooth / low-complexity,tshap_centroid,mrsqm,0.2,0.13918364328086935,0.0,0.2033333333333333,0.2965728638681216,0.2251691002759911,20,1
1,Smooth / low-complexity,tshap_centroid,tshap_zero,0.05,0.06161616161616161,0.0,0.075,0.23705599463944357,0.23866216433560994,20,1
1,Smooth / low-complexity,tshap_centroid,tshap_zero,0.1,0.058427601809954745,0.0,0.07666666666666666,0.2548839782795732,0.2725769574000731,20,1
1,Smooth / low-complexity,tshap_centroid,tshap_zero,0.2,0.07665779120471275,0.0,0.10499999999999998,0.2965728638681216,0.2909100590525963,20,1
1,Smooth / low-complexity,tshap_zero,mrsqm,0.05,0.0,0.0,0.0,0.23866216433560994,0.0903037643265163,20,1
1,Smooth / low-complexity,tshap_zero,mrsqm,0.1,0.0,0.0,0.0,0.2725769574000731,0.1404909715199301,20,1
1,Smooth / low-complexity,tshap_zero,mrsqm,0.2,0.00769230769230769,0.0,0.01333333333333333,0.2909100590525963,0.2251691002759911,20,1
