dataset,mean_pearson,mean_spearman,mean_top_window_iou,n_pairs
ACSF1,0.956557569457029,0.9323047843535592,0.8339960451768551,80
ArrowHead,0.8865326358982429,0.8684045247581104,0.6492527507613715,80
Computers,0.8995486800299931,0.8725107457319323,0.5868953504470273,80
CricketX,0.7432394891837896,0.7131978688652095,0.5451174073175736,80
CricketZ,0.7595917315040797,0.7360452949477216,0.5004306447518754,80
DiatomSizeReduction,0.9300159824963743,0.9230878427149513,0.38397620867884313,80
DistalPhalanxOutlineAgeGroup,0.6960172272589256,0.6716865916549462,0.18742729492729493,80
DistalPhalanxOutlineCorrect,0.34543933989634346,0.34388742381622134,0.04966533466533467,80
DistalPhalanxTW,0.9045607023759731,0.8687335911861229,0.40019480519480516,80
ECG200,0.9303605499772365,0.9173363741182854,0.5780982905982907,80
EOGHorizontalSignal,0.5038357070723558,0.4703971668461454,0.3842272040638642,80
EOGVerticalSignal,0.6716581393272618,0.6449933385769782,0.6052004537420898,80
Earthquakes,0.8063220407894429,0.7897901883674624,0.5303289119430796,80
Fish,0.9092145352234888,0.8991601743289106,0.4417624573741733,80
GestureMidAirD2,0.8957137639651807,0.8628430646327002,0.547177871217361,80
GestureMidAirD3,0.8170801502064758,0.7995734727891418,0.6149267541978186,80
GunPointOldVersusYoung,0.9943287099382669,0.9918795502022313,0.6578125,80
Ham,0.9125196893181439,0.9015683978878517,0.7280978853571881,80
Haptics,0.8792450574507669,0.8675175982395421,0.5872973153671575,80
MoteStrain,0.9818561352942237,0.9740713273261112,0.8605555555555556,80
OSULeaf,0.9148631144452896,0.9042697216699924,0.7313196520165314,80
PowerCons,0.8124227505927729,0.7950174322803634,0.4964620013342923,80
ProximalPhalanxOutlineAgeGroup,0.486196470757058,0.487858356774496,0.4460606060606061,80
ProximalPhalanxTW,0.828966924841742,0.7285677449601501,0.3192152292152292,80
ScreenType,0.7897279093156696,0.7870364617007707,0.30007139316387266,80
SemgHandGenderCh2,0.6457161304270247,0.6066632229893961,0.24890454939098,80
SemgHandMovementCh2,0.49586705427901834,0.48083278193238466,0.2855047811513029,80
SemgHandSubjectCh2,0.6194355061115409,0.6032369836680592,0.48409193272530127,80
ShapeletSim,0.949789757307736,0.9417512176843266,0.8264315954261254,80
SmallKitchenAppliances,0.9743406701528228,0.9543203443612498,0.7147514076431853,80
SmoothSubspace,0.8655743546537898,0.8047767857142857,0.5166666666666667,80
Symbols,0.9891480880614362,0.9832553035876106,0.8601068608787109,80
ToeSegmentation1,0.8731770435449517,0.8580559504680041,0.5649252205114901,80
ToeSegmentation2,0.9587985441391595,0.9530171314023074,0.7316038846692232,80
Trace,0.9718490846311347,0.9456315094775108,0.8265124452967753,80
WordSynonyms,0.7852524978591655,0.767082073980591,0.5619206242788307,80
Worms,0.8273542099746434,0.8250797390805864,0.5185895490960324,80
WormsTwoClass,0.9039080239416644,0.9015078134312693,0.520714494544656,80
