dataset,n_train,series_length,window_length,stride,n_window_positions
SmoothSubspace,150,15,2,1,14
Chinatown,20,24,2,1,23
ItalyPowerDemand,67,24,2,1,23
MelbournePedestrian,1138,24,2,1,23
Crop,7200,46,5,2,22
SyntheticControl,300,60,6,3,19
SonyAIBORobotSurface2,27,65,6,3,21
SonyAIBORobotSurface1,20,70,7,3,22
MiddlePhalanxOutlineAgeGroup,400,80,8,4,19
MiddlePhalanxOutlineCorrect,600,80,8,4,19
DistalPhalanxOutlineAgeGroup,400,80,8,4,19
DistalPhalanxOutlineCorrect,600,80,8,4,19
DistalPhalanxTW,400,80,8,4,19
ProximalPhalanxTW,400,80,8,4,19
ProximalPhalanxOutlineCorrect,600,80,8,4,19
ProximalPhalanxOutlineAgeGroup,400,80,8,4,19
PhalangesOutlinesCorrect,1800,80,8,4,19
MiddlePhalanxTW,399,80,8,4,19
TwoLeadECG,23,82,8,4,20
MoteStrain,20,84,8,4,20
ElectricDevices,8926,96,10,4,23
ECG200,100,96,10,4,23
MedicalImages,381,99,10,4,24
CBF,30,128,13,5,24
BME,30,128,13,5,24
SwedishLeaf,500,128,13,5,24
TwoPatterns,1000,128,13,5,24
FaceAll,560,131,13,5,25
FacesUCR,200,131,13,5,25
ECGFiveDays,23,136,14,5,26
ECG5000,500,140,14,5,27
PowerCons,180,144,14,5,27
Plane,105,144,14,5,27
GunPoint,50,150,15,5,28
GunPointMaleVersusFemale,135,150,15,5,28
UMD,36,150,15,5,28
GunPointOldVersusYoung,136,150,15,5,28
GunPointAgeSpan,135,150,15,5,28
Wafer,1000,152,15,5,29
ChlorineConcentration,467,166,17,5,31
Adiac,390,176,18,5,33
Fungi,18,201,20,5,38
Wine,57,234,23,5,44
Strawberry,613,235,24,5,44
ArrowHead,36,251,25,5,47
InsectWingbeatSound,220,256,26,5,47
FiftyWords,450,270,27,5,50
WordSynonyms,267,270,27,5,50
Trace,100,275,28,5,51
ToeSegmentation1,40,277,28,5,51
Coffee,28,286,29,5,53
DodgerLoopGame,17,288,29,5,53
DodgerLoopWeekend,18,288,29,5,53
DodgerLoopDay,67,288,29,5,53
CricketX,390,300,30,5,55
CricketZ,390,300,30,5,55
CricketY,390,300,30,5,55
FreezerRegularTrain,150,301,30,5,56
FreezerSmallTrain,28,301,30,5,56
UWaveGestureLibraryZ,896,315,32,5,58
UWaveGestureLibraryX,896,315,32,5,58
UWaveGestureLibraryY,896,315,32,5,58
Lightning7,70,319,32,5,59
ToeSegmentation2,36,343,34,5,63
DiatomSizeReduction,16,345,34,5,64
FaceFour,24,350,35,5,64
GestureMidAirD2,208,360,36,5,66
GestureMidAirD3,208,360,36,5,66
GestureMidAirD1,208,360,36,5,66
PickupGestureWiimoteZ,50,361,36,5,66
ShakeGestureWiimoteZ,50,385,38,5,71
Symbols,25,398,40,5,73
Yoga,300,426,43,5,78
OSULeaf,200,427,43,5,78
Ham,109,431,43,5,79
Meat,60,448,45,5,82
GesturePebbleZ2,146,455,46,5,83
GesturePebbleZ1,132,455,46,5,83
Fish,175,463,46,5,85
Beef,30,470,47,5,86
AllGestureWiimoteZ,300,500,50,5,91
AllGestureWiimoteX,300,500,50,5,91
FordA,3601,500,50,5,91
FordB,3636,500,50,5,91
ShapeletSim,20,500,50,5,91
AllGestureWiimoteY,300,500,50,5,91
BeetleFly,20,512,51,5,94
ShapesAll,600,512,51,5,94
BirdChicken,20,512,51,5,94
Herring,64,512,51,5,94
Earthquakes,322,512,51,5,94
OliveOil,30,570,57,5,104
Car,60,577,58,5,105
InsectEPGRegularTrain,62,601,60,5,110
InsectEPGSmallTrain,17,601,60,5,110
Lightning2,60,637,64,5,116
RefrigerationDevices,375,720,72,5,131
Computers,250,720,72,5,131
SmallKitchenAppliances,375,720,72,5,131
LargeKitchenAppliances,375,720,72,5,131
ScreenType,375,720,72,5,131
NonInvasiveFetalECGThorax2,1800,750,75,5,136
NonInvasiveFetalECGThorax1,1800,750,75,5,136
WormsTwoClass,181,900,90,5,163
Worms,181,900,90,5,163
UWaveGestureLibraryAll,896,945,94,5,172
StarLightCurves,1000,1024,102,5,186
Mallat,55,1024,102,5,186
MixedShapesRegularTrain,500,1024,102,5,186
Phoneme,214,1024,102,5,186
MixedShapesSmallTrain,100,1024,102,5,186
Haptics,155,1092,109,5,198
EOGVerticalSignal,362,1250,125,5,226
EOGHorizontalSignal,362,1250,125,5,226
PLAID,537,1345,134,5,244
ACSF1,100,1460,146,5,264
SemgHandMovementCh2,450,1500,150,5,271
SemgHandGenderCh2,300,1500,150,5,271
SemgHandSubjectCh2,450,1500,150,5,271
CinCECGTorso,40,1639,164,5,296
EthanolLevel,504,1751,175,5,317
InlineSkate,100,1882,188,5,340
PigAirwayPressure,104,2000,200,5,361
HouseTwenty,40,2000,200,5,361
PigArtPressure,104,2000,200,5,361
PigCVP,104,2000,200,5,361
HandOutlines,1000,2709,271,5,489
Rock,20,2844,284,5,513
