cluster,cluster_name,method,mean_aucs_top,mean_f1s,n_datasets
0,High-frequency / high-curvature,hydra,0.2846464711511093,-0.41125052230418613,8
0,High-frequency / high-curvature,shapley_sampling,0.19716820767223728,-0.15731640909574593,8
0,High-frequency / high-curvature,feature_ablation,0.17065814915944363,-0.6511276091009801,8
0,High-frequency / high-curvature,mrsqm,0.14605842847237244,-0.5854643960683373,8
1,Smooth / low-complexity,shapley_sampling,0.3346576728268796,-0.12998435384319845,37
1,Smooth / low-complexity,feature_ablation,0.3043936037730739,-0.44108450554444145,37
1,Smooth / low-complexity,hydra,0.2583607485966148,-0.5445034867610774,37
1,Smooth / low-complexity,mrsqm,0.24209456976373375,-0.241380136992388,37
2,Short / moderately rough,feature_ablation,0.42355869912684563,0.013001359892172144,42
2,Short / moderately rough,shapley_sampling,0.42057169746257567,-0.04715669110017936,42
2,Short / moderately rough,hydra,0.3898711233569167,-0.1812971744620847,42
2,Short / moderately rough,mrsqm,0.24910120814668352,-0.22960585242992826,42
3,Spiky / multi-class,hydra,0.42847685907974536,-0.008888993202935732,41
3,Spiky / multi-class,feature_ablation,0.38997972592433494,0.033031332994988866,41
3,Spiky / multi-class,shapley_sampling,0.38349893190309886,-0.005761970893264811,41
3,Spiky / multi-class,mrsqm,0.2684376427252827,-0.23699418495491184,41
