method_a,method_b,fraction,mean_iou,median_iou,mean_overlap_fraction,median_overlap_fraction,mean_centre_distance,mean_score_drop_a,mean_score_drop_b,flip_rate_a,flip_rate_b,n_samples,n_datasets
feature_ablation,mrsqm,0.05,0.062206572769953054,0.0,0.062206572769953054,0.0,0.43798035393299667,0.3227349990807527,0.10054246214640757,0.25078247261345854,0.09272300469483569,2556,128
feature_ablation,mrsqm,0.1,0.1031105753121657,0.0,0.11333476670111342,0.0,0.4121852250891763,0.39259939216017337,0.15805005940430292,0.3149452269170579,0.15923317683881064,2556,128
feature_ablation,mrsqm,0.2,0.18681943283535044,0.0,0.21318135236272304,0.0,0.3675595207411988,0.44902521577640936,0.2548889121082362,0.40923317683881066,0.27269170579029733,2556,128
hydra,feature_ablation,0.05,0.09146908093117982,0.0,0.11373762287350309,0.0,0.2739770886022102,0.16310648281632836,0.3227349990807527,0.14593114241001565,0.25078247261345854,2556,128
hydra,feature_ablation,0.1,0.1500262678355629,0.0,0.1875498738463091,0.0,0.26621401209393497,0.22740893527368794,0.39259939216017337,0.2245696400625978,0.3149452269170579,2556,128
hydra,feature_ablation,0.2,0.25108822385756624,0.028188732074614947,0.30831791972789396,0.054831782390837455,0.2511684402996181,0.3650623540095224,0.44902521577640936,0.36306729264475746,0.40923317683881066,2556,128
hydra,mrsqm,0.05,0.03762619399789508,0.0,0.043144420124079694,0.0,0.4539539409302943,0.16310648281632836,0.10054246214640757,0.14593114241001565,0.09272300469483569,2556,128
hydra,mrsqm,0.1,0.0756451173370293,0.0,0.0874106387566693,0.0,0.4259795083227669,0.22740893527368794,0.15805005940430292,0.2245696400625978,0.15923317683881064,2556,128
hydra,mrsqm,0.2,0.17038777502582583,0.0,0.20061556822846804,0.0,0.3706420001563018,0.3650623540095224,0.2548889121082362,0.36306729264475746,0.27269170579029733,2556,128
hydra,shapley_sampling,0.05,0.10362405513132977,0.0,0.12706928144377366,0.0,0.28009523155255267,0.16310648281632836,0.21793137472861301,0.14593114241001565,0.2014866979655712,2556,128
hydra,shapley_sampling,0.1,0.1624564231015112,0.0,0.20091482051834522,0.0,0.2731612964229122,0.22740893527368794,0.2997418649516235,0.2245696400625978,0.29890453834115804,2556,128
hydra,shapley_sampling,0.2,0.2510202874842432,0.027027027027027,0.30814693558567813,0.0526315789473684,0.26063659532935196,0.3650623540095224,0.3756424719999528,0.36306729264475746,0.4029733959311424,2556,128
shapley_sampling,feature_ablation,0.05,0.3408857211839781,0.0,0.34183973737964346,0.0,0.2162336478806602,0.21793137472861301,0.3227349990807527,0.2014866979655712,0.25078247261345854,2556,128
shapley_sampling,feature_ablation,0.1,0.3586589625756969,0.0,0.38565814740358423,0.0,0.2098590722188554,0.2997418649516235,0.39259939216017337,0.29890453834115804,0.3149452269170579,2556,128
shapley_sampling,feature_ablation,0.2,0.4046327753783866,0.3333333333333333,0.4533729357827686,0.5,0.2037044996927036,0.3756424719999528,0.44902521577640936,0.4029733959311424,0.40923317683881066,2556,128
shapley_sampling,mrsqm,0.05,0.08998435054773082,0.0,0.08998435054773082,0.0,0.44517970742150187,0.21793137472861301,0.10054246214640757,0.2014866979655712,0.09272300469483569,2556,128
shapley_sampling,mrsqm,0.1,0.11991175807736723,0.0,0.1290291825811334,0.0,0.41926038036137825,0.2997418649516235,0.15805005940430292,0.29890453834115804,0.15923317683881064,2556,128
shapley_sampling,mrsqm,0.2,0.20471354479989268,0.0,0.23001029504959628,0.0,0.37552483593707303,0.3756424719999528,0.2548889121082362,0.4029733959311424,0.27269170579029733,2556,128
