true_label,pred_before,fraction,hydra_start,shap_start,window_length,iou,overlap_fraction,normalised_centre_distance,score_before,hydra_score_drop,shap_score_drop,hydra_flipped,shap_flipped,hydra_explain_time_s,windowshap_explain_time_s,windowshap_over_hydra_time_ratio,hydra_over_windowshap_time_ratio,dataset,sample_idx
0,0,0.05,1236,1310,75,0.006711409395973154,0.013333333333333334,0.04933333333333333,-0.01760387680244635,-0.04150391391878383,-0.07258685368271578,0,0,1.0660541670004022,1.1756034100017132,1.1027614228173357,0.9068144562449412,SemgHandMovementCh2,0
0,0,0.1,1201,1335,150,0.056338028169014086,0.10666666666666667,0.08933333333333333,-0.01760387680244635,-0.38612892738007853,-0.24898980386045366,0,0,1.0660541670004022,1.1756034100017132,1.1027614228173357,0.9068144562449412,SemgHandMovementCh2,0
0,0,0.2,1072,1195,300,0.41843971631205673,0.59,0.082,-0.01760387680244635,-1.2011963570940418,-0.8742146147471632,0,0,1.0660541670004022,1.1756034100017132,1.1027614228173357,0.9068144562449412,SemgHandMovementCh2,0
0,0,0.05,73,795,75,0.0,0.0,0.48133333333333334,-0.021349219232850047,0.22258157550795843,0.4533008578706126,1,1,1.044260516999202,1.1670649540010345,1.1175994256248667,0.8947749766790414,SemgHandMovementCh2,1
0,0,0.1,1080,720,150,0.0,0.0,0.24,-0.021349219232850047,-0.24374968862692903,0.04384465933680859,1,1,1.044260516999202,1.1670649540010345,1.1175994256248667,0.8947749766790414,SemgHandMovementCh2,1
0,0,0.2,930,1005,300,0.6,0.75,0.05,-0.021349219232850047,-0.5000076723581082,-0.4852416252503573,1,1,1.044260516999202,1.1670649540010345,1.1175994256248667,0.8947749766790414,SemgHandMovementCh2,1
0,0,0.05,94,750,75,0.0,0.0,0.43733333333333335,0.22363009682067558,0.08300270289508416,-0.15957820523431154,0,0,1.041036704000362,1.172393191998708,1.126178536735147,0.8879586738520648,SemgHandMovementCh2,2
0,0,0.1,67,675,150,0.0,0.0,0.4053333333333333,0.22363009682067558,-0.056383830230811394,-0.7362439499394333,0,0,1.041036704000362,1.172393191998708,1.126178536735147,0.8879586738520648,SemgHandMovementCh2,2
0,0,0.2,959,529,300,0.0,0.0,0.2866666666666667,0.22363009682067558,-1.1943876076793742,-1.840483590932691,0,0,1.041036704000362,1.172393191998708,1.126178536735147,0.8879586738520648,SemgHandMovementCh2,2
0,0,0.05,1146,871,75,0.0,0.0,0.18333333333333332,-0.0034885501294529275,-0.07192165237193449,0.20264431347163164,0,0,1.041612818999056,1.1712795839994214,1.124486529577247,0.8892947791699667,SemgHandMovementCh2,3
