cluster,cluster_name,fraction,mean_iou,median_iou,mean_overlap_fraction,median_overlap_fraction,mean_centre_distance,median_centre_distance,mean_hydra_score_drop,mean_shap_score_drop,mean_shap_minus_hydra_score_drop,hydra_flip_rate,shap_flip_rate,mean_shap_minus_hydra_flip,n_samples,n_datasets
0,High-frequency / high-curvature,0.05,0.09617309046696677,0.0,0.11913775465402177,0.0,0.30284286470224503,0.2891026327054794,0.260754930073785,0.2649441598274826,0.004189229753697642,0.16875,0.18125,0.0125,160,8
0,High-frequency / high-curvature,0.1,0.13665886908418198,0.0,0.16398986592353837,0.0,0.3057162423004661,0.28235498715753427,0.3143259175785449,0.3053162710424396,-0.009009646536105346,0.29375,0.29375,0.0,160,8
0,High-frequency / high-curvature,0.2,0.22103873727716628,0.0,0.271698666509983,0.0,0.26979964891314684,0.2363333333333333,0.31458834455110873,0.3379503033852108,0.023361958834102137,0.4,0.4125,0.0125,160,8
1,Smooth / low-complexity,0.05,0.0758823918108003,0.0,0.09990195311934442,0.0,0.28967775567852955,0.2327777777777777,0.19073464170272283,0.2869396652327058,0.09620502352998296,0.085,0.155,0.07,200,10
1,Smooth / low-complexity,0.1,0.15545191928123503,0.0,0.19465888153649227,0.0,0.24930881225596999,0.1715121834687052,0.25688783409919524,0.33966230594367486,0.08277447184447963,0.105,0.18,0.075,200,10
1,Smooth / low-complexity,0.2,0.2542929179322262,0.0309278350515463,0.3075142926338176,0.06,0.2386080703469624,0.1872509960159362,0.36887044939703706,0.40210196194265485,0.03323151254561782,0.2,0.225,0.025,200,10
2,Short / moderately rough,0.05,0.10027985197562192,0.0,0.1250238095238095,0.0,0.2263921626984127,0.15666666666666665,0.23906360855260916,0.2880674634007707,0.049003854848161534,0.17,0.23,0.06,200,10
2,Short / moderately rough,0.1,0.14413340124794197,0.0,0.18516666666666665,0.0,0.23738164682539684,0.16875,0.3109919065115626,0.3472678026462696,0.03627589613470696,0.24,0.3,0.06,200,10
2,Short / moderately rough,0.2,0.25361209369314885,0.07619047619047614,0.31527116250311377,0.1414473684210526,0.24026498015873013,0.17083333333333328,0.43971355212366847,0.41873041469448274,-0.020983137429185738,0.42,0.4,-0.02,200,10
3,Spiky / multi-class,0.05,0.08321034664203422,0.0,0.10768584804400744,0.0,0.2594222783863146,0.20486111111111105,0.16514347779162591,0.24386007118037914,0.07871659338875324,0.135,0.195,0.06,200,10
3,Spiky / multi-class,0.1,0.15648346756090073,0.0,0.19787733166134672,0.0,0.24014543939303226,0.2005830903790087,0.2725093521143699,0.36215720321992095,0.08964785110555105,0.235,0.33,0.095,200,10
3,Spiky / multi-class,0.2,0.26273543783802,0.0932252460914881,0.3224902093227523,0.1705426356589147,0.2186377297721935,0.16569992266047945,0.42937987688786694,0.4971773822064751,0.06779750531860822,0.425,0.465,0.04,200,10
