true_label,pred_before,fraction,hydra_start,shap_start,window_length,iou,overlap_fraction,normalised_centre_distance,score_before,hydra_score_drop,shap_score_drop,hydra_flipped,shap_flipped,hydra_explain_time_s,windowshap_explain_time_s,windowshap_over_hydra_time_ratio,hydra_over_windowshap_time_ratio,dataset,sample_idx
1,1,0.05,21,29,5,0.0,0.0,0.08333333333333333,1.1689706386966388,0.27887067579039027,0.612568069590478,0,0,0.05302882700016198,0.65547774299921,12.360781485836144,0.08090103373689363,ECG200,0
1,1,0.1,17,26,10,0.05263157894736842,0.1,0.09375,1.1689706386966388,0.2113918388650764,0.8612206328358177,0,0,0.05302882700016198,0.65547774299921,12.360781485836144,0.08090103373689363,ECG200,0
1,1,0.2,7,25,19,0.02702702702702703,0.05263157894736842,0.1875,1.1689706386966388,0.28605089480953483,1.0890049054424433,0,0,0.05302882700016198,0.65547774299921,12.360781485836144,0.08090103373689363,ECG200,0
1,1,0.05,17,26,5,0.0,0.0,0.09375,1.1888454907728478,0.21789864503105583,0.5343168367985258,0,0,0.03577193500132125,0.6507177850016888,18.19073485897965,0.05497304027310152,ECG200,1
1,1,0.1,15,24,10,0.05263157894736842,0.1,0.09375,1.1888454907728478,0.23774237167093748,0.8881088160615651,0,0,0.03577193500132125,0.6507177850016888,18.19073485897965,0.05497304027310152,ECG200,1
1,1,0.2,7,15,19,0.4074074074074074,0.5789473684210527,0.08333333333333333,1.1888454907728478,0.20525317523522735,1.0484312325309622,0,0,0.03577193500132125,0.6507177850016888,18.19073485897965,0.05497304027310152,ECG200,1
1,1,0.05,18,90,5,0.0,0.0,0.75,0.9780790233053485,0.07730900828436771,-0.03152444007890276,0,0,0.03566328000124486,0.648554207999041,18.185489612183808,0.054988896165326547,ECG200,3
1,1,0.1,16,85,10,0.0,0.0,0.71875,0.9780790233053485,0.14481915756433095,-0.030227106069106835,0,0,0.03566328000124486,0.648554207999041,18.185489612183808,0.054988896165326547,ECG200,3
1,1,0.2,8,76,19,0.0,0.0,0.7083333333333334,0.9780790233053485,0.42033804607105485,0.05660511882211616,0,0,0.03566328000124486,0.648554207999041,18.185489612183808,0.054988896165326547,ECG200,3
0,0,0.05,32,31,5,0.6666666666666666,0.8,0.010416666666666666,0.17384218700034065,-0.23520337962425242,-0.2324631826640713,0,0,0.03586238600109937,0.6486064170003374,18.085980586468906,0.055291444952017356,ECG200,4
0,0,0.1,27,26,10,0.8181818181818182,0.9,0.010416666666666666,0.17384218700034065,-0.2678058221633882,-0.40347885963383073,0,0,0.03586238600109937,0.6486064170003374,18.085980586468906,0.055291444952017356,ECG200,4
0,0,0.2,18,31,19,0.1875,0.3157894736842105,0.13541666666666666,0.17384218700034065,-0.2310187813888951,-0.4555358435801868,0,0,0.03586238600109937,0.6486064170003374,18.085980586468906,0.055291444952017356,ECG200,4
1,1,0.05,21,30,5,0.0,0.0,0.09375,1.0182174941980013,0.16455279002000922,0.5036877930037724,0,0,0.03600204800022766,0.6522024919995602,18.115705306415787,0.05520072131256429,ECG200,5
1,1,0.1,17,25,10,0.1111111111111111,0.2,0.08333333333333333,1.0182174941980013,0.28180349038231034,0.6155811601612113,0,0,0.03600204800022766,0.6522024919995602,18.115705306415787,0.05520072131256429,ECG200,5
1,1,0.2,7,16,19,0.35714285714285715,0.5263157894736842,0.09375,1.0182174941980013,0.2282191990348843,0.8487966781559648,0,0,0.03600204800022766,0.6522024919995602,18.115705306415787,0.05520072131256429,ECG200,5
1,1,0.05,24,21,5,0.25,0.4,0.03125,0.04210958503338791,0.44819962868057056,0.3477875034231655,1,1,0.03592200800085266,0.6506843719998869,18.113808448136922,0.05520650187193815,ECG200,6
1,1,0.1,24,19,10,0.3333333333333333,0.5,0.052083333333333336,0.04210958503338791,0.43464258815905105,0.5114618540518772,1,1,0.03592200800085266,0.6506843719998869,18.113808448136922,0.05520650187193815,ECG200,6
1,1,0.2,15,21,19,0.52,0.6842105263157895,0.0625,0.04210958503338791,0.7591840916198054,0.8160215301639269,1,1,0.03592200800085266,0.6506843719998869,18.113808448136922,0.05520650187193815,ECG200,6
1,1,0.05,20,25,5,0.0,0.0,0.052083333333333336,1.1153039178600863,0.33612394112854016,0.6469501150323398,0,0,0.03557629600072687,0.648153824999099,18.21869890518834,0.054888661654934036,ECG200,7
1,1,0.1,15,23,10,0.1111111111111111,0.2,0.08333333333333333,1.1153039178600863,0.18979059521692276,0.9814186683685288,0,0,0.03557629600072687,0.648153824999099,18.21869890518834,0.054888661654934036,ECG200,7
1,1,0.2,6,28,19,0.0,0.0,0.22916666666666666,1.1153039178600863,0.37873480163726925,0.9201629281202547,0,0,0.03557629600072687,0.648153824999099,18.21869890518834,0.054888661654934036,ECG200,7
1,1,0.05,4,30,5,0.0,0.0,0.2708333333333333,0.8567527522156482,0.1505816785303009,0.6658238217483317,0,0,0.035735727000428597,0.6500382150006772,18.1901494544348,0.054974809443151536,ECG200,8
1,1,0.1,4,25,10,0.0,0.0,0.21875,0.8567527522156482,0.5058115260094895,0.7589875534303938,0,0,0.035735727000428597,0.6500382150006772,18.1901494544348,0.054974809443151536,ECG200,8
1,1,0.2,4,16,19,0.22580645161290322,0.3684210526315789,0.125,0.8567527522156482,0.4710913145786899,0.7777043798676455,0,0,0.035735727000428597,0.6500382150006772,18.1901494544348,0.054974809443151536,ECG200,8
0,0,0.05,28,31,5,0.25,0.4,0.03125,0.9126719487899755,-0.3402340278223317,-0.0933871024844879,0,0,0.03563566799857654,0.6496117210008379,18.229256177456435,0.05485687349309785,ECG200,9
0,0,0.1,24,2,10,0.0,0.0,0.22916666666666666,0.9126719487899755,-0.28897183170706464,0.8088391234112382,0,0,0.03563566799857654,0.6496117210008379,18.229256177456435,0.05485687349309785,ECG200,9
