dataset,fraction,mean_iou,median_iou,mean_overlap_fraction,mean_centre_distance,hydra_score_drop,shap_score_drop,hydra_flip_rate,shap_flip_rate,n_samples,shap_minus_hydra_score_drop,shap_minus_hydra_flip_rate
ACSF1,0.05,0.14894970567508187,0.0,0.1821917808219178,0.2506849315068493,0.2781258500072838,0.2701670619212021,0.25,0.15,20,-0.007958788086081692,-0.1
ACSF1,0.1,0.16021746137069304,0.0,0.18801369863013698,0.3056506849315068,0.31963894616618765,0.296665168479903,0.35,0.25,20,-0.02297377768628467,-0.09999999999999998
ACSF1,0.2,0.2730753282829485,0.004317789291882556,0.3102739726027397,0.21273972602739724,0.36180850755713034,0.40919173762952915,0.5,0.4,20,0.04738323007239881,-0.09999999999999998
ArrowHead,0.05,0.06711386308909528,0.0,0.09230769230769231,0.26294820717131473,-0.12164989446699977,-0.01900573832401701,0.0,0.0,20,0.10264415614298275,0.0
ArrowHead,0.1,0.11628575915492054,0.0,0.148,0.2282868525896414,-0.10046001418120656,0.0953200331409666,0.0,0.2,20,0.19578004732217316,0.2
ArrowHead,0.2,0.19128438757455882,0.005050505050505051,0.22599999999999998,0.25697211155378485,0.028003001171044244,0.15102396548165137,0.1,0.2,20,0.12302096431060712,0.1
Computers,0.05,0.04687882496940024,0.0,0.061111111111111116,0.2865277777777778,0.15834636224561094,0.202962144333186,0.0,0.0,20,0.04461578208757505,0.0
Computers,0.1,0.058413926499032875,0.0,0.07361111111111111,0.28888888888888886,0.26002524372828995,0.3171938494739009,0.05,0.0,20,0.057168605745610945,-0.05
Computers,0.2,0.11648265670434732,0.0,0.1625,0.2420138888888889,0.4038364373727091,0.4494896982260633,0.05,0.0,20,0.045653260853354194,-0.05
CricketX,0.05,0.18308956041490704,0.0,0.22999999999999998,0.15583333333333332,0.2372200702580877,0.29165090058673737,0.1,0.2,20,0.054430830328649676,0.1
CricketX,0.1,0.2880320482104971,0.17692307692307693,0.36333333333333334,0.16733333333333333,0.3953263239353287,0.47120860573101914,0.3,0.35,20,0.07588228179569045,0.04999999999999999
CricketX,0.2,0.4650914310325199,0.4396551724137931,0.545,0.12266666666666666,0.6677430050761798,0.6163421436402152,0.75,0.7,20,-0.05140086143596456,-0.050000000000000044
CricketZ,0.05,0.18484243697478991,0.0,0.21666666666666665,0.14766666666666667,0.21527520453056823,0.3321507368981042,0.1,0.3,20,0.11687553236753598,0.19999999999999998
CricketZ,0.1,0.16258813217738166,0.0,0.2033333333333333,0.2066666666666667,0.4221073649281,0.4558197350502754,0.1,0.3,20,0.03371237012217537,0.19999999999999998
CricketZ,0.2,0.40260886286684167,0.34115884115884115,0.47416666666666674,0.15016666666666667,0.7159978306648143,0.6959066009418701,0.6,0.55,20,-0.020091229722944193,-0.04999999999999993
DiatomSizeReduction,0.05,0.0,0.0,0.0,0.25043478260869567,0.2514285526931869,0.364567743141416,0.0,0.25,20,0.11313919044822907,0.25
DiatomSizeReduction,0.1,0.10173089010298313,0.0,0.12941176470588237,0.2920289855072464,0.3174289899623811,0.4794069111295859,0.05,0.3,20,0.16197792116720477,0.25
DiatomSizeReduction,0.2,0.3057958522247944,0.10463627049180328,0.363768115942029,0.16666666666666669,0.5867979147491622,0.4618987998417542,0.3,0.3,20,-0.12489911490740802,0.0
DistalPhalanxOutlineAgeGroup,0.05,0.08,0.0,0.0875,0.240625,0.4056547211640086,0.354124108561555,0.4,0.25,20,-0.05153061260245356,-0.15000000000000002
DistalPhalanxOutlineAgeGroup,0.1,0.023076923076923078,0.0,0.0375,0.254375,0.522107966949476,0.4672190370073994,0.55,0.6,20,-0.054888929942076614,0.04999999999999993
DistalPhalanxOutlineAgeGroup,0.2,0.13903891765960733,0.05172413793103448,0.20625,0.26749999999999996,0.5809638285262981,0.5531673397837865,0.7,0.6,20,-0.027796488742511616,-0.09999999999999998
DistalPhalanxOutlineCorrect,0.05,0.2019047619047619,0.07142857142857142,0.2625,0.15375,0.6217928432855965,0.6047255083948306,0.5,0.45,20,-0.01706733489076584,-0.04999999999999999
DistalPhalanxOutlineCorrect,0.1,0.38117771117771115,0.45454545454545453,0.48125,0.13187500000000002,0.6150954832392401,0.5927934535498466,0.5,0.45,20,-0.022302029689393543,-0.04999999999999999
DistalPhalanxOutlineCorrect,0.2,0.5017840948181506,0.6842105263157895,0.559375,0.1575,0.9942743468229713,0.816335065468099,0.75,0.65,20,-0.17793928135487236,-0.09999999999999998
DistalPhalanxTW,0.05,0.03,0.0,0.0375,0.26749999999999996,0.19817073891239056,0.41423332983423916,0.05,0.2,20,0.2160625909218486,0.15000000000000002
DistalPhalanxTW,0.1,0.022727272727272728,0.0,0.03125,0.268125,0.26051302940009624,0.5009654835270594,0.05,0.2,20,0.24045245412696314,0.15000000000000002
DistalPhalanxTW,0.2,0.08103012130298487,0.0,0.11875,0.26749999999999996,0.1587933245832022,0.44033154875409997,0.15,0.2,20,0.2815382241708978,0.05000000000000002
ECG200,0.05,0.1130952380952381,0.0,0.15,0.23072916666666665,0.11378793047994007,0.25788502492393406,0.05,0.1,20,0.144097094443994,0.05
ECG200,0.1,0.11040513494073864,0.02631578947368421,0.16,0.24114583333333334,0.11507226743752275,0.3866561992337956,0.05,0.15,20,0.2715839317962729,0.09999999999999999
ECG200,0.2,0.207505591420914,0.07063492063492063,0.28421052631578947,0.25885416666666666,0.15896122531289109,0.39338044891587365,0.1,0.2,20,0.23441922360298256,0.1
EOGHorizontalSignal,0.05,0.11776213704590902,0.0,0.14758064516129032,0.33799999999999997,0.10633082360236831,0.010462861157317427,0.3,0.15,20,-0.09586796244505089,-0.15
EOGHorizontalSignal,0.1,0.1369335134960318,0.0,0.174,0.23096,0.10843601858399862,0.1032344765213233,0.25,0.35,20,-0.005201542062675327,0.09999999999999998
EOGHorizontalSignal,0.2,0.2544896347215526,0.12013687495609765,0.3206,0.21644000000000002,0.1116984007938607,0.06280091543704702,0.5,0.35,20,-0.04889748535681368,-0.15000000000000002
EOGVerticalSignal,0.05,0.02311119721038357,0.0,0.034677419354838715,0.22248,0.08173598144900511,0.17440324724367448,0.25,0.2,20,0.09266726579466937,-0.04999999999999999
EOGVerticalSignal,0.1,0.09350132763931378,0.0,0.1256,0.31551999999999997,0.18943304943451134,0.321725967938087,0.35,0.45,20,0.13229291850357566,0.10000000000000003
